Pennsylvania German	East Frisian Low Saxon	probability
ˈɛ_d	ˈeːe̯	1.0
ˈuː	ˈɑʊ̯	1.0
ˈeː_ɑ_#>	ˈiː_#>	1.0
ˈaɪ̯_#>	ˈɛːɪ̯_#>	1.0
ˈa_n	ˈɪ_n	1.0
ʦ	t	1.0
ɾ_ɪ	ɐ	1.0
ɾ_ə	ɐ	1.0
ɾ	r	1.0
ɣ	ɡ	1.0
ɡ̊	ɣ̊	1.0
ɡ	ɡ	1.0
ə_#>	#>	1.0
ɑ_#>	#>	1.0
ɑ	ɐ	1.0
ŋ	ŋ	1.0
t	t	1.0
s_ə	t_n	1.0
p	p	1.0
n_ə	nː	1.0
n_s	s	1.0
n	n	1.0
m	m	1.0
l	l	1.0
k_s_#>	s_#>	1.0
k_#>	ɣ̊_#>	1.0
k	k	1.0
h	h	1.0
f_#>	p_#>	1.0
d̥_#>	#>	1.0
d_ɑ	t_ɐ	1.0
d	d	1.0
b̥	v̥	1.0
b	b	1.0
<#_n	<#_n	1.0
ə	n	0.941
d̥	d̥	0.938
f	f	0.9
ʋ	v	0.839
ˈɔ	ˈɔ	0.75
ʃ	s	0.688
ˈaʊ̯	ˈuː	0.636
ˈɪ	ˈɪ	0.607
ˈaː	ˈɑː	0.6
ˈaɪ̯	ˈiː	0.6
j	ɡ	0.6
ˈeː	ˈæɪ̯	0.556
ˈa	ˈɑ	0.556
x	k	0.556
ˈʊ	ˈʊ	0.533
ˈɛː	ˈɑː	0.5
ˈɛː	ˈeː	0.5
ˈoː	ˈɒː	0.5
ˈoː	ˈoː	0.5
ɪ	ɐ	0.5
ɪ	-	0.5
ç	k	0.5
ˈiː	ˈæɪ̯	0.462
s	z	0.45
x	χ	0.444
ˈaː	ˈoː_ɐ	0.4
j	j	0.4
ˈɛ	ˈɛ	0.357
ˈɛ	ˈeː	0.357
s	t	0.35
ˈɔː	ˈoː	0.312
ʃ	s_k	0.312
ˈɔː	ˈɑ	0.25
ˈɔ	ˈʊ	0.25
ç	χ	0.25
ç	ɣ̊	0.25
ˈiː	ˈœy̯	0.231
ˈʊ	ˈœ	0.2
s	z̥	0.2
ˈɔː	ˈɒː	0.188
ˈa	ˈɒː	0.185
ˈaʊ̯	ˈɑːʊ̯	0.182
ˈaʊ̯	ˈuːu̯	0.182
ʋ	w	0.161
ˈiː	ˈɛːɪ̯	0.154
ˈiː	ˈæː	0.154
ˈa	ˈɑːɑ̯	0.148
ˈɪ	ˈʏ	0.143
ˈɛ	ˈʏ	0.143
ˈɛ	ˈøː	0.143
ˈʊ	ˈɔ	0.133
ˈʊ	ˈøːø̯	0.133
ˈaɪ̯	ˈɪə̯	0.133
ˈaɪ̯	ˈɪ	0.133
ˈaɪ̯	ˈyː	0.133
ˈɔː	ˈɔː	0.125
ˈɔː	ˈøː	0.125
ˈeː	ˈɛːɪ̯	0.111
ˈeː	ˈɑɪ̯	0.111
ˈeː	ˈøː	0.111
ˈeː	ˈæɪ̯_n	0.111
ˈa	ˈɔ	0.111
ˈɪ	ˈʏə̯	0.107
f	p	0.1
ˈɪ	ˈɛ	0.071
ˈɪ	k_ˈɪ	0.071
d̥	t	0.062
ə	-	0.059
