Pennsylvania German	Swedish	probability
ˈɔː_ɣ	jː	1.0
ˈɔɪ̯	ˈɛ_ɡː	1.0
ˈaː_ʃ	ʂ	1.0
ʃ_d̥	s_t	1.0
ɾ_ˈaɪ̯	r_ˈɛ	1.0
ɾ_ə	r	1.0
ɾ	r	1.0
ɣ	ɡ_ɛ	1.0
ɡ̊	ɡː	1.0
ɑ_n	ɳ	1.0
ç_d̥	tː	1.0
t	t	1.0
s_ˈɪ	ɧ	1.0
j	-	1.0
eː	ɔ	1.0
b̥	v	1.0
b	b	0.974
h	h	0.885
l	l	0.854
d̥	d	0.851
ˈuː	ˈuː	0.818
ə	a	0.818
ɡ	ɡ	0.801
ʋ	v	0.787
ŋ	ŋː	0.763
m	m	0.745
f	f	0.705
x	k	0.699
ç	k	0.677
ˈoː	ˈoː	0.658
ˈa	ˈa	0.638
ˈaʊ̯	ˈʉː	0.621
ˈaɪ̯	ˈiː	0.615
ˈɛ	ˈɛ	0.595
ˈaː	-	0.582
ʃ	s	0.557
ˈɪ	ˈɪ	0.534
ˈɔ	ˈɵ	0.496
n	n	0.471
ʦ	tʰ	0.467
k	kʰ	0.464
ˈɛː	-	0.459
d	tʰ	0.444
ˈaː	ˈuː	0.418
ʦ	tː	0.416
ˈʊ	ˈɵ	0.393
s	s	0.389
ˈaʊ̯	-	0.379
ɑ	ɛ_r	0.378
ˈoː	ˈøː	0.342
s	t	0.337
ˈeː	ˈeː	0.327
ç	ɡ	0.323
ʃ	ɧ	0.311
ˈɔ	-	0.303
x	tː	0.301
ˈiː	ˈyː	0.289
ˈɛ	-	0.278
ˈɛː	ˈɛ	0.274
ˈɛː	ˈæ	0.266
ˈɔː	ˈɑː	0.264
m	mː	0.255
ˈʊ	ˈʊ	0.25
ɪ	ɪ	0.25
ɪ	ŋ	0.25
ɪ	j	0.25
ɪ	-	0.25
ˈiː	ˈʉː	0.248
ŋ	-	0.237
k	-	0.222
ˈeː	-	0.217
ʋ	-	0.213
ˈɔ	ˈɔ	0.202
n	nː	0.202
ɡ	j	0.199
ˈa	ˈɑː	0.195
d	d	0.192
ɑ	a	0.191
ˈiː	j_ˈʉː	0.19
k	kː	0.185
ˈʊ	ˈɔ	0.184
ˈɔː	ˈa	0.184
ɑ	r_a	0.184
ˈeː	ˈɛː	0.183
ˈuː	ˈøː	0.182
ˈɔː	ˈœ	0.176
ˈʊ	-	0.172
ɑ	r	0.17
ˈa	-	0.167
n	-	0.164
d	-	0.161
ˈɔː	ˈoː	0.158
ˈaɪ̯	-	0.147
ˈiː	ˈøː	0.144
ˈaɪ̯	ˈyː	0.14
f	p	0.137
ʃ	s_k	0.132
ˈɔː	ˈøː	0.13
k	ɕ	0.129
ˈiː	-	0.128
ˈɛ	ˈɛː	0.126
ˈɪ	-	0.123
ʦ	-	0.117
h	j	0.115
s	tː	0.114
ˈɪ	ˈʏ	0.101
ə	-	0.101
ˈɪ	ˈɛ	0.099
ˈɪ	ˈœ	0.099
ˈaɪ̯	ˈeː	0.099
ˈeː	ˈøː	0.094
n	ɳ	0.092
ˈeː	ˈɛ	0.091
ˈɔː	-	0.089
ˈeː	ˈeː_n	0.089
s	ɧ	0.085
l	lː	0.085
d̥	s	0.085
f	v	0.083
ə	n	0.081
d	ɕ	0.081
d	tʰ_ˈœ	0.081
ɑ	rː	0.077
l	j	0.06
