Phone1	Phone2	Surprisal	OOV_Smoothed
<#_j	<#_j	0.0	4.885
<#_k	<#_k	0.0	4.885
<#_l	<#_ɫ	0.0	4.885
<#_n	<#_n	0.0	4.885
<#_p	<#_p	0.0	4.885
<#_r	<#_r	0.0	4.885
<#_t	<#_t	0.0	4.885
<#_x	<#	0.0	4.885
<#_ɣ	<#_χ	0.0	4.885
<#_ˈɑ	<#_ˈa	0.0	4.885
<#_θ	<#_d	0.0	4.885
b	b	0.0	4.885
d	d	0.507	4.885
d	d̥	1.755	4.885
d_u	d̥	0.0	4.885
e	-	1.0	4.885
e	ə	1.0	4.885
i	-	0.152	4.885
i	ə	3.322	4.885
i_z_#>	#>	0.29	4.885
i_z_#>	ə_#>	2.459	4.885
iː	-	0.0	4.885
j	-	0.28	4.885
j	ˈɛː	2.503	4.885
j_ɔː_#>	#>	0.0	4.885
j_ɔ̃ː_#>	#>	0.0	4.885
k	k	0.0	4.885
k_s	k	0.0	4.885
kʷ	k	0.0	4.885
l	ɫ	0.0	4.885
lː	ɫ	0.0	4.885
m	m	0.0	4.885
n	n	0.08	4.885
n	ə_n	4.209	4.885
n_#>	#>	0.0	4.885
n_i	n	0.0	4.885
n_u	n	0.0	4.885
n_ɑ̃_#>	#>	0.0	4.885
nː	n	0.0	4.885
p	p	0.0	4.885
pː	p	0.0	4.885
r	r	0.0	4.885
r_#>	r_#>	0.0	4.885
r_n	r_ə	0.737	4.885
r_n	r	1.322	4.885
s	s	0.051	4.885
s	-	4.858	4.885
s_#>	#>	0.0	4.885
s_k	s	0.0	4.885
s_t	s	0.0	4.885
s_w	s	0.0	4.885
t	t	0.0	4.885
u	-	0.348	4.885
u	ə	2.222	4.885
w	v	0.752	4.885
w	w	2.193	4.885
w	-	2.415	4.885
x	ɦ	0.485	4.885
x	-	3.222	4.885
x	χ	3.222	4.885
x	n	3.807	4.885
x_l	ɫ	0.0	4.885
x_t	χ	0.0	4.885
xʷ	v	0.585	4.885
xʷ	n	1.585	4.885
z	t	0.0	4.885
z_#>	#>	0.0	4.885
ð	d̥	0.766	4.885
ð	-	2.087	4.885
ð	d	2.503	4.885
ŋ	ŋ	0.0	4.885
ŋ_ɡ	ŋ	0.0	4.885
ɑ	ə	0.363	4.885
ɑ	-	2.17	4.885
ɑ_l	ɫ	0.0	4.885
ɑ_n_ɑ̃_#>	#>	0.0	4.885
ɑ_z_#>	#>	0.0	4.885
ɑː	-	0.0	4.885
ɑ̃_#>	#>	0.115	4.885
ɑ̃_#>	ŋ_#>	3.7	4.885
ɔː	-	0.322	4.885
ɔː	ə	2.322	4.885
ɔːː	-	0.263	4.885
ɔːː	r	2.585	4.885
ɔ̃ː	-	0.0	4.885
ɛː	ə	0.0	4.885
ɡ	ŋ	1.0	4.885
ɡ	ə	1.0	4.885
ɣ	χ	0.263	4.885
ɣ	-	2.585	4.885
ɸ	f	0.0	4.885
ˈe	ˈɪə̯	1.415	4.885
ˈe	ˈæ	2.263	4.885
ˈe	ˈi	2.585	4.885
ˈe	-	3.585	4.885
ˈe	ˈæː	3.585	4.885
ˈe	ˈɑː	3.585	4.885
ˈeu̯	ˈi	0.0	4.885
ˈi	ˈə	0.716	4.885
ˈi	-	2.524	4.885
ˈi	ˈɪə̯	2.939	4.885
ˈi	ˈəɪ̯	3.524	4.885
ˈi_j	ˈəɪ̯	0.0	4.885
ˈi_ŋ	ˈə	0.0	4.885
ˈiː	ˈəɪ̯	0.0	4.885
ˈu	ˈɔ	0.773	4.885
ˈu	ˈʊə̯	2.358	4.885
ˈu	ˈœ	2.773	4.885
ˈu	ˈɪø̯	3.773	4.885
ˈu_r	ˈʊə̯_r	0.0	4.885
ˈuː	ˈœɪ̯	0.0	4.885
ˈɑ	ˈa	0.782	4.885
ˈɑ	ˈɑː	1.967	4.885
ˈɑ	ˈɛ	3.426	4.885
ˈɑ	-	3.841	4.885
ˈɑ_l	ˈœu̯	0.0	4.885
ˈɑi̯	ˈɪə̯	1.0	4.885
ˈɑi̯	ˈəɪ̯	1.848	4.885
ˈɑi̯	-	3.17	4.885
ˈɑi̯	ˈʊə̯	3.17	4.885
ˈɑu̯	ˈʊə̯	0.0	4.885
ˈɑː	ˈɑː	0.0	4.885
ˈɔː	ˈu	0.0	4.885
ˈɔː_θ	ˈu	0.0	4.885
ˈɛː	ˈɑː	0.0	4.885
β	-	1.322	4.885
β	v̥	1.322	4.885
β	f	2.322	4.885
θ	d̥	0.652	4.885
θ	-	2.459	4.885
θ	d	2.459	4.885
θ_ɑ̃	d̥	0.0	4.885
