Phone1	Phone2	PMI
<#_p	<#_p	10.422
<#_ˈɑ	<#_ˈa	9.674
ˈɑu̯_m	ˈoː_m	9.302
l_d	ɫ_d̥	8.968
<#_r	<#_ʀ	8.628
<#_n	<#_n	8.541
<#_t	<#_ʦ	8.197
p	<#_p	8.151
<#_k	<#_k	8.063
<#_l	<#_l	8.054
<#_p	p	7.125
<#_d	<#_d	6.986
n_s	n_z̥	6.957
<#_ˈu	<#_ˈʊ	6.939
β	v̥	6.738
ˈɑ_s	ˈaː_z̥	6.72
k	<#_k	6.472
<#_ˈɑi̯	<#_ˈeː	6.465
s_l	ʃ_l	6.463
β	v	6.379
ˈiː	ˈiː	6.351
p	p	6.351
ˈɑ	<#_ˈa	6.244
ˈɑ_θ	ˈa_d̥	6.233
ˈuː	ˈuː	6.22
r_ˈu	ʀ_ˈœ	6.127
<#_t	ʦ	6.09
m_ɔːː	m_ə	6.043
d	<#_d	6.004
ˈɑi̯	ˈeɪ̯	6.001
ˈɔː	ˈøː	5.914
t	<#_ʦ	5.897
b	b	5.887
ɡ	ɡ̊	5.856
<#_k	k	5.797
l	<#_l	5.75
<#_ˈu	ˈʊ	5.723
lː	ɫ	5.715
r_m	ɐ_m	5.703
ˈɑː	ˈoː	5.671
ˈɛː	ˈoː	5.645
m	m	5.643
ˈe	ˈɛː	5.553
<#_l	l	5.52
ˈi	ˈe	5.461
ˈeu̯	ˈeː	5.451
ɣ	ɣ̊	5.356
ɸ	f	5.336
<#_d	d	5.308
<#_ˈɑ	ˈa	5.288
<#_r	ʀ	5.285
ˈu	ˈɔː	5.256
ˈɔː	ˈoː	5.249
w	ʋ	5.217
ˈɑu̯	ˈɔʊ̯	5.207
ˈi	ˈɪ	5.178
ˈu	ˈɔ	5.17
r	<#_ʀ	5.152
ˈu	ˈo	5.085
ˈɑi̯	<#_ˈeː	5.075
ˈe	ˈɛ	5.073
n	<#_n	4.985
ˈɑ	ˈaː	4.977
ŋ	ŋ	4.967
<#_n	n	4.965
nː	n	4.935
ˈɑu̯	ˈuː	4.896
t	t	4.89
ˈu_r	ˈɔː	4.877
k	k	4.74
l	l	4.721
ˈɑi̯	ˈeː	4.698
s_#>	z̥_#>	4.681
pː	p	4.677
ˈɑ	ˈa	4.657
l	ɫ	4.505
ð	d̥	4.501
t	ʦ	4.458
r_#>	ɐ_#>	4.425
ˈu	<#_ˈʊ	4.352
d	d	4.327
s	z	4.324
s	ʃ	4.275
x	x	4.218
s	z̥	4.192
<#_θ	<#_d	4.106
β_ɑ	v̥	4.045
θ	d	3.989
t	s	3.976
r	ʀ	3.949
s_#>	z̥	3.857
ˈe	ˈɪ	3.802
ɣ_ɑ	ɣ̊	3.716
n	n	3.619
ɣ	ɣ	3.566
d	d̥	3.545
<#_ˈɑi̯	ˈeː	3.5
ŋ_k	ŋ_k	3.489
k	x	3.486
p	f	3.465
<#_ˈe	<#_ˈɛː	3.437
ˈu_n	ˈʏ_n	3.428
ˈuː	ˈɔʊ̯	3.425
s_ɑ̃	z̥	3.417
ɣ	ɕ	3.416
θ	d̥	3.389
θ	<#_d	3.372
ˈe_l	ˈɛ_ɫ	3.371
ˈiː	ˈɪ	3.258
s_ˈe	z_ˈɛ	3.245
l_i	l_ə	3.229
m	ˈoː_m	3.188
ˈɑu̯	ˈoː_m	3.173
ɑ_ɣ	ə_ɕ	3.171
ɡ_ɑ	ɡ̊	3.168
ˈu	ˈœ	3.159
ˈu	ˈʏ	3.143
ˈu	ˈʊ	3.136
ˈu	ˈu	3.132
ˈɑ_n	ˈa_n	3.118
ˈi_ŋ	ˈɪ	3.114
ˈɑ	ˈɛ	3.11
<#_ˈɑ	<#_ˈɛ	3.093
ɑ	ə	3.087
ɸ_#>	f_#>	2.993
ɡ	ŋ	2.984
ɛː	ɐ	2.983
<#_θ	d	2.981
ð	d	2.897
x	h	2.873
r_#>	ɐ	2.855
ɣ	k_#>	2.844
r	ˈɔː	2.832
k	ɕ	2.825
<#_m	<#_m	2.742
l_θ	ɫ_d̥	2.704
d	ɡ̊	2.703
ˈe_k	ˈɪ_ɕ	2.699
ˈu	ˈyː	2.695
ð_ɛː	d_ɐ	2.692
ˈɑ_n	ˈa_ŋ	2.681
<#_j	<#_j	2.646
<#_ɣ	<#_j	2.612
ˈɑu̯	ˈoː	2.578
ɑ̃	ə_#>	2.516
<#	<#	2.481
#>	#>	2.481
n	ŋ	2.474
s	z̥_#>	2.421
r	ɐ	2.387
ˈe	<#_ˈɛː	2.38
n_ɑ̃_#>	ə_#>	2.3
<#_ˈe	ˈɛː	2.3
m	<#_m	2.288
d	ɫ_d̥	2.272
j	j	2.259
ŋ	ˈɪ	2.211
d_ɑ	ɡ̊	2.207
l_d	d̥	2.167
<#_j	j	2.151
l_ɑ	ɫ	2.139
l_d	ɫ	2.139
ɔːː	m_ə	2.112
ˈɑ_r	ˈɛ_ɐ	2.093
s_k	ʃ	2.082
r_ˈu	ˈœ	2.065
ˈɑ	<#_ˈɛ	2.064
ˈɑu̯_m	m	2.043
m_b	m	2.043
ɣ	j	2.04
ɸ	f_#>	2.035
t_ɛː	t	1.991
k	ʃ	1.98
m	ɐ_m	1.967
ɔːː	ə	1.963
ˈɑ_s	z̥	1.883
<#_m	m	1.877
t_ɑ	s	1.87
n_s	z̥	1.833
p	f_#>	1.801
ɸ_#>	f	1.768
l	ɫ_d̥	1.757
ɔː	ɐ	1.742
x	ɕ	1.694
n_d	ŋ	1.691
ɣ	<#_j	1.689
n_θ	ŋ_ɡ̊	1.674
x_t	x	1.673
<#	<#_ˈa	1.665
<#	<#_ʦ	1.665
<#	<#_p	1.665
r	ɐ_#>	1.663
<#_ˈɑ	ˈɛ	1.654
j	<#_j	1.616
e	ɐ	1.614
ˈɑ_s	ˈaː	1.603
ð_ɑ	d̥	1.559
<#_ɣ	j	1.544
s	s	1.536
s	ʃ_#>	1.524
ˈɑu̯_m	ˈoː	1.507
<#	<#_k	1.47
i	ɐ	1.419
<#	<#_ʀ	1.382
n_ɑ	n	1.365
ˈɑu̯	ˈyː	1.345
ɣ_ɑ	ɕ	1.336
l	ʃ_l	1.314
<#	<#_n	1.312
<#	<#_d	1.308
z	ʃ_#>	1.284
ɑ_n	ə	1.235
<#	<#_l	1.225
t_s	s	1.223
θ	ˈa_d̥	1.221
ˈɑ	ˈa_d̥	1.194
m	m_ə	1.193
t	x	1.151
ˈɑi̯	ˈiː	1.142
r_t	ʦ	1.135
ˈɑ	ˈaː_z̥	1.129
r_ɑ̃	ɐ	1.121
ɑ̃	ə	1.076
k	ʃ_#>	1.028
s_l	ʃ	1.013
ˈɑ_θ	ˈa	1.006
s	n_z̥	1.005
ˈe	ˈe	0.995
lː_ɑ	ɫ	0.978
ˈɑ	ˈoː	0.975
ˈu	ʀ_ˈœ	0.971
ˈɑ_x	ˈoː	0.966
ɣ	k	0.959
ˈɑ_n	ˈa	0.922
r_m	m	0.916
m_ɔːː	m	0.916
t	ɕ	0.915
s	ʃ_l	0.902
s_l	l	0.884
<#_x_r	<#_ʀ	0.883
s	ˈaː_z̥	0.873
n_ɑ̃_#>	ə	0.86
x_l	l	0.858
ŋ	ŋ_k	0.822
ˈu_n	ˈʏ	0.819
n	n_z̥	0.809
x	<#_ʀ	0.73
w	ˈiː	0.701
<#	<#_j	0.698
b	m	0.696
ɛː	d_ɐ	0.687
n_θ	ŋ	0.67
<#	<#_ˈʊ	0.659
<#	<#_ˈeː	0.659
r_ˈu	ʀ	0.653
x_t	ɕ	0.64
r_ɔː	ɐ	0.623
ˈɑ_θ	d̥	0.609
θ_ɑ̃	d̥	0.606
p_ɑ̃_#>	f_#>	0.575
ɑ	ɐ	0.571
r_ɑ	ɐ	0.558
d	ɫ	0.536
r	ˈœ	0.532
n_s	n	0.504
d	ŋ	0.467
r_n	n	0.455
i	ə	0.45
ˈe_r	ˈɛː	0.427
ˈe	ˈɛ_ɫ	0.395
θ	ɡ̊	0.344
z_#>	ɡ̊_#>	0.318
ˈe	z_ˈɛ	0.311
ŋ	k	0.302
ˈe	ˈɪ_ɕ	0.298
m_ɔːː	ə	0.294
ð_ɛː	d	0.277
ɑ	ɫ	0.271
ˈɑ	ɐ	0.265
ˈu_ŋ	ˈo	0.265
r	ʀ_ˈœ	0.265
ɑ̃_#>	ə_#>	0.264
k	ŋ_k	0.237
ˈe	ɫ	0.197
s	ɕ	0.193
ɔːː	m	0.184
ˈu	ˈʏ_n	0.159
xʷ	ʋ	0.149
ˈe_k	ˈɪ	0.145
ˈu	ʀ	0.142
ɑ̃	ɐ	0.142
l	d̥	0.125
z	ɡ̊_#>	0.123
n	ə	0.121
i	l_ə	0.098
z	ʃ	0.071
s_ˈe	ˈɛ	0.059
ɣ	ə_ɕ	0.025
ˈɑu̯	m	0.02
s_w	z	0.016
r	ˈɛː	0.015
ˈe_l	ˈɛ	0.008
l	ˈɛ_ɫ	-0.006
ˈɑ_r	ˈɛ	-0.013
ˈɑi̯_w	ˈiː	-0.039
s_ˈe	z	-0.046
ð	d_ɐ	-0.058
l	ʃ	-0.077
ŋ_k	ŋ	-0.102
ŋ_k	k	-0.102
ŋ	ˈo	-0.105
ˈe_l	ɫ	-0.112
l_θ	ɫ	-0.112
l	l_ə	-0.12
z_#>	ɡ̊	-0.142
i	l	-0.147
l_i	l	-0.163
j	k_#>	-0.177
ɑ_ɣ	ɕ	-0.18
<#	<#_ˈɛː	-0.194
r	ɐ_m	-0.202
θ	ɫ	-0.206
l	ˈɛ	-0.209
ɑ̃_#>	ə	-0.216
x	ʀ	-0.222
ˈɑ	ˈa_n	-0.244
k_s	ɕ	-0.249
n	ˈʏ_n	-0.271
θ	ɫ_d̥	-0.272
k	ŋ	-0.283
ˈɑ_n	ŋ	-0.294
s	z_ˈɛ	-0.299
<#	<#_ˈɛ	-0.3
x_r	ʀ	-0.302
ɣ_i	ɕ	-0.303
<#	<#_m	-0.315
ɑ_r	ɐ	-0.328
n	z̥	-0.332
z	ɡ̊	-0.337
ˈɑ_n	n	-0.339
ˈu_n	n	-0.339
<#_x_r	ʀ	-0.344
ɑ	ə_ɕ	-0.352
ð_ɛː	ɐ	-0.363
<#	d	-0.37
ˈɑ_r	ɐ	-0.373
ɑ_ɣ	ə	-0.374
ˈɑ	ˈɛ_ɐ	-0.377
l_θ	d̥	-0.379
θ_ɑ	d̥	-0.382
ɣ_j_ɔː_#>	k_#>	-0.386
r	ˈɛ	-0.398
r_i	ɐ	-0.399
n_i	n	-0.407
l_i	ə	-0.419
<#	ʦ	-0.442
s	l	-0.492
k_n	ɕ	-0.517
k	ˈɪ_ɕ	-0.526
m	ˈoː	-0.546
r_m	ɐ	-0.547
ˈɑ	ˈa_ŋ	-0.556
<#	ˈʊ	-0.558
l	ə	-0.58
p_ɑ̃_#>	f	-0.593
n_θ	ɡ̊	-0.599
ˈe_k	ɕ	-0.603
n	ˈa_n	-0.604
r	ʦ	-0.613
r	m	-0.702
#>	f_#>	-0.731
<#	k	-0.796
x	l	-0.836
θ	ŋ	-0.839
r	n	-0.865
<#	j	-0.865
#>	ʃ_#>	-0.908
ɔː	k_#>	-0.925
n	ɡ̊	-0.932
n	ə_#>	-0.937
n	ˈa_ŋ	-0.957
n	ˈʏ	-0.978
n	ɕ	-1.0
m	ɐ	-1.064
ˈɑ	ŋ	-1.119
ɑ̃_#>	#>	-1.119
z_#>	#>	-1.119
z	#>	-1.119
s_#>	#>	-1.119
r_#>	#>	-1.119
<#_ˈɑ	<#	-1.119
<#_t	<#	-1.119
<#_r	<#	-1.119
<#_p	<#	-1.119
<#_n	<#	-1.119
<#_l	<#	-1.119
<#_k	<#	-1.119
<#_d	<#	-1.119
<#_θ	<#	-1.146
<#_ˈɑi̯	<#	-1.146
<#_ˈu	<#	-1.146
<#_ɣ	<#	-1.146
<#_x	<#	-1.149
ɸ_#>	#>	-1.173
<#_ˈe	<#	-1.173
<#_m	<#	-1.173
<#_j	<#	-1.173
<#	m	-1.18
n	ŋ_ɡ̊	-1.187
θ	ŋ_ɡ̊	-1.191
#>	k_#>	-1.219
ɑ	ɣ̊	-1.272
ɑ̃	#>	-1.274
#>	ɡ̊_#>	-1.299
<#	l	-1.309
<#	ˈɛː	-1.331
#>	z̥_#>	-1.347
r	ˈɛ_ɐ	-1.399
s	n	-1.465
i	n	-1.607
ˈe	ɕ	-1.618
m	<#	-1.627
<#	p	-1.632
i	ɕ	-1.651
m	ə	-1.696
ˈu	n	-1.719
ˈɑ	n	-1.728
<#	ˈɛ	-1.74
#>	ɡ̊	-1.76
#>	ɐ_#>	-1.791
#>	ə_#>	-1.843
θ	<#	-1.88
ɣ	ə	-1.885
p	#>	-1.95
<#	ʀ	-1.961
j	k	-2.062
ɣ	<#	-2.069
