Phone1	Phone2	PMI
n_s	n_s	10.411
<#_ˈu	<#_ˈʊ	10.389
s_l	ʃ_l	9.888
l_d	l_d̥	9.456
<#_r	<#_r	9.354
x_t	x_d̥	9.021
x_t	ç_d̥	8.908
s_t	ʃ_d̥	8.902
<#_ˈɑ	<#_ˈɒ	8.719
<#_n	<#_n	8.701
r_ɣ	ɐ_ç	8.435
r_n	ɐ_n	8.029
<#_l	<#_l	8.006
<#_t	<#_ʦ	7.927
<#_k	<#_ɡ̊	7.138
β	β	7.056
<#_j	<#_j	6.954
s_ˈe	s_ˈɛ	6.917
s_ˈi	s_ˈɪ	6.913
s_ˈɑ	s_ˈɒ	6.861
<#_d	<#_d̥	6.859
<#_p	<#_b̥͡v̥	6.634
<#_ɣ	<#_ɡ̊	6.529
ˈɑ_nː	ˈɛ_n	6.484
ˈɑ_s	ˈoː_s	6.395
ˈu	<#_ˈʊ	6.36
<#_θ	<#_d̥	6.327
ˈɑ_θ	ˈoː_d̥	6.294
ˈuː	ˈaʊ̯	6.271
p	b̥͡v̥	6.258
ˈɑ	<#_ˈɒ	6.22
ˈi_n	ˈɪ_n	6.161
x_s	ɡ̊_s	6.132
<#_j	j	6.123
<#_ˈu	ˈʊ	6.119
j	j	6.097
ɣ_r	ɡ̊_r	6.09
<#_ˈɑi̯	<#_ˈaː	6.077
nː	ˈɛ_n	6.058
<#_t	ʦ	5.998
d	<#_d̥	5.859
l	<#_l	5.834
<#_r	r	5.83
ˈɛː	ˈoː	5.809
t	<#_ʦ	5.79
l_θ	l_d̥	5.784
b	b̥	5.727
p	<#_b̥͡v̥	5.634
ˈɔː	ˈuː	5.602
ˈiː	ˈaɪ̯	5.591
r	<#_r	5.564
<#_ˈɑ	ˈɒ	5.555
ˈɛː_r	ˈoː_ɐ	5.536
m	m	5.434
ˈe	ˈɛ	5.405
ɔːː	a	5.401
r_t	ɐ_ʦ	5.397
ˈi	ˈɪ	5.385
n	<#_n	5.3
θ	<#_d̥	5.298
k	<#_ɡ̊	5.226
ɸ	f	5.19
<#_k	ɡ̊	5.171
<#_p	b̥͡v̥	5.139
ˈeu̯	ˈiː	5.075
ˈɑi̯	ˈaː	5.003
ˈu	ˈʊ	4.895
j	<#_j	4.818
k_#>	ç_#>	4.817
ˈu	ˈɔ	4.765
l	l	4.754
<#_l	l	4.754
ˈɑ	ˈɒ	4.741
ɣ	<#_ɡ̊	4.738
lː	l	4.729
ɔ̃ː	a	4.71
e	ɐ	4.649
<#_ɣ	ɡ̊	4.562
ˈɑi̯	<#_ˈaː	4.534
<#_xʷ	<#_v	4.474
ɡ	ŋ	4.406
ɛː	ɾ	4.406
t	ʦ	4.373
ˈɑu̯	ˈaː	4.361
ŋ	ŋ	4.334
t_#>	s_#>	4.309
r	r	4.307
<#_n	n	4.303
p	v̥	4.28
nː	n	4.273
ˈɑu̯	ˈuː	4.256
β	b̥	4.206
xʷ	<#_v	4.141
s	ʃ	4.101
<#_d	d̥	4.072
d	d̥	3.97
s	s	3.969
k	ɡ̊	3.904
n	n	3.883
ˈɑ	ˈoː	3.779
β	b̥_#>	3.766
ɣ	ç	3.741
ɣ	ɡ̊	3.719
t	z̥	3.674
k_#>	ç	3.67
ɣ	x	3.663
p	f	3.591
<#_θ	d̥	3.54
θ	d̥	3.444
<#_ˈɑi̯	ˈaː	3.404
ð	d̥	3.307
<#_xʷ	v	3.285
ˈɔː	ˈiː	3.264
k_ˈu	ɡ̊_ˈɔ	3.255
<#_ˈi	<#_ˈɪ	3.249
t_ɛː	d̥_ɐ	3.168
ɸ_ˈɔː	f_ˈiː	3.111
x	x	3.084
k	ç	3.031
ɣ	ɐ_ç	3.006
ˈe	ˈeː	2.974
d_r	d̥_r	2.964
z	ʃ_#>	2.953
xʷ	v	2.951
ˈɛː	ˈoː_ɐ	2.944
r_ˈu	r_ˈɪ	2.927
ɣ_ˈu	ɡ̊_ˈɔ	2.921
t_#>	s	2.907
ˈɑ_n	ˈɒ_n	2.884
k	ʃ_#>	2.864
r_#>	ɐ_#>	2.846
ˈɑi̯	ˈiː	2.825
lː	l_#>	2.794
x	x_d̥	2.779
ˈɑi̯_t	ˈaː_s	2.775
t	d̥	2.755
x	h	2.749
t	ʃ_d̥	2.739
t	ç_d̥	2.739
ɣ_ɑ	x	2.727
ˈu	ˈɪ	2.693
s_t	s_d̥	2.677
x	ç_d̥	2.666
d	l_d̥	2.613
θ_r	d̥_r	2.604
x	ç	2.596
r_m	ɐ_m	2.586
r_ɣ	ç	2.578
β_ɑ̃_#>	b̥_#>	2.551
t	x_d̥	2.544
l	ʃ_l	2.539
ˈu_ŋ	ˈʊ	2.519
<#	<#	2.485
#>	#>	2.485
r	ɐ	2.452
ˈɑ	ˈɔ	2.442
n_d	n_d̥	2.428
ð	ɾ	2.406
k	ʃ	2.39
l	l_d̥	2.344
ˈɑ	ˈɛ	2.332
nː	ˈɛ	2.297
k	ç_#>	2.245
ˈi	<#_ˈɪ	2.192
p	f_#>	2.174
x_t	x	2.126
ˈe	s_ˈɛ	2.119
t	s	2.057
ˈɛː	ɐ	1.999
ˈi	s_ˈɪ	1.999
s	n_s	1.997
ɑ_n	a	1.978
ˈiu̯	ˈaɪ̯	1.963
ˈɑ_ŋ	ˈɒ	1.955
ˈe	ˈɪ	1.933
ˈu	ˈoː	1.925
n	n_s	1.912
ˈeu̯_ɣ	ˈiː_ŋ	1.904
s	ʃ_l	1.864
s	ʃ_d̥	1.864
r_ð	ɐ_d̥	1.863
j	ˈaɪ̯	1.85
ˈi	ˈiː	1.837
ɑ	a	1.836
<#_ˈi	ˈɪ	1.818
t	ʃ	1.812
ˈi	ˈaɪ̯	1.772
s_l	ʃ	1.758
s_k	ʃ	1.758
ˈe	ˈiː	1.707
n	ɐ_n	1.667
w	v_ˈɒ	1.655
x_t	ç	1.637
t	s_#>	1.613
ð_ɛː	ɾ	1.606
s_t	ʃ	1.597
r_#>	ɐ	1.59
ŋ	ˈʊ	1.562
<#	<#_ˈʊ	1.551
<#	<#_ˈɒ	1.551
t	ç	1.529
ɛː	ɐ	1.517
ˈɑi̯_w	ˈiː	1.434
s_ɑ̃	s	1.431
n_s	s	1.431
k	x	1.406
θ	ˈoː_d̥	1.385
u	ɐ	1.385
w	ˈɒ	1.38
<#	<#_r	1.376
ɣ	ɡ̊_r	1.374
<#	<#_ʦ	1.374
<#	<#_d̥	1.358
t_ɑ	z̥	1.353
t	x	1.348
<#	<#_n	1.339
ˈɑ	s_ˈɒ	1.308
ˈɑ	ˈoː_d̥	1.272
<#	<#_l	1.246
ˈi	ˈɪ_n	1.222
w	ˈiː	1.216
ɑ	ɪ	1.19
ˈi_j	ˈaɪ̯	1.187
k_i	x	1.177
ɛː	d̥_ɐ	1.168
s_l	l	1.154
l_d	l	1.154
s_ˈe	ˈɛ	1.128
ˈɑ	ˈoː_s	1.11
t	ɐ_ʦ	1.109
ˈɑ_nː	ˈɛ	1.102
ˈi_n	ˈɪ	1.101
r_ɑ	ɐ	1.099
r_t	ʦ	1.085
<#	<#_ɡ̊	1.076
ˈi_ŋ	ˈɪ	1.049
ˈɑ_θ	ˈoː	1.04
ɔː	ɐ	1.034
ˈu	ɡ̊_ˈɔ	1.033
ˈɛː_r	ˈoː	1.023
ɣ_j	ɡ̊_n	1.022
ˈɑ_s	ˈoː	1.021
w	v	1.002
r	ɡ̊_r	0.958
ˈɑ	ˈɛ_n	0.954
ɣ_r	r	0.954
s	s_ˈɪ	0.953
n	ŋ	0.946
s	s_ˈɒ	0.925
s	s_ˈɛ	0.916
s_ˈi	ˈɪ	0.895
i	a	0.849
θ	l_d̥	0.847
s_ˈɑ	ˈɒ	0.843
x	ɡ̊_s	0.747
s	ˈoː_s	0.721
r	ɐ_#>	0.707
r_n	n	0.703
n_s	n	0.703
z	f_#>	0.694
r	ɐ_n	0.637
<#	<#_j	0.637
<#	<#_b̥͡v̥	0.615
j	a	0.602
β_ɑ	b̥	0.6
s_ˈi	s	0.593
ŋ	ˈɒ	0.576
ɣ	ŋ	0.571
x_t	d̥	0.565
s_t	d̥	0.565
t_s	s	0.561
s_ˈɑ	s	0.561
k_ɑ_z_#>	ʃ_#>	0.543
r	ɐ_ç	0.531
s	ɡ̊_s	0.526
ˈeu̯_ɣ	ˈiː	0.52
p_ɑ̃_#>	f_#>	0.508
ˈɑ_s	s	0.507
x_s	s	0.507
s_ˈe	s	0.507
β_ɑ̃_#>	b̥	0.496
x	ɡ̊	0.476
l_d	d̥	0.472
m	ɐ_m	0.397
l_θ	l	0.361
r_u	ɐ	0.347
ˈeu̯	ˈiː_ŋ	0.334
z	ʃ	0.334
ˈɑi̯	ˈaː_s	0.302
ŋ	ˈɪ	0.298
ˈɔː	f_ˈiː	0.281
r	d̥_r	0.276
x_s	ɡ̊	0.261
<#	<#_ˈaː	0.261
ˈɛː_r	ɐ	0.243
d	r	0.19
x	s	0.16
