Phone1	Phone2	PMI
ˈe_k	ˈɪ_k	10.279
x_t	x_t	9.692
<#_ˈɑ	<#_ˈa	9.227
ð_ɛː	d_ɐ	8.951
<#_r	<#_r	8.918
<#_n	<#_n	8.864
<#_l	<#_l	8.335
<#_t	<#_t	8.215
<#_m	<#_m	8.164
<#_ɣ	<#_x	7.903
<#_k	<#_k	7.881
ˈiu̯	ˈyː	7.506
m	<#_m	7.057
<#_d	<#_d	6.915
<#_ˈu	<#_ˈʊ	6.866
ˈuː_s	ˈʊ_s	6.847
ˈuː	ˈuː	6.825
p	p	6.823
ɣ	<#_x	6.759
ˈɛː	ˈɔː	6.63
l_d	l_t	6.616
ˈɑu̯	ˈaʊ̯	6.569
ˈeu̯	ˈaɪ̯	6.467
ˈɔː	ˈoː	6.458
ˈɑ	<#_ˈa	6.456
ˈiː	ˈiː	6.414
ˈɑi̯	ˈeː	6.395
s_l	ʃ_l	6.391
s_w	ʃ_ʋ	6.308
k	<#_k	6.145
ɑ_ɣ	ɪ_ç	6.13
ˈɔː	ˈøː	6.125
t	<#_t	6.107
ɡ	ŋ_#>	5.988
j	j	5.976
<#_ɣ	x	5.935
b	b	5.853
d	<#_d	5.759
l	<#_l	5.735
ɸ	f	5.649
<#_r	r	5.647
<#_m	m	5.602
m	m	5.602
<#_ˈɑ	ˈa	5.541
r	<#_r	5.514
ˈe	ˈɛː	5.437
ˈu	ˈʊ	5.317
ˈi	ˈɪ	5.316
ɣ	ɡ	5.281
<#_k	k	5.213
n	<#_n	5.204
ˈɑ	ˈaː	5.185
ɛː	d_ɐ	5.168
β	v	5.132
ɣ	x	5.121
ˈe	ˈɪɛ̯	5.086
e	ɐ	5.081
ɛː	ɐ	5.079
ɔ̃ː	ə	5.052
ɡ	ŋ	4.963
ˈɑ	ˈa	4.932
k	k	4.903
l	l	4.852
<#_l	l	4.852
ɔːː	ə	4.851
ɔː_#>	ə_#>	4.753
ˈu	ˈʏ	4.716
<#_d	d	4.715
ˈu	ˈuːə̯	4.583
w	ʋ	4.559
<#_t	t	4.511
ˈu	<#_ˈʊ	4.498
ˈɑː	ˈɔː	4.479
t	t	4.459
ˈuː	ˈʊ	4.416
pː	p	4.398
d	d	4.324
r	r	4.304
s	s	4.24
ˈe	ˈɛ	4.214
s	ʃ	4.18
ɣ	ç	4.149
ŋ	ŋ	4.146
