Phone1	Phone2	PMI
l_d̥	l_t	9.697
ˈœ	ˈʏ	7.626
ˈøː	ˈøː	7.329
p	p	7.11
l_t	l_d	6.394
ŋ_ɡ̊	n_d	6.345
ˈo	ˈʊ	6.334
ɕ	ç	6.326
d_ə	d_n	6.324
ˈiː	ˈiː	6.29
h	h	6.269
ˈeɪ̯_#>	ˈaɪ̯_#>	6.162
x	x	6.08
ŋ_ɐ	n_ɐ	6.054
ˈoː	ˈoː	5.887
ˈeɪ̯	ˈaɪ̯_#>	5.829
ʃ	ʃ	5.816
s_#>	s_#>	5.795
ˈɪ	ˈɪ	5.792
ˈɔ	ˈʊ	5.774
b	b	5.771
ˈeː	ˈeː	5.743
ˈe	ˈɪ	5.743
m	m	5.72
f	f	5.673
<#_n	<#_n	5.657
ˈaː	ˈa	5.555
ˈɔ	ˈɔ	5.549
ˈuː	ˈuː	5.521
v	v	5.476
z	z	5.461
ˈoː	ˈɔː	5.391
k	k	5.343
ŋ	ŋ	5.34
ˈa	ˈa	5.304
ˈɛ	ˈɛ	5.272
z	s	5.233
ʀ	r	5.219
ʋ	ʋ	5.21
ˈyː	ˈyː	5.162
ɐ	ɐ	5.103
ˈeː	ˈaɪ̯	5.009
ˈuː	ˈaʊ̯	4.96
ˈa	ˈɔ	4.933
s_ə	t_n	4.874
l	l	4.793
x	x_t	4.707
ˈɛ	ˈɪɛ̯	4.653
ʦ	<#_t	4.649
d	d	4.555
s	s_#>	4.469
ˈyː	ˈøː	4.402
ŋ_#>	ŋ	4.396
ŋ_#>	ŋ_ə_#>	4.304
t	t	4.296
s	s	4.258
ʦ	t	4.22
ˈeɪ̯_#>	ˈaɪ̯	4.135
ʃ_#>	ʃ_k_#>	4.113
n	<#_n	4.082
d̥	d	3.986
ˈaʊ̯	ˈuː	3.97
ˈɛː	ˈɪɛ̯	3.902
ʃ_#>	ʃ	3.882
ˈeɪ̯	ˈaɪ̯	3.802
n	n	3.787
s_#>	s	3.737
v_ə	v_n	3.686
ˈoː	ˈœː	3.632
v̥	v	3.561
d̥	l_t	3.436
v	v_n	3.416
ˈoː_n	ˈœː_n	3.393
v̥_#>	v_#>	3.388
v̥	v_#>	3.388
ˈɛː_ɐ	ˈa_ɐ	3.384
t_ɐ	t_ɐ	3.235
s	t	3.181
ɕ	k	3.125
ə	ɪ	3.005
d	d_n	2.984
ˈɪ	<#_ˈɪ	2.902
d̥	t	2.811
ŋ	n	2.751
ɡ̊	n_d	2.744
n_d̥	n_d	2.708
f_#>	p_#>	2.62
ˈɛ	ˈɪ	2.594
ɡ̊	d	2.588
<#_n	n	2.543
<#	<#	2.484
#>	#>	2.484
s	t_n	2.434
ŋ	ŋ_ə_#>	2.399
ʃ_#>	k	2.385
t_#>	d_#>	2.373
ŋ	n_d	2.357
ˈɛː	ˈɛː	2.243
<#	<#_n	2.232
ʃ	ʃ_k_#>	2.196
j	j	2.187
<#	<#_t	2.144
ˈaː	ˈaː	2.071
ɡ̊_#>	ŋ_#>	2.055
t	d	2.049
ŋ_#>	ə	2.039
j	x	2.03
#>	ˈaɪ̯_#>	1.999
ˈɛː	ˈɛ	1.992
#>	s_#>	1.98
f_#>	p	1.927
t	l_d	1.92
l	l_t	1.916
v̥_#>	v	1.754
ˈa	ˈɪ	1.739
f	p_#>	1.733
ˈiː	ˈeː	1.732
x	t	1.701
ˈeɪ̯	ˈeː	1.689
t	d_#>	1.599
ɡ̊	ŋ_#>	1.584
ˈuː	ˈʊ	1.551
ˈɛː	ˈa	1.524
t_#>	d	1.487
m_ə	m_n	1.444
ʋ	v	1.442
ˈɔ	ˈuːə̯	1.437
<#	<#_ˈɪ	1.43
ˈɛ	ʋ	1.287
ʃ	k	1.233
ɡ̊_#>	ŋ	1.223
ˈɛː	ɐ	1.2
l_d̥	l	1.193
ŋ	n_ɐ	1.178
ˈoː	ˈaʊ̯	1.06
ˈɛː	ˈa_ɐ	1.051
f	p	1.039
ɐ	n_ɐ	1.026
ˈiː	ˈaɪ̯	1.015
k_ə	k_n	1.002
l_d̥	t	0.991
d_ə	d	0.99
n_s	s	0.883
ɡ̊	n	0.859
v_ə	v	0.854
