Phone1	Phone2	PMI
d_r	d_ɾ	9.423
<#_r	<#_ɾ	9.12
s_#>	z̥_#>	8.817
f_#>	v̥_#>	8.504
tʰ	<#_t	8.279
<#_tʰ	<#_t	8.279
j	j	8.007
kʰ	<#_k	7.99
<#_kʰ	<#_k	7.99
ˈeː	<#_ˈɛː	7.793
ɡ	<#_x	7.585
<#_ɡ	<#_x	7.585
s_#>	z̥	7.492
f_#>	v̥	7.178
ˈu	ˈyː	6.893
n_t	n_t	6.864
ˈiː_#>	ˈi_#>	6.855
ˈi_f	ˈiː_v̥	6.855
ŋ	ŋ	6.812
pʰ	<#_p	6.785
<#_pʰ	<#_p	6.785
p	p	6.766
s_l	s_ɫ	6.762
ˈø	ˈuː	6.721
ʧ	<#_k	6.672
<#_ʧ	<#_k	6.672
b	b	6.571
n_ˈe	n_ˈɛː	6.384
ˈʌ	ˈu	6.185
f	v̥_#>	6.112
m	m	6.04
n_ˈi	n_ˈɛː	5.936
ˈa	ˈɑ	5.787
v	v	5.709
ˈɛ	ˈæ	5.633
x_#>	x_#>	5.595
r	<#_ɾ	5.557
ʃ	s	5.551
ˈɑː	ˈɑ	5.485
ˈəi̯	ˈi	5.484
w	ʋ	5.46
s	z̥_#>	5.358
ˈiː	ˈi_#>	5.307
ˈiː	ˈiː	5.293
f	v̥	5.278
k	k	5.276
ˈeː	ˈɛː	5.25
f	v	5.19
kʰ	k	5.185
<#_kʰ	k	5.185
ˈɪ	ˈɪ	5.102
<#_h_ˈeː	<#_ˈɛː	5.018
x	x	4.961
v	v_ə	4.958
x	x_#>	4.928
t	t	4.754
tʰ	t	4.661
<#_tʰ	t	4.661
s	z	4.656
ç	x	4.653
l	ɫ	4.628
ʃ	s_x	4.623
d	d̥	4.613
ˈe	ˈɪə̯	4.61
n	n	4.555
ˈɛ	ˈɑ	4.523
pʰ	p	4.415
<#_pʰ	p	4.415
ɡ	x	4.352
<#_ɡ	x	4.352
ˈɪ	ˈʏ	4.351
ˈiː_#>	ˈi	4.29
ˈe	ˈɛː	4.184
d	d	4.13
θ	d	4.112
<#_r	ɾ	4.102
ˈɪ	ˈi	4.101
s	s	4.072
r	ɾ	4.06
s	z̥	4.033
ˈɪ	ˈøː	4.031
ˈi	ˈʊə̯	3.875
ˈɑː	ˈɑu̯	3.873
ʧ	k	3.868
<#_ʧ	k	3.868
ˈi	ˈɛː	3.785
ˈi	ˈiː	3.747
z	z	3.664
#>	z̥_#>	3.531
ˈʌ	ˈɔ	3.519
ə	ə	3.44
l	l	3.433
j	<#_j	3.426
<#_j	<#_j	3.426
k	k_ə	3.422
z	z_ə	3.408
ʃ	x	3.4
v	ˈeː_v	3.397
ˈo	ˈɔ	3.352
x_#>	x	3.299
s_ˈɪ	z_ˈøː	3.294
f_r	v_ɾ	3.282
v_ə	v_ə	3.243
ˈeː	ˈæ	3.24
θ	d̥	3.179
#>	v̥_#>	3.167
ˈø	ˈɑ	3.048
ˈi	ˈuː	3.032
l_ˈi	ɫ_ˈʊə̯	3.007
<#_ˈɛ	<#_ˈɑ	2.956
ˈo	ˈʊə̯	2.923
ə_n	ə_n	2.898
<#_n	<#_n	2.898
ˈe	ˈʊə̯	2.889
<#_ˈiː	<#_ˈʊə̯	2.876
ˈi	ˈeː	2.841
ˈɪ	ˈæ	2.79
ˈiː	ˈi	2.742
ˈe_d	ˈʊə̯_d̥	2.718
<#_j	j	2.651
d	d_ɾ	2.638
ˈiː	ˈɛː	2.63
<#	<#	2.541
#>	#>	2.541
ˈɛ	<#_ˈɑ	2.515
#>	ˈi_#>	2.443
ˈɑː_l	ˈɑu̯	2.342
ˈø	ˈɑ_n	2.27
ˈi	ˈiː_v̥	2.258
<#	<#_ɾ	2.234
<#	<#_x	2.234
<#	<#_t	2.234
<#_h_ˈeː	ˈɛː	2.229
#>	z̥	2.206
l	ˈɑu̯	2.165
n	n_ˈɛː	2.162
ˈiː	<#_ˈʊə̯	2.102
ˈuː	ˈɔ	2.057
θ_#>	d̥_#>	1.996
ˈi_f	v̥	1.922
ˈi	<#_ˈʊə̯	1.913
f	ˈiː_v̥	1.91
<#	<#_k	1.885
ˈe	n_ˈɛː	1.874
<#_ˈɛ	ˈɑ	1.848
#>	v̥	1.842
n	<#_n	1.841
ˈe	ˈɑ	1.835
<#_ˈiː	ˈʊə̯	1.768
d_r	d	1.756
ə	ˈiː	1.711
r	d_ɾ	1.68
θ_#>	d̥	1.554
<#_n	n	1.52
t	n_t	1.475
ˈʌ	ˈɛː	1.382
ˈe	ˈæi̯	1.371
l	s_ɫ	1.359
ˈi	n_ˈɛː	1.338
s	s_ɫ	1.329
ˈəi̯	ˈyː	1.291
n	n_t	1.284
θ	d̥_#>	1.273
ˈi_f	ˈiː	1.236
ə	d_ə	1.19
#>	x_#>	1.163
n_ˈe	ˈɛː	1.149
ˈuː	ˈɔ_ɫ	1.065
ˈeː	ˈɪə̯	1.052
<#	<#_p	1.049
ˈiː	ˈʊə̯	0.994
<#	<#_ˈɛː	0.965
s_l	s	0.956
n_ˈi	ˈɛː	0.946
ˈuː	ɫ	0.882
<#_h_ˈi	<#_ˈʊə̯	0.882
ŋ	ŋ_k	0.663
<#	<#_ˈʊə̯	0.659
ˈeː	ˈɛː_n	0.651
ʍ	ʋ	0.582
ŋ	k	0.518
d_r	ɾ	0.502
n_t	t	0.387
s_l	ɫ	0.367
s_ˈɪ	ˈøː	0.36
f	v_ɾ	0.317
ə	v_ə	0.274
l	ˈʊə̯	0.246
n_ˈi	n	0.235
n_ˈe	n	0.188
n_t	n	0.188
ˈi	ɫ_ˈʊə̯	0.152
ˈɪ	z_ˈøː	0.096
h	<#_ˈɛː	0.093
l	ɫ_ˈʊə̯	0.087
ˈi	ɫ	-0.016
s	z_ˈøː	-0.026
v_ə	v	-0.033
ˈe	ˈʊə̯_d̥	-0.049
ə_r	ɾ	-0.08
<#	<#_j	-0.102
#>	ˈi	-0.122
ə	ə_n	-0.159
r	ˈɔ	-0.161
f_r	v	-0.174
s_ˈɪ	z	-0.214
