Phone1	PhonEnv	Phone2	Surprisal
a	<|S|	ə	0.0
a	<|S|>	ə	0.0
a	|S|>	ə	0.0
b	#|S|	b̥	0.061
b	#|S|	-	4.585
b	#|S|<	b̥	0.046
b	#|S|<_F	b̥	0.037
b	#|S|<_R	b̥	0.037
b	#|S|F	b̥	0.046
b	#|S|R	b̥	0.046
b	>|S|	b̥	0.841
b	>|S|	-	1.179
b	>|S|<	b̥	0.947
b	>|S|<	-	1.055
b	>|S|<_N	-	0.841
b	>|S|<_N	b̥	1.179
b	>|S|N	-	0.913
b	>|S|N	b̥	1.093
b	F_>|S|	b̥	0.947
b	F_>|S|	-	1.055
b	F_>|S|<	-	0.986
b	F_>|S|<	b̥	1.014
b	F_>|S|<_N	-	0.795
b	F_>|S|<_N	b̥	1.239
b	F_>|S|N	-	0.841
b	F_>|S|N	b̥	1.179
b	F|S|	b̥	0.841
b	F|S|	-	1.179
b	F|S|<	b̥	0.947
b	F|S|<	-	1.055
b	F|S|<_N	-	0.841
b	F|S|<_N	b̥	1.179
b	F|S|N	-	0.913
b	F|S|N	b̥	1.093
b	|S|<	b̥	0.193
b	|S|<	-	3.0
b	|S|<_F	b̥	0.046
b	|S|<_N	-	0.913
b	|S|<_N	b̥	1.093
b	|S|<_R	b̥	0.046
b	|S|F	b̥	0.061
b	|S|F	-	4.585
b	|S|N	b̥	0.96
b	|S|N	-	1.041
b	|S|R	b̥	0.061
b	|S|R	-	4.585
d	#|S|	d̥	0.0
d	#|S|<	d̥	0.0
d	#|S|<_F	d̥	0.0
d	#|S|F	d̥	0.0
d	>|S|	d̥	0.0
d	>|S|<	d̥	0.0
d	>|S|<_N	d̥	0.0
d	>|S|N	d̥	0.0
d	F_>|S|	d̥	0.0
d	F_>|S|<	d̥	0.0
d	F|S|	d̥	0.0
d	F|S|<	d̥	0.0
d	|S|<	d̥	0.0
d	|S|<_F	d̥	0.0
d	|S|<_N	d̥	0.0
d	|S|F	d̥	0.0
d	|S|N	d̥	0.0
d_ʁ	#|S|	d̥_ʁ	0.0
d_ʁ	#|S|<	d̥_ʁ	0.0
d_ʁ	#|S|<_F	d̥_ʁ	0.0
d_ʁ	#|S|F	d̥_ʁ	0.0
d_ʁ	|S|<	d̥_ʁ	0.0
d_ʁ	|S|<_F	d̥_ʁ	0.0
d_ʁ	|S|F	d̥_ʁ	0.0
d̥	>|S|	d̥	0.263
d̥	>|S|	-	2.585
d̥	>|S|#	d̥	0.263
d̥	>|S|#	-	2.585
d̥	F_>|S|	d̥	0.061
d̥	F_>|S|	-	4.585
d̥	F_>|S|#	d̥	0.049
d̥	F_>|S|#	-	4.907
d̥	F|S|	d̥	0.082
d̥	F|S|	-	4.17
d̥	F|S|#	d̥	0.061
d̥	F|S|#	-	4.585
d̥	|S|#	d̥	0.263
d̥	|S|#	-	2.585
eː	<|S|	eː	0.0
eː	<|S|>	eː	0.0
eː	<|S|>_N	eː	0.0
eː	<|S|N	eː	0.0
eː	|S|>	eː	0.0
eː	|S|>_N	eː	0.0
eː	|S|N	eː	0.0
f	#|S|	f	0.0
f	#|S|<	f	0.0
f	#|S|<_F	f	0.0
f	#|S|<_R	f	0.0
f	#|S|F	f	0.0
f	#|S|R	f	0.0
f	>|S|	f	0.0
f	>|S|#	f	0.0
f	>|S|<	f	0.0
f	F_>|S|	f	0.0
f	F_>|S|#	f	0.0
f	F_>|S|<	f	0.0
f	F|S|	f	0.0
f	F|S|#	f	0.0
f	F|S|<	f	0.0
f	|S|#	f	0.0
f	|S|<	f	0.0
f	|S|<_F	f	0.0
f	|S|<_R	f	0.0
f	|S|F	f	0.0
f	|S|R	f	0.0
f_n	>|S|	f_ə	0.0
f_n	>|S|#	f_ə	0.0
f_n	F_>|S|	f_ə	0.0
f_n	F_>|S|#	f_ə	0.0
f_n	F|S|	f_ə	0.0
f_n	F|S|#	f_ə	0.0
f_n	|S|#	f_ə	0.0
h	#|S|	h	0.0
h	#|S|<	h	0.0
h	#|S|<_F	h	0.0
h	#|S|F	h	0.0
h	|S|<	h	0.0
h	|S|<_F	h	0.0
h	|S|F	h	0.0
j	#|S|	j	0.0
j	#|S|<	j	0.0
j	#|S|<_F	j	0.0
j	#|S|F	j	0.0
j	|S|<	j	0.0
j	|S|<_F	j	0.0
j	|S|F	j	0.0
k	>|S|	k	0.0
k	>|S|<	k	0.0
k	>|S|<_N	k	0.0
k	>|S|N	k	0.0
k	F_>|S|	k	0.0
k	F_>|S|<	k	0.0
k	F_>|S|<_N	k	0.0
k	F_>|S|N	k	0.0
k	F|S|	k	0.0
k	F|S|<	k	0.0
k	F|S|<_N	k	0.0
k	F|S|N	k	0.0
k	|S|<	k	0.0
k	|S|<_N	k	0.0
k	|S|N	k	0.0
kʰ	#|S|	kʰ	0.0
kʰ	#|S|<	kʰ	0.0
kʰ	#|S|<_F	kʰ	0.0
kʰ	#|S|F	kʰ	0.0
kʰ	|S|<	kʰ	0.0
kʰ	|S|<_F	kʰ	0.0
kʰ	|S|F	kʰ	0.0
l	#|S|	l	0.0
l	#|S|<	l	0.0
l	#|S|<_F	l	0.0
l	#|S|F	l	0.0
l	<|S|	l	0.0
l	<|S|#	l	0.0
l	<|S|<	l	0.0
l	<|S|<_F	l	0.0
l	<|S|F	l	0.0
l	>|S|	l	0.0
l	>|S|#	l	0.0
l	>|S|<	l	0.0
l	>|S|<_F	l	0.0
l	>|S|>	l	0.0
l	>|S|F	l	0.0
l	F_>|S|	l	0.0
l	F_>|S|#	l	0.0
l	F_>|S|<	l	0.0
l	F_>|S|<_F	l	0.0
l	F_>|S|>	l	0.0
l	F_>|S|F	l	0.0
l	F|S|	l	0.0
l	F|S|#	l	0.0
l	F|S|<	l	0.0
l	F|S|<_F	l	0.0
l	F|S|>	l	0.0
l	F|S|F	l	0.0
l	|S|#	l	0.0
l	|S|<	l	0.0
l	|S|<_F	l	0.0
l	|S|>	l	0.0
l	|S|F	l	0.0
m	#|S|	m	0.0
m	#|S|<	m	0.0
m	#|S|<_F	m	0.0
m	#|S|F	m	0.0
m	>|S|	m	0.0
m	>|S|#	m	0.0
m	>|S|<	m	0.0
m	F_>|S|	m	0.0
m	F_>|S|#	m	0.0
m	F_>|S|<	m	0.0
m	F|S|	m	0.0
m	F|S|#	m	0.0
m	F|S|<	m	0.0
m	|S|#	m	0.0
m	|S|<	m	0.0
m	|S|<_F	m	0.0
m	|S|F	m	0.0
n	#|S|	n	0.124
n	#|S|	ə	3.606
n	#|S|<	n	0.092
n	#|S|<	ə	4.021
n	#|S|<_F	n	0.073
n	#|S|<_F	ə	4.343
n	#|S|F	n	0.092
n	#|S|F	ə	4.021
n	<|S|	ə	0.744
n	<|S|	n	1.547
n	<|S|#	ə	0.516
n	<|S|#	n	1.925
n	<|S|<	n	0.092
n	<|S|<	ə	4.021
n	<|S|<_F	n	0.073
n	<|S|<_F	ə	4.343
n	<|S|>	n	2.408
n	<|S|>	ə	4.021
n	<|S|F	n	0.092
n	<|S|F	ə	4.021
n	>|S|	n	0.124
n	>|S|	ə	3.606
n	>|S|#	n	0.092
n	>|S|#	ə	4.021
n	>|S|<	n	0.092
n	>|S|<	ə	4.021
n	>|S|<_F	n	0.073
n	>|S|<_F	ə	4.343
n	>|S|>	n	0.092
n	>|S|>	ə	4.021
n	>|S|F	n	0.092
n	>|S|F	ə	4.021
n	F_>|S|	n	0.092
n	F_>|S|	ə	4.021
n	F_>|S|#	n	0.073
n	F_>|S|#	ə	4.343
n	F_>|S|<	n	0.073
n	F_>|S|<	ə	4.343
n	F_>|S|<_F	n	0.06
n	F_>|S|<_F	ə	4.606
n	F_>|S|>	n	0.073
n	F_>|S|>	ə	4.343
n	F_>|S|F	n	0.073
n	F_>|S|F	ə	4.343
n	F|S|	n	0.124
n	F|S|	ə	3.606
n	F|S|#	n	0.092
n	F|S|#	ə	4.021
n	F|S|<	n	0.092
n	F|S|<	ə	4.021
n	F|S|<_F	n	0.073
n	F|S|<_F	ə	4.343
n	F|S|>	n	0.092
n	F|S|>	ə	4.021
n	F|S|F	n	0.092
n	F|S|F	ə	4.021
n	|S|#	n	0.824
n	|S|#	ə	1.267
n	|S|<	n	0.124
n	|S|<	ə	3.606
n	|S|<_F	n	0.092
n	|S|<_F	ə	4.021
n	|S|>	n	0.177
n	|S|>	ə	3.606
n	|S|F	n	0.124
n	|S|F	ə	3.606
n_t	>|S|	n_t	0.0
n_t	>|S|<	n_t	0.0
n_t	F_>|S|	n_t	0.0
n_t	F_>|S|<	n_t	0.0
n_t	F|S|	n_t	0.0
n_t	F|S|<	n_t	0.0
n_t	|S|<	n_t	0.0
p	>|S|	p	0.0
p	>|S|<	p	0.0
p	>|S|<_R	p	0.0
p	>|S|R	p	0.0
p	|S|<	p	0.0
p	|S|<_R	p	0.0
p	|S|R	p	0.0
p͡f	>|S|	p͡f	0.0
p͡f	>|S|#	p͡f	0.0
p͡f	>|S|<	p͡f	0.0
p͡f	F_>|S|	p͡f	0.0
p͡f	F_>|S|<	p͡f	0.0
p͡f	F|S|	p͡f	0.0
p͡f	F|S|<	p͡f	0.0
p͡f	|S|#	p͡f	0.0
p͡f	|S|<	p͡f	0.0
s	<|S|	s	0.0
s	<|S|#	s	0.0
s	>|S|	s	0.0
s	>|S|#	s	0.0
s	>|S|<	s	0.0
s	F_>|S|	s	0.0
s	F_>|S|#	s	0.0
s	F_>|S|<	s	0.0
s	F|S|	s	0.0
s	F|S|#	s	0.0
s	F|S|<	s	0.0
s	|S|#	s	0.0
s	|S|<	s	0.0
s_n	>|S|	s_ə	0.0
s_n	>|S|#	s_ə	0.0
s_n	F_>|S|	s_ə	0.0
s_n	F_>|S|#	s_ə	0.0
s_n	F|S|	s_ə	0.0
s_n	F|S|#	s_ə	0.0
s_n	|S|#	s_ə	0.0
s_t	>|S|	ʃ_t	0.0
s_t	>|S|#	ʃ_t	0.0
s_t	>|S|<	ʃ_t	0.0
s_t	F_>|S|	ʃ_t	0.0
s_t	F_>|S|<	ʃ_t	0.0
s_t	F|S|	ʃ_t	0.0
s_t	F|S|<	ʃ_t	0.0
s_t	|S|#	ʃ_t	0.0
s_t	|S|<	ʃ_t	0.0
t	>|S|	t	0.0
t	>|S|#	t	0.0
t	>|S|<	t	0.0
t	>|S|<_F	t	0.0
t	>|S|<_N	t	0.0
t	>|S|F	t	0.0
t	>|S|N	t	0.0
t	F_>|S|	t	0.0
t	F_>|S|#	t	0.0
t	F_>|S|<	t	0.0
t	F_>|S|<_N	t	0.0
t	F_>|S|N	t	0.0
t	F|S|	t	0.0
t	F|S|#	t	0.0
t	F|S|<	t	0.0
t	F|S|<_N	t	0.0
t	F|S|N	t	0.0
t	|S|#	t	0.0
t	|S|<	t	0.0
t	|S|<_F	t	0.0
t	|S|<_N	t	0.0
t	|S|F	t	0.0
t	|S|N	t	0.0
tʰ	#|S|	d̥	0.737
tʰ	#|S|	t	1.322
tʰ	#|S|<	d̥	0.737
tʰ	#|S|<	t	1.322
tʰ	#|S|<_F	d̥	0.12
tʰ	#|S|<_F	t	3.644
tʰ	#|S|<_R	t	0.184
tʰ	#|S|<_R	d̥	3.059
tʰ	#|S|F	d̥	0.152
tʰ	#|S|F	t	3.322
tʰ	#|S|R	t	0.234
tʰ	#|S|R	d̥	2.737
tʰ	|S|<	d̥	0.737
tʰ	|S|<	t	1.322
tʰ	|S|<_F	d̥	0.152
tʰ	|S|<_F	t	3.322
tʰ	|S|<_R	t	0.234
tʰ	|S|<_R	d̥	2.737
tʰ	|S|F	d̥	0.206
tʰ	|S|F	t	2.907
tʰ	|S|R	t	0.322
tʰ	|S|R	d̥	2.322
v	#|S|	ʋ	0.057
v	#|S|	w	4.7
v	#|S|<	ʋ	0.042
v	#|S|<_F	ʋ	0.034
v	#|S|F	ʋ	0.042
