Phone1	Phone2	Surprisal	OOV_Smoothed
#>	n_#>	1.0	5.395
#>	ɛ_#>	1.0	5.395
<#_j	<#	0.0	5.395
<#_l	<#_j	0.0	5.395
<#_n	<#_n	0.0	5.395
<#_ʁ	<#_r	0.0	5.395
b	b	0.322	5.395
b	v	3.059	5.395
b	v_ɛ	3.644	5.395
b_n_#>	#>	0.0	5.395
b̥_#>	v_#>	0.0	5.395
d	tʰ	0.678	5.395
d	-	3.0	5.395
d	d	3.0	5.395
d	ɕ	3.0	5.395
d̥	d	0.0	5.395
f	f	0.61	5.395
f	p	2.273	5.395
f	v	2.858	5.395
f_#>	pː_#>	0.0	5.395
h	h	0.0	5.395
k	k	1.322	5.395
k	ɡː	1.322	5.395
k	kː	2.322	5.395
kʰ	kʰ	0.415	5.395
kʰ	ɕ	2.0	5.395
l	l	0.123	5.395
l	lː	3.615	5.395
m	m	0.433	5.395
m	mː	1.948	5.395
n	n	1.128	5.395
n	a	1.359	5.395
n	nː	3.075	5.395
n	ʊ	4.883	5.395
n_#>	#>	0.0	5.395
n_d	n_d	0.737	5.395
n_d	nː	1.322	5.395
p͡f	pʰ	0.0	5.395
s	t	0.387	5.395
s	tː	2.087	5.395
s_t	s_t	0.0	5.395
t	d	0.893	5.395
t	t	1.893	5.395
t	-	3.115	5.395
t	s	3.7	5.395
t_n	d_a	0.0	5.395
tʰ	d	0.222	5.395
tʰ	tʰ	2.807	5.395
tʰ_ˈiː	j_ˈʉː	0.0	5.395
v	v	0.399	5.395
v	-	2.051	5.395
v_ˈɔ	ˈɵ	0.0	5.395
x	k	0.0	5.395
x_t	tː	0.0	5.395
z	s	0.515	5.395
z	ɧ	1.737	5.395
z̥_#>	s_#>	0.0	5.395
ç	k	0.515	5.395
ç	ɡ	1.737	5.395
ç_t	tː	0.0	5.395
ŋ	ŋː	0.0	5.395
ŋ_k	kː	0.0	5.395
ɐ	r	0.869	5.395
ɐ	ɛ_r	2.222	5.395
ɐ	-	3.07	5.395
ɐ	r_a	3.807	5.395
ɐ	ɛ	4.392	5.395
ɐ_n	ɳ	0.0	5.395
ɐ_t	ɖ	0.0	5.395
ə	a	0.907	5.395
ə	-	1.322	5.395
ə	ɛ	3.907	5.395
ə_n	a	0.0	5.395
ɡ	ɡ	0.469	5.395
ɡ	j	2.585	5.395
ɡ	ɡ_ɛ	3.17	5.395
ɡ̊	j	0.0	5.395
ɡ̊_#>	ɡ_#>	0.0	5.395
ɪ	ɪ	0.0	5.395
ʁ	r	0.131	5.395
ʁ	-	3.524	5.395
ʃ	s	0.943	5.395
ʃ	s_k	2.059	5.395
ʃ	ɧ	2.059	5.395
ʦ	tʰ	0.415	5.395
ʦ	tː	2.0	5.395
ˈa	ˈa	0.608	5.395
ˈa	ˈɑː	2.193	5.395
ˈa	-	4.0	5.395
ˈa	ˈɛ	4.0	5.395
ˈaɪ̯	ˈiː	1.263	5.395
ˈaɪ̯	ˈeː	1.415	5.395
ˈaɪ̯	ˈɛ	2.263	5.395
ˈaʊ̯	ˈʉː	0.678	5.395
ˈaʊ̯	ˈøː	2.0	5.395
ˈaʊ̯	ˈɵ	3.0	5.395
ˈaː	ˈoː	1.363	5.395
ˈaː	ˈɑː	1.363	5.395
ˈaː	ˈa	3.17	5.395
ˈaː	ˈɛː	3.17	5.395
ˈeː	ˈɛː	0.737	5.395
ˈeː	ˈæː	1.322	5.395
ˈeː_#>	ˈøː_#>	0.0	5.395
ˈiː	ˈʉː	0.585	5.395
ˈiː	ˈyː	1.585	5.395
ˈiː_ɐ_#>	ˈiː_#>	0.0	5.395
ˈoː	ˈoː	1.0	5.395
ˈoː	ˈøː	1.0	5.395
ˈuː	ˈuː	0.29	5.395
ˈuː	ˈøː	2.459	5.395
ˈyː	ˈøː	0.0	5.395
ˈøː	ˈøː	0.0	5.395
ˈɔ	ˈɔ	1.222	5.395
ˈɔ	ˈuː	2.222	5.395
ˈɔ	ˈɵ	2.222	5.395
ˈɔ	ˈœ	2.807	5.395
ˈɔʏ̯	ˈyː	0.737	5.395
ˈɔʏ̯	ˈœ	1.322	5.395
ˈɛ	ˈɛ	0.241	5.395
ˈɛ	ˈɛː	2.7	5.395
ˈɪ	ˈɪ	0.363	5.395
ˈɪ	ˈœ	3.17	5.395
ˈɪ	ˈɛ	3.17	5.395
ˈʊ	ˈɵ	1.138	5.395
ˈʊ	ˈʊ	1.459	5.395
ˈʊ	ˈœ	2.459	5.395
ˈʏ	ˈʏ	0.0	5.395
