Phone1	Phone2	PMI
<#_ˈa	<#_ˈaː	9.887
<#_kʰ	<#_k	8.825
<#_n	<#_n	8.811
f_#>	p_#>	8.662
kʰ	<#_k	8.363
l_#>	l_#>	8.32
ʃ_d	s_t	8.29
s_#>	s_#>	8.125
ˈɔə̯	ˈoː	8.123
ɪ	ɪ	8.001
<#_ʁ	<#_r	7.736
s_a	t_ə	7.651
ˈae̯	ˈøə̯	7.261
<#_ˈa	ˈaː	6.909
ˈɔ	ˈoə̯	6.77
ˈa	<#_ˈaː	6.76
ŋ	ŋ	6.686
n	<#_n	6.599
l_d	l_d̥	6.476
j	<#_j	6.463
<#_j	<#_j	6.463
ˈiə̯	j_ˈɪ	6.36
f_#>	p	6.312
s	s_#>	6.242
f	p_#>	6.111
ˈeə̯	ˈiə̯	6.097
f_a	p_ə	6.093
h	h	5.957
ˈuə̯	ˈuə̯	5.923
m	m	5.89
ʋ	ʋ	5.785
ˈəi̯_s	ˈi_t	5.628
l	l_#>	5.606
ˈo	ˈu	5.571
f_ʁ	f_r	5.536
ɡ_ʁ	ɡ_r	5.528
b	b	5.49
ʁ	<#_r	5.435
<#_ɡ	<#_ɡ	5.434
ɡ_#>	ɣ̥_#>	5.332
eə̯	ɪ_n	5.212
ˈo	ˈɔ	5.194
i	ɪ	5.187
<#_kʰ	k	5.12
b_#>	f_#>	5.11
d_ʁ	t_r	5.094
f	f	5.078
ˈa	ˈai̯	5.072
ˈao̯	ˈuː	5.069
ˈe	ˈɪ	5.056
ˈəi̯	ˈiː	5.05
ˈɪ	ˈɪ	5.037
ˈoː	ˈɪə̯_#>	5.005
ˈiə̯	ˈu̯o	4.98
ɡ	ɡ	4.94
l_#>	l	4.922
ˈeː	ˈeː	4.918
eə̯	ɪ	4.885
ˈɛ	ˈɛ	4.865
kʰ	ʦ	4.858
l	l	4.793
ˈa	ˈa	4.786
ɡ	ɣ	4.762
s	ɕ	4.716
<#_n	n	4.697
ˈɔː	ˈiə̯	4.688
ˈoː	ˈɪə̯	4.661
kʰ	k	4.658
ˈiə̯	j	4.653
ˈa	ˈaː	4.607
n	n	4.562
<#_ɡ	ɡ	4.552
ʌ	ə_r	4.486
s_#>	s	4.479
ɡ_#>	ɣ̥	4.45
ˈiə̯	ˈɪ	4.442
f	p	4.437
ʃ	s	4.391
ɡ	ɣ̥	4.369
ç	k_ə	4.306
ç	k	4.288
ʦ	t	4.221
ˈəi̯	ˈi	4.191
ˈi	ˈɪ	4.145
ʃ	s_t	4.108
ɡ	<#_ɡ	4.075
ˈoː_d_#>	ˈɪə̯_#>	4.056
<#	<#_ˈaː	4.027
<#	<#_r	4.027
<#	<#_n	4.027
<#	<#_k	4.027
x	χ	4.01
ˈeə̯	ˈiə̯_n	3.992
d	d	3.934
a	ə	3.89
ʃ	s_k	3.882
ˈuː	ˈuə̯	3.806
ˈo	ˈuː	3.788
d	d̥	3.747
j	j	3.712
<#_j	j	3.712
ˈiː	ˈiə̯	3.704
s	s	3.703
ɡ	ɣ̥_#>	3.659
ˈa	ˈɔː	3.472
#>	p_#>	3.472
b	f_#>	3.449
x	k	3.435
ˈɛ_l	ˈa_l	3.419
ˈaː	ˈɛi̯	3.417
#>	s_#>	3.415
ʌ	r	3.372
ç	χ	3.293
ˈi	ˈi	3.274
ˈəi̯	j_ˈuə̯	3.268
ʃ_l	s_l	3.187
ʌ	ə	3.117
s	ˈi_t	3.091
n_a	n_ə	3.089
#>	l_#>	2.961
ˈɔe̯	ˈiə̯	2.948
m_#>	m_#>	2.892
ˈae̯	ˈɛ	2.891
<#_ʁ	r	2.878
d	t	2.857
ˈaː	ˈa	2.847
ˈɔː	ˈa	2.84
d	s_t	2.825
ˈɔe̯	ˈiə̯_n	2.799
ʁ	r	2.747
ˈɛː	ˈɪə̯	2.73
ˈəi̯	j	2.73
<#_l	<#_l	2.718
b_#>	f	2.683
ˈa	ˈɪə̯	2.68
ˈəi̯	ˈuə̯	2.658
ˈo	ˈoə̯	2.636
ʋ	v	2.63
s	t	2.591
<#	<#	2.536
#>	#>	2.536
ʃ	k	2.507
<#_ʦ	<#_t	2.502
ˈi	ˈi_#>	2.472
ç_#>	k_#>	2.436
ˈəi̯	ˈi_t	2.433
l_d	d̥	2.426
ɡ_ʁ	ɡ	2.425
ˈaː_ɡ	ˈɛi̯	2.417
ʕ	r	2.362
ˈəi̯_s	ˈi	2.354
m	m_#>	2.337
d_#>	d̥_#>	2.328
ʁ	ɡ_r	2.314
f	f_r	2.31
ˈao̯	ˈɪə̯	2.276
ʁ	f_r	2.263
ʌ	ˈi_#>	2.254
ɡ	ɡ_r	2.233
a	j_ə	2.188
ʌ	ˈuə̯	2.172
f_a	p	2.164
a	t_ə	2.125
l	l_d̥	2.1
ʦ	<#_t	2.081
ʃ	t	2.077
b̥͡f	p	2.051
<#	<#_j	2.024
l	<#_l	2.013
ʃ_d	t	2.006
ˈɛ	ˈɪ	1.998
ʃ_d	s	1.991
a	p_ə	1.971
ç	k_#>	1.964
#>	ˈɪə̯_#>	1.96
ˈo	ˈyː	1.957
ˈɛ	ˈø	1.944
d_ʁ	d_r	1.933
ʌ	ˈuə̯_r	1.916
<#	<#_ɡ	1.915
m_#>	m	1.895
ʁ	ɡ	1.885
d_#>	d̥	1.884
ˈi_ʌ_#>	ˈi_#>	1.841
a	j	1.814
ʁ	t_r	1.772
f	p_ə	1.75
s_a	ə	1.746
ˈo_n	ˈyː	1.69
ˈo	ˈɔu̯	1.687
ˈi	ˈɔu̯	1.675
f_ʁ	f	1.67
s	t_ə	1.662
s_a	t	1.652
ʋ_ˈɛ	ˈø	1.646
#>	ɣ̥_#>	1.636
<#_l	l	1.594
ˈeː	ˈɛi̯	1.584
ˈu	ˈɔ	1.568
d	d̥_#>	1.562
s_ˈɪ	ɕ	1.557
ʋ	ˈø	1.552
ˈiə̯	ˈɪə̯	1.525
x_#>	k	1.507
ˈoː_d_#>	ˈɪə̯	1.506
ˈo_l	ˈɔu̯	1.503
ɡ	k	1.483
ˈa_x	ˈai̯	1.474
d	t_r	1.469
d	l_d̥	1.469
ˈeə̯	n	1.397
eə̯	n	1.387
ˈae̯	ˈuː	1.374
ç_#>	k	1.349
<#_ʦ	t	1.315
#>	f_#>	1.25
ˈɛ	ˈiː	1.201
ˈoː	ˈoə̯	1.194
ˈi	ˈɔ	1.188
x_#>	k_ə_#>	1.16
#>	p	1.122
ʁ	f	1.072
<#	ˈaː	1.05
f	v	1.047
l	ˈɔu̯	1.041
ʌ	ˈi	1.037
<#	ɡ	1.033
b	f	1.022
ˈɛ	ˈa	0.976
l_d	l	0.969
l	d̥	0.921
d_ʁ	t	0.908
b	v	0.901
d	s	0.859
ˈɪ	ɕ	0.828
ˈɛ	ˈa_l	0.819
d_ʁ	r	0.804
ˈi	j	0.778
f_a	ə	0.765
ɡ	z	0.756
#>	ɣ̥	0.754
ˈəi̯_s	t	0.642
ˈi_ʌ_#>	ˈi	0.624
ʁ	d	0.618
ˈɛ	j	0.597
ʃ	s_l	0.531
x	ˈai̯	0.484
x	k_ə_#>	0.437
ɡ	ˈɛi̯	0.421
l	l_j	0.417
l	ˈa_l	0.413
l	s_l	0.413
<#	<#_l	0.413
ˈɛ_l	ˈa	0.376
d_ʁ	d	0.366
#>	ˈi_#>	0.355
#>	k_#>	0.331
n	n_ə	0.326
<#	k	0.322
#>	m_#>	0.312
ˈɔe̯	n	0.31
f	v_ə	0.298
ʁ	t	0.26
a	n_ə	0.237
#>	d̥_#>	0.183
s_#>	#>	0.136
l_#>	#>	0.136
f_#>	#>	0.136
<#_ˈa	<#	0.136
<#_ʁ	<#	0.136
<#_n	<#	0.136
<#_kʰ	<#	0.136
<#	<#_t	0.08
d	d_r	0.059
ʁ	d_r	0.045
n	ˈyː	0.028
ˈɛ_l	l	-0.006
ʃ_l	l	-0.006
l_b	l	-0.006
n_d	n	-0.021
n_a	n	-0.021
l	j	-0.029
ˈoː_d	ˈɪə̯	-0.073
ˈɛ	l	-0.078
<#	n	-0.086
l	ˈa	-0.104
a	n	-0.168
ç	ə	-0.178
ʃ_l	s	-0.18
d	n	-0.187
n_a	ə	-0.227
d_a	ə	-0.228
#>	s	-0.23
#>	d̥	-0.26
#>	ə_#>	-0.29
d_#>	#>	-0.306
ɡ_#>	#>	-0.311
j	<#	-0.311
b_#>	#>	-0.311
<#_ˈɛ	<#	-0.311
<#_ɡ	<#	-0.311
<#_j	<#	-0.311
kʰ	<#	-0.326
ʃ	l	-0.343
f_ʁ	r	-0.345
ɡ_ʁ	r	-0.358
#>	l	-0.437
l	s	-0.562
#>	ˈɪə̯	-0.59
#>	k	-0.618
x_#>	ə	-0.664
d	r	-0.672
#>	m	-0.685
<#	l	-0.711
<#	j	-0.727
m_#>	#>	-0.753
<#_ʦ	<#	-0.753
<#_l	<#	-0.753
b	l	-0.754
ç_#>	#>	-0.758
x_#>	#>	-0.758
d_ʌ	r	-0.781
<#	r	-0.831
#>	ˈi	-0.863
f	r	-0.959
n	ə	-1.043
d	l	-1.091
<#	t	-1.108
ʦ	<#	-1.174
#>	f	-1.177
ɡ	r	-1.192
ç	#>	-1.23
#>	ə	-1.307
m	#>	-1.308
ˈoː	#>	-1.361
x	ə	-1.387
l	<#	-1.458
x	#>	-1.481
s	ˈi	-1.519
#>	k_ə_#>	-1.632
ɡ	<#	-1.67
ˈi	#>	-1.722
s	#>	-1.747
d	ˈɪə̯_#>	-1.759
ʌ	#>	-1.884
b	#>	-1.972
ɡ	#>	-1.983
n	<#	-2.076
ˈɛ	<#	-2.114
ʁ	<#	-2.165
ˈoː_d_#>	#>	-2.311
ˈi_ʌ_#>	#>	-2.353
f	#>	-2.416
l	#>	-2.578
ˈa	<#	-2.991
d	#>	-3.074
f	ə	-3.119
s	ə	-4.138
d	ə	-4.82
d	ˈɪə̯	-4.978
