Phone1	PhonEnv	Phone2	Surprisal
b̥	#|S|	b	0.047
b̥	#|S|	-	4.977
b̥	#|S|<	b	0.035
b̥	#|S|<_F	b	0.028
b̥	#|S|<_R	b	0.028
b̥	#|S|F	b	0.035
b̥	#|S|R	b	0.035
b̥	>|S|	b	1.729
b̥	>|S|	-	2.475
b̥	>|S|#	b	2.144
b̥	>|S|<	-	0.37
b̥	>|S|<	b	2.144
b̥	F_>|S|	-	1.627
b̥	F_>|S|	b	2.144
b̥	F_>|S|#	b	2.466
b̥	F_>|S|<	-	0.288
b̥	F_>|S|<	b	2.466
b̥	F|S|	b	1.729
b̥	F|S|	-	1.745
b̥	F|S|#	b	2.144
b̥	F|S|<	-	0.37
b̥	F|S|<	b	2.144
b̥	|S|#	b	1.729
b̥	|S|#	-	4.977
b̥	|S|<	b	0.144
b̥	|S|<	-	3.392
b̥	|S|<_F	b	0.035
b̥	|S|<_R	b	0.035
b̥	|S|F	b	0.047
b̥	|S|F	-	4.977
b̥	|S|R	b	0.047
b̥	|S|R	-	4.977
d̥	#|S|	d	0.076
d̥	#|S|<	d	0.086
d̥	#|S|<_F	d	0.0
d̥	#|S|<_R	d	0.0
d̥	#|S|F	d	0.0
d̥	#|S|R	d	0.0
d̥	>|S|	d	1.379
d̥	>|S|#	d	2.0
d̥	>|S|<	d	1.0
d̥	F_>|S|	d	2.0
d̥	F_>|S|<	d	2.322
d̥	F|S|	d	1.585
d̥	F|S|<	d	2.0
d̥	|S|#	d	1.585
d̥	|S|<	d	0.193
d̥	|S|<_F	d	0.0
d̥	|S|<_R	d	0.0
d̥	|S|F	d	0.0
d̥	|S|R	d	0.0
d̥_ə	>|S|	ɐ	0.807
d̥_ə	>|S|	n	1.222
d̥_ə	>|S|#	n	0.222
d̥_ə	>|S|#	ɐ	2.807
d̥_ə	>|S|>	ɐ	0.163
d̥_ə	>|S|>	n	3.222
d̥_ə	>|S|>_R	ɐ	0.129
d̥_ə	>|S|>_R	n	3.544
d̥_ə	>|S|R	ɐ	0.163
d̥_ə	>|S|R	n	3.222
d̥_ə	F_>|S|	ɐ	0.163
d̥_ə	F_>|S|	n	3.222
d̥_ə	F_>|S|>	ɐ	0.129
d̥_ə	F_>|S|>	n	3.544
d̥_ə	F_>|S|>_R	ɐ	0.107
d̥_ə	F_>|S|>_R	n	3.807
d̥_ə	F_>|S|R	ɐ	0.129
d̥_ə	F_>|S|R	n	3.544
d̥_ə	F|S|	ɐ	0.222
d̥_ə	F|S|	n	2.807
d̥_ə	F|S|>	ɐ	0.163
d̥_ə	F|S|>	n	3.222
d̥_ə	F|S|>_R	ɐ	0.129
d̥_ə	F|S|>_R	n	3.544
d̥_ə	F|S|R	ɐ	0.163
d̥_ə	F|S|R	n	3.222
d̥_ə	|S|#	n	0.305
d̥_ə	|S|#	ɐ	2.392
d̥_ə	|S|>	ɐ	0.222
d̥_ə	|S|>	n	2.807
d̥_ə	|S|>_R	ɐ	0.163
d̥_ə	|S|>_R	n	3.222
d̥_ə	|S|R	ɐ	0.222
d̥_ə	|S|R	n	2.807
f	>|S|	p	0.585
f	>|S|#	p	0.678
f	>|S|<	p	0.678
f	F_>|S|	p	0.415
f	F_>|S|#	p	0.447
f	F|S|	p	0.363
f	F|S|#	p	0.415
f	|S|#	p	0.585
f	|S|<	p	0.585
fː	>|S|	p	0.0
fː	>|S|<	p	0.0
fː	F_>|S|	p	0.0
fː	F_>|S|<	p	0.0
fː	F|S|	p	0.0
fː	F|S|<	p	0.0
fː	|S|<	p	0.0
h	#|S|	h	0.0
h	#|S|<	h	0.0
h	#|S|<_F	h	0.0
h	#|S|F	h	0.0
h	<|S|	h	0.0
h	<|S|<	h	0.0
h	<|S|<_F	h	0.0
h	<|S|F	h	0.0
h	|S|<	h	0.0
h	|S|<_F	h	0.0
h	|S|F	h	0.0
i	<|S|	-	1.0
i	<|S|	ɐ	1.0
i	<|S|#	-	0.193
i	<|S|#	ɐ	3.0
i	<|S|>	ɐ	0.678
i	<|S|>	-	1.415
i	|S|#	-	0.263
i	|S|#	ɐ	2.585
i	|S|>	ɐ	0.71
i	|S|>	-	1.363
i_ɡ̊	<|S|	ɡ̊	0.585
i_ɡ̊	<|S|#	ɡ̊	0.678
i_ɡ̊	|S|#	ɡ̊	0.585
j	#|S|	j	0.0
j	#|S|<	j	0.0
j	|S|<	j	0.0
k͡χ	>|S|	k	0.17
k͡χ	>|S|#	k	0.0
k͡χ	>|S|<	k	0.0
k͡χ	>|S|=	k	2.0
k͡χ	F_>|S|	k	0.0
k͡χ	F_>|S|#	k	0.0
k͡χ	F_>|S|<	k	0.0
k͡χ	F|S|	k	0.0
k͡χ	F|S|#	k	0.0
k͡χ	F|S|<	k	0.0
k͡χ	|S|#	k	0.0
k͡χ	|S|<	k	0.0
k͡χ	|S|=	k	1.585
l	#|S|	l	0.0
l	#|S|<	l	0.0
l	#|S|<_F	l	0.0
l	#|S|F	l	0.0
l	<|S|	l	0.144
l	<|S|#	l	2.0
l	<|S|<	l	0.0
l	<|S|<_F	l	0.0
l	<|S|F	l	0.0
l	>|S|	l	0.226
l	>|S|#	l	2.0
