Phone1	PhonEnv	Phone2	Surprisal
b̥	#|S|	b	0.17
b̥	#|S|	v	3.907
b̥	#|S|<	b	0.126
b̥	#|S|<	v	4.322
b̥	#|S|<_F	b	0.1
b̥	#|S|<_F	v	4.644
b̥	#|S|<_R	b	0.1
b̥	#|S|<_R	v	4.644
b̥	#|S|F	b	0.126
b̥	#|S|F	v	4.322
b̥	#|S|R	b	0.126
b̥	#|S|R	v	4.322
b̥	>|S|	v	1.1
b̥	>|S|	b	2.17
b̥	>|S|	r̥	2.684
b̥	>|S|	v_r̥	2.684
b̥	>|S|#	v	1.737
b̥	>|S|#	r̥	1.907
b̥	>|S|#	v_r̥	1.907
b̥	>|S|#	b	2.585
b̥	>|S|<	v	0.322
b̥	>|S|<	b	2.585
b̥	F_>|S|	v	0.621
b̥	F_>|S|	b	2.585
b̥	F_>|S|	v_r̥	2.585
b̥	F_>|S|#	v	1.184
b̥	F_>|S|#	v_r̥	1.275
b̥	F_>|S|#	b	2.907
b̥	F_>|S|<	v	0.252
b̥	F_>|S|<	b	2.907
b̥	F|S|	v	0.737
b̥	F|S|	b	2.17
b̥	F|S|	v_r̥	2.684
b̥	F|S|#	v	1.234
b̥	F|S|#	v_r̥	1.352
b̥	F|S|#	b	2.585
b̥	F|S|<	v	0.322
b̥	F|S|<	b	2.585
b̥	|S|#	v	1.791
b̥	|S|#	r̥	2.032
b̥	|S|#	v_r̥	2.032
b̥	|S|#	b	2.17
b̥	|S|<	b	0.363
b̥	|S|<	v	2.492
b̥	|S|<_F	b	0.126
b̥	|S|<_F	v	4.322
b̥	|S|<_R	b	0.126
b̥	|S|<_R	v	4.322
b̥	|S|F	b	0.17
b̥	|S|F	v	3.907
b̥	|S|R	b	0.17
b̥	|S|R	v	3.907
d̥	#|S|	θ	0.284
d̥	#|S|	d	3.585
d̥	#|S|	ð	3.807
d̥	#|S|	-	5.392
d̥	#|S|<	θ	0.207
d̥	#|S|<	d	4.0
d̥	#|S|<	ð	4.222
d̥	#|S|<_F	θ	0.163
d̥	#|S|<_F	d	4.322
d̥	#|S|<_F	ð	4.544
d̥	#|S|<_R	θ	0.163
d̥	#|S|<_R	d	4.322
d̥	#|S|<_R	ð	4.544
d̥	#|S|F	θ	0.207
d̥	#|S|F	d	4.0
d̥	#|S|F	ð	4.222
d̥	#|S|R	θ	0.207
d̥	#|S|R	d	4.0
d̥	#|S|R	ð	4.222
d̥	>|S|	d	1.342
d̥	>|S|	ð	1.564
d̥	>|S|	θ	2.692
d̥	>|S|	-	3.149
d̥	>|S|#	d	0.964
d̥	>|S|#	ð	1.5
d̥	>|S|#	θ	3.107
d̥	>|S|<	d	1.464
d̥	>|S|<	ð	1.5
d̥	>|S|<	-	2.575
d̥	>|S|<	θ	3.107
d̥	F_>|S|	ð	0.316
d̥	F_>|S|	θ	3.107
d̥	F_>|S|	d	4.0
d̥	F_>|S|<	ð	0.247
d̥	F_>|S|<	θ	3.429
d̥	F_>|S|<	d	4.322
d̥	F|S|	ð	0.438
d̥	F|S|	θ	2.692
d̥	F|S|	d	3.585
d̥	F|S|	-	5.392
d̥	F|S|<	ð	0.316
d̥	F|S|<	θ	3.107
d̥	F|S|<	d	4.0
d̥	|S|#	d	1.049
d̥	|S|#	ð	1.564
d̥	|S|#	θ	2.692
d̥	|S|#	-	5.392
d̥	|S|<	θ	0.912
d̥	|S|<	d	2.327
d̥	|S|<	ð	2.416
d̥	|S|<	-	3.612
d̥	|S|<_F	θ	0.207
d̥	|S|<_F	d	4.0
d̥	|S|<_F	ð	4.222
d̥	|S|<_R	θ	0.207
d̥	|S|<_R	d	4.0
d̥	|S|<_R	ð	4.222
d̥	|S|F	θ	0.284
d̥	|S|F	d	3.585
