Swiss German	Saterland Frisian	probability
#>	k_#>	1.0
<#_b̥	<#_b	1.0
<#_f	<#_f	1.0
<#_h	<#_h	1.0
<#_j	<#_j	1.0
<#_l	<#_l	1.0
<#_m	<#_m	1.0
<#_n	<#_n	1.0
<#_p͡f	<#_p	1.0
<#_r	<#_r	1.0
<#_s	<#_s	1.0
<#_ʃ	<#_s	1.0
<#_ʋ	<#_v	1.0
<#_ʦ	<#_t	1.0
<#_ˈɒ	<#_ˈɔː	1.0
<#_χ	<#_k	1.0
d̥_#>	d_#>	1.0
d̥_ə	d_ə	1.0
f	f	1.0
f_#>	p_#>	1.0
f_ə	p_ə	1.0
fː	p	1.0
k	k	1.0
l	l	1.0
l_#>	l_#>	1.0
l_ˈuə̯	l_ˈoːu̯	1.0
lː_#>	l_#>	1.0
m_#>	m_#>	1.0
m_ə	m_ə	1.0
mː_ə	m_ə	1.0
n	n	1.0
n_#>	n_#>	1.0
n_d̥	n_ə	1.0
nː	n	1.0
p͡f_#>	p_#>	1.0
r_#>	r_#>	1.0
s_#>	s_#>	1.0
sː	t_ə	1.0
sː_#>	t_#>	1.0
sː_ə	t_ə	1.0
t	t	1.0
tː	d	1.0
ŋ	ŋ	1.0
ŋ_#>	n_d	1.0
ŋ_ɡ̊	ŋ	1.0
ə_#>	ə_#>	1.0
ɡ̊ː	ˈɛː_x	1.0
ʃ	s_k	1.0
ʃ_#>	s_k_#>	1.0
ʃ_t	s_t	1.0
ʋ	v	1.0
ʋ_ˈe	v	1.0
ʦ	t	1.0
ʦ_#>	t_#>	1.0
ˈau̯	ˈoː	1.0
ˈeː	ˈoː	1.0
ˈeː_#>	ˈeː_#>	1.0
ˈi_n	ˈiː_n	1.0
ˈiː	ˈi	1.0
ˈiː_t	ˈiː_d	1.0
ˈo_r	ˈoːu̯_d	1.0
ˈu_r	ˈɔː_r	1.0
ˈuə̯	ˈoːu̯	1.0
ˈuː	ˈuː	1.0
ˈy	ˈɪ	1.0
ˈyə̯	ˈɛɪ̯	1.0
ˈæ_l	ˈɛ_l	1.0
ˈæ_r	ˈiː_r	1.0
ˈæi̯	ˈeː	1.0
ˈæi̯_#>	ˈeː_n_#>	1.0
ˈæː	-	1.0
ˈøi̯	ˈɛɪ̯	1.0
ˈøː	ˈeː	1.0
ˈɒ_l	ˈoː_l	1.0
ˈɒː_d̥	ˈɛ_d	1.0
ˈɒː_r	ˈiː_r	1.0
χ_#>	k_#>	1.0
χ_t	x_t	1.0
r	r	0.871
t_#>	t_#>	0.381
ˈɒ	ˈa	0.1
ˈɒ	ˈɛː	0.1
ˈɒ	ˈɔ	0.1
ˈɒ	ˈoː	0.1
ə	ˈuː	0.12
ə	ə_n	0.2
ˈu	ˈʊ	0.692
ˈyː	ˈɛɪ̯	0.222
ˈæ	ˈa	0.182
ˈæ	ˈeː	0.182
ˈæ	ˈaːi̯	0.182
χ	s	0.2
<#_d̥	<#_d	0.3
s	t	0.333
ɡ̊_#>	x_#>	0.583
ˈi	ˈɪ	0.833
ˈo	ˈoːu̯	0.333
ˈoː	ˈoːu̯	0.3
ˈyː	j_ˈuː	0.333
ˈɒ	ˈɔː	0.3
b̥	f	0.4
d̥	-	0.4
ə	-	0.4
ˈyː	j_ˈoː	0.444
<#_t	<#	0.125
<#_t	<#_d	0.875
<#_ɡ̊	<#_ɡ	0.125
<#_ɡ̊	<#_ɣ	0.5
i	-	0.25
i	ə	0.375
i	ɪ	0.375
r	-	0.065
r	ˈɛɪ̯	0.065
ɡ̊	ɣ	0.5
ɡ̊	ɣ_j	0.5
ˈo	ˈuː	0.25
ˈo	ˈɔ	0.25
ˈæ	ˈɔː	0.455
ˈɒ	ˈoːu̯	0.15
ˈɒ	ˈaː	0.15
χ	k	0.35
χ	x	0.45
b̥	v_ə	0.6
d̥	d	0.6
ˈɒː	ə	0.286
ˈɒː	ˈoː	0.286
<#_d̥	<#_t	0.7
s	z	0.667
ɡ̊_#>	#>	0.417
ˈi	ˈɛː	0.167
ˈo	ˈʊ	0.167
ˈoː	ˈoː	0.7
<#_ɡ̊	<#	0.188
<#_ɡ̊	<#_j	0.188
ə	ə	0.28
ˈu	ˈuː	0.308
t_#>	d_#>	0.619
ˈɒː	ˈɛɪ̯	0.429
