Upper Franconian	Upper Franconian	probability
ˈʊ_m	ˈoː_m	1.0
ˈɛː	-	1.0
ˈɒː	ˈaː	1.0
ˈɒ_l	ˈɑu̯	1.0
ˈɒ_f	ˈaː_p	1.0
ˈiː_s	ˈu_t	1.0
ˈaː_#>	ˈeː_n_#>	1.0
ˈaʊ̯	ˈœy̯	1.0
ˈa	χ_ˈɛ	1.0
ʦ	t	1.0
ʃ_d̥	s_t	1.0
ɾ_ɐ	ɾ	1.0
ɪ	-	1.0
ɡ̊_s	s	1.0
ə	-	1.0
ɐ_d̥	ɾ_d̥	1.0
ɐ_#>	#>	1.0
ç_d̥	χ_t	1.0
z̥	t_ə	1.0
x_d̥	χ_t	1.0
v̥	p_ə	1.0
v	ʋ	1.0
t	t	1.0
r	ɾ	1.0
n_a	n	1.0
l	ɫ	1.0
j	j	1.0
i	-	1.0
h	ɦ	1.0
f_a	ə_v̥	1.0
eː	i_n	1.0
d̥_r	d_ɾ	1.0
d̥_n	d_ə	1.0
b̥͡v̥	p	1.0
<#_n	<#_n	1.0
ˈɒ	ˈɑ	0.913
m	m	0.9
ˈʊ	ˈɔ	0.875
n	n	0.841
f	v	0.781
b̥	b	0.739
ɐ	ɾ	0.674
ˈɪ	ˈɪ	0.615
ˈoː	ˈaː	0.591
ˈiː	ˈi	0.583
ˈɔ	ˈɔ	0.562
ŋ	ŋ	0.562
ˈuː	ˈu	0.55
ˈaɪ̯	ˈɛi̯	0.55
ˈeː	ˈeː	0.545
x	k	0.545
a	ə_n	0.538
β	v̥	0.5
β	v_ə	0.5
ˈɛ	ˈɛ	0.5
ˈɘ	ˈoː_ɾ	0.5
ˈɘ	ɾ	0.5
ʃ	s	0.5
ɡ̊	χ	0.486
d̥	d̥	0.483
s	z	0.463
a	-	0.462
ɡ̊	k	0.459
ç	k	0.455
x	χ	0.455
ˈuː	ˈoː	0.45
ˈaː	ˈeː	0.444
ŋ	χ_ə	0.438
ˈaː	ˈoː	0.389
ç	χ	0.364
d̥	d	0.35
ˈɔ	ˈoː	0.312
ɐ	ə_ɾ	0.279
ˈoː	ˈɑ	0.273
ˈeː	ˈoː	0.273
ʃ	s_χ	0.269
b̥	v̥	0.261
s	t	0.244
ʃ	z	0.231
s	z̥	0.22
ˈiː	ˈɪ	0.208
ˈeː	-	0.182
ç	ŋ	0.182
ˈɛ	ˈeː	0.167
ˈɛ	ˈaː	0.167
ˈaː	ˈɛi̯	0.167
f	p	0.156
ˈɪ	ˈʏ	0.154
ˈaɪ̯	ˈœy̯	0.15
ˈʊ	-	0.125
ˈɔ	ˈɑ	0.125
ˈiː	-	0.125
d̥	t	0.117
ˈɪ	ˈɛ	0.115
ˈɪ	-	0.115
ˈaɪ̯	ˈɪ	0.1
ˈaɪ̯	ˈyː	0.1
ˈaɪ̯	ˈi	0.1
m	ə_n	0.1
ˈoː	ˈoː	0.091
ˈɒ	-	0.087
ˈɛ	ˈʏ	0.083
ˈɛ	ˈɑ	0.083
ˈiː	ˈu	0.083
n	n_d	0.079
n	-	0.079
s	s	0.073
f	v̥	0.062
ɡ̊	k_ə	0.054
