Upper Franconian	Upper Franconian	probability
β	β	1.0
ˈɒː	ˈɑ	1.0
ˈaː_#>	ˈɑi̯_n_ɑ_z_#>	1.0
ˈaʊ̯	ˈuː	1.0
ˈa	k_ˈɑ	1.0
ʦ	t	1.0
ʃ_l	s_l	1.0
ʃ_d̥	s_t	1.0
ɾ	ð_ɛː	1.0
ɪ	ɑ	1.0
ɡ̊_s	x_s	1.0
ə	-	1.0
ɐ_ç	r_ɣ	1.0
ɐ_n	r_n	1.0
ɐ_#>	#>	1.0
ç_d̥	x_t	1.0
x_d̥	x_t	1.0
v̥	p	1.0
v_ˈɒ	w	1.0
t	t	1.0
r	r	1.0
n_s	n_s	1.0
l_d̥	l_d	1.0
l_#>	lː_ɑ_z_#>	1.0
l	l	1.0
j	j	1.0
h	x	1.0
eː	e_x	1.0
b̥͡v̥	p	1.0
<#_ˈʊ	<#_ˈu	1.0
<#_ˈɒ	<#_ˈɑ	1.0
<#_ʦ	<#_t	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#	<#_x	1.0
v	w	0.929
m	m	0.909
ˈɒ	ˈɑ	0.889
ˈɔ	ˈu	0.833
f	ɸ	0.8
ˈɛː	-	0.75
n	n	0.746
b̥	b	0.739
ˈʊ	ˈu	0.706
ˈɪ	ˈi	0.667
ˈɛ	ˈe	0.667
z̥	t_ɑ	0.667
ˈaː	ˈɑi̯	0.632
ç	k	0.625
s	s	0.625
ɐ	r	0.615
ʃ	s	0.565
ˈoː	ˈɑ	0.545
ˈeː	-	0.545
<#_ɡ̊	<#_ɣ	0.545
<#_d̥	<#_d	0.517
ˈuː	ˈɔː	0.5
ˈaɪ̯	ˈiː	0.5
<#_d̥	<#_θ	0.483
ˈeː	ˈe	0.455
<#_ɡ̊	<#_k	0.455
ʃ	s_k	0.435
ɡ̊	ɣ	0.4
ɡ̊	k	0.4
a	ɑ_n	0.389
ˈiː	ˈeu̯	0.385
ç	ɣ	0.375
ˈaː	ˈɑu̯	0.368
ˈoː	ˈɛː	0.364
ˈuː	ˈɑu̯	0.35
d̥	ð	0.35
ˈɛ	ˈɑ	0.333
z̥	t	0.333
x	ɣ_ɑ	0.333
ŋ	ɡ	0.312
#>	ɑ̃_#>	0.311
#>	ɑ_z_#>	0.311
d̥	θ	0.275
b̥	β	0.261
ˈɛː	jː	0.25
ŋ	ŋ	0.25
#>	z_#>	0.233
ˈɪ	ˈu	0.222
x	ɣ	0.222
x	k_i	0.222
x	k	0.222
a	ɔ̃ː	0.222
a	ɔːː	0.222
ɡ̊	ɣ_j	0.2
f	p	0.2
d̥	d	0.2
ˈiː	ˈe	0.192
ŋ	ɣ_ɑ	0.188
ˈʊ	ˈu_ŋ	0.176
ˈɔ	ˈɑ	0.167
a	-	0.167
ˈiː	ˈɔː	0.154
ˈiː	ˈi	0.154
ˈuː	-	0.15
ˈaɪ̯	ˈiu̯	0.136
ˈaɪ̯	-	0.136
ɐ	r_ɑ	0.128
ŋ	ɣ_j	0.125
ŋ	ɣ	0.125
s	t	0.125
ˈʊ	-	0.118
ˈɪ	ˈe	0.111
ˈɒ	ˈɑ_ŋ	0.111
ɐ	r_ɑ̃	0.103
s	t_ɑ	0.1
d̥	t	0.1
ˈoː	ˈu	0.091
ˈaɪ̯	ˈi_j	0.091
ˈaɪ̯	ˈi	0.091
ˈiː	ˈɑi̯_w	0.077
s	t_s	0.075
s	s_ɑ̃	0.075
d̥	ð_i	0.075
v	xʷ	0.071
n	-	0.068
m	β_ɑ	0.061
#>	n_ɑ̃_#>	0.056
ɐ	ɑ	0.051
ɐ	r_u	0.051
ɐ	e	0.051
n	nː	0.051
