Upper Franconian	Upper Franconian	probability
β	v	1.0
ˈɪ	ˈɘ̟	1.0
ˈɛː	-	1.0
ˈɛ_ɐ	ˈɑ	1.0
ˈɘ	-	1.0
ˈɒː	ˈɑ	1.0
ˈaʊ̯	ˈɑi̯	1.0
ˈa	-	1.0
ʦ	ʦ	1.0
ɣ̊	x	1.0
ə	-	1.0
z̥	s	1.0
v̥	-	1.0
v	v	1.0
t	-	1.0
n_ˈaɪ̯	n_ˈɑi̯	1.0
m_#>	n_#>	1.0
j	j	1.0
h	h	1.0
f	f	1.0
eː	ɑ	1.0
b̥͡v̥	-	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
<#_d̥	<#_d	1.0
ʃ	ʃ	0.958
r	r	0.895
m	m	0.852
l	w	0.791
b̥	b	0.778
d̥	t	0.737
ˈaɪ̯	ˈai̯	0.684
ˈʊ	ˈu	0.667
x	x	0.667
a	a	0.667
ɡ̊	k	0.621
ˈɒ	ˈɑ	0.619
ˈeː	ˈɑ	0.571
s	s	0.538
ˈaː	ˈa	0.529
ɐ	ɛ	0.529
ˈuː	ˈʏ	0.526
ˈiː	ˈi	0.524
ɾ	t_ɛ	0.5
ɾ	d	0.5
ç	ç	0.5
ç	x	0.5
n	n	0.5
#>	r_#>	0.5
s	z	0.462
ˈeː	-	0.429
ˈoː	ˈø	0.389
ˈɛ	ˈɛ	0.385
ˈɔ	ˈu	0.385
ˈɔ	-	0.385
ˈuː	ˈu	0.368
ɡ̊	ɡ	0.345
ˈiː	ˈei̯	0.333
a	-	0.333
ˈɒ	ˈɔ	0.286
ˈoː	ˈɔ	0.278
ŋ	ɟ	0.273
ŋ	ŋ_ɡ̊	0.273
ŋ	n	0.273
n	a	0.268
ˈaː	ˈɑi̯	0.235
ˈɛ	ˈɑ	0.231
ˈɛ	ˈa	0.231
ˈɔ	ˈɔ	0.231
d̥	d̥	0.228
#>	n_#>	0.214
ˈaɪ̯	ˈɑi̯	0.211
ɐ	r	0.206
ˈʊ	ˈʏ	0.2
x	ɡ̊	0.2
#>	a_#>	0.19
ŋ	ŋ_ɟ	0.182
ˈoː	ˈi̯ø	0.167
ˈoː	-	0.167
ˈɛ	ˈɘ̟	0.154
ɐ	-	0.147
n	-	0.143
l	l	0.14
ˈʊ	ˈɘ̟	0.133
x	-	0.133
ˈaː	ˈɑ	0.118
ˈaː	-	0.118
ɐ	ə	0.118
b̥	b̥	0.111
b̥	-	0.111
ˈuː	ˈi	0.105
ˈaɪ̯	-	0.105
r	r_ˈɑi̯	0.105
ˈɒ	ˈɛ	0.095
ˈiː	-	0.095
#>	ə_#>	0.095
n	n_d	0.089
m	n	0.074
m	-	0.074
l	-	0.07
