Phone1	Phone2	Surprisal	OOV_Smoothed
#>	ɡ_#>	0.0	5.367
<#_l	<#_l	0.0	5.367
<#_n	<#_n	0.0	5.367
<#_r	<#_ɾ	0.0	5.367
b	b	0.0	5.367
d	d	0.637	5.367
d	-	2.222	5.367
d	tʰ	2.807	5.367
d̥	lː	0.0	5.367
d̥_#>	#>	0.363	5.367
d̥_#>	d_#>	2.17	5.367
f	f	0.0	5.367
f_#>	ʋ_#>	0.0	5.367
h	h	0.144	5.367
h	j	3.392	5.367
j	-	0.447	5.367
j	ɡ	2.907	5.367
j	ˈyː	2.907	5.367
j_ə	ɑ	0.0	5.367
j_ˈuə̯	ˈyː	0.0	5.367
k	kʰ	1.585	5.367
k	k	1.778	5.367
k	ç	2.585	5.367
k	ʰkː	3.0	5.367
k	ɡ	3.585	5.367
k_#>	k_#>	0.0	5.367
l	l	0.396	5.367
l	lː	2.644	5.367
l	j	3.644	5.367
l_#>	l_#>	0.363	5.367
l_#>	#>	2.17	5.367
l_d̥	lː	0.0	5.367
m	m	0.181	5.367
m	mː	3.087	5.367
m_#>	m_#>	0.0	5.367
n	n	0.601	5.367
n	nː	1.759	5.367
n	-	4.459	5.367
n_#>	#>	0.0	5.367
p	p	0.29	5.367
p	pʰ	2.459	5.367
r	ɾ	0.0	5.367
r_#>	#>	0.0	5.367
s	s	0.144	5.367
s	ʂ	3.392	5.367
s_#>	s_#>	0.0	5.367
s_k	ʂ	0.0	5.367
s_l	s_l	0.0	5.367
t	t	0.791	5.367
t	tʰ	1.684	5.367
t	ʰtː	3.907	5.367
t	-	4.492	5.367
t_#>	#>	0.0	5.367
v	ʋ	0.415	5.367
v	-	2.0	5.367
z	s	0.0	5.367
ŋ	ŋː	0.0	5.367
ə	ɑ	0.904	5.367
ə	e	1.61	5.367
ə	ə	3.273	5.367
ə	-	4.858	5.367
ə_#>	#>	0.0	5.367
ə_n	e_ɾ	0.0	5.367
ɡ	ɡ	0.0	5.367
ɣ	ɡ	0.0	5.367
ɪ	e	0.0	5.367
ʋ	ʋ	0.848	5.367
ʋ	-	2.585	5.367
ʋ	kʰ_ʋ	2.585	5.367
ʋ	v	3.17	5.367
ʋ_ˈɔ	ˈʉ	0.0	5.367
ʦ	ç	0.0	5.367
ˈa	ˈɑ	1.0	5.367
ˈa	ˈɑː	1.848	5.367
ˈa	ˈɔ	3.17	5.367
ˈa	ˈɛ	3.17	5.367
ˈaː	ˈoː	1.415	5.367
ˈaː	ˈɑː	1.415	5.367
ˈaː	ˈɑ	2.0	5.367
ˈi	ˈiː	0.363	5.367
ˈi	ˈɪ	2.17	5.367
ˈiə̯	ˈoː	1.678	5.367
ˈiə̯	ˈæɪ̯	2.0	5.367
ˈiə̯	ˈøː	2.0	5.367
ˈiə̯	ˈyː	2.415	5.367
ˈiː	ˈiː	1.0	5.367
ˈiː	ˈɪ	2.0	5.367
ˈiː	ˈʉː	2.0	5.367
ˈoə̯	ɾ	2.0	5.367
ˈoə̯	ˈoː	2.0	5.367
ˈoə̯	ˈɔ	2.0	5.367
ˈoə̯	ˈʊ_ɾ	2.0	5.367
ˈoː_#>	ˈʉː_#>	0.0	5.367
ˈu	ˈʉ	0.0	5.367
ˈuə̯	ˈuː	0.0	5.367
ˈuː	ˈʉː	0.737	5.367
ˈuː	ˈʉ	1.322	5.367
ˈɔ	ˈʉ	1.17	5.367
ˈɔ	ˈɔ	1.585	5.367
ˈɔ	ˈʏ	2.17	5.367
ˈɔː	ˈɑ	0.0	5.367
ˈɛ	ˈɛ	0.848	5.367
ˈɛ	-	2.17	5.367
ˈɛ	ˈɑ	2.17	5.367
ˈɛi̯	ˈɛ	0.0	5.367
ˈɛː	ˈɑː	1.222	5.367
ˈɛː	ˈɑ_ɾ	1.807	5.367
ˈɛː	ˈʏ	1.807	5.367
ˈɪ	ˈɪ	1.7	5.367
ˈɪ	ˈeː	2.7	5.367
ˈɪ	ˈʏ	2.7	5.367
ˈɪ	ˈæɪ̯	3.115	5.367
ˈɪ	ˈɛ	3.115	5.367
ˈɪ	ˈiː	3.7	5.367
ˈɪ	ˈʊ	3.7	5.367
ˈɪə̯	ˈæʉ̯	1.28	5.367
ˈɪə̯	ˈœʏ̯	2.503	5.367
ˈɪə̯	ˈɑ	2.503	5.367
ˈɪə̯	ˈøː	3.087	5.367
ˈɪə̯	ˈʉː	3.087	5.367
ˈɪə̯_n	ˈoː	0.0	5.367
χ	ɡ	0.485	5.367
χ	ɡː	1.807	5.367
χ_t	ʰtː	0.0	5.367
