Phone1	Phone2	Surprisal	OOV_Smoothed
#>	ɡ̊_#>	0.4150374992788438	5.3118372508515375
#>	ɐ_#>	2.0	5.3118372508515375
<#_b	<#_b	-0.0	5.3118372508515375
<#_d	<#_d	-0.0	5.3118372508515375
<#_f	<#_f	-0.0	5.3118372508515375
<#_h	<#_h	-0.0	5.3118372508515375
<#_j	<#_j	-0.0	5.3118372508515375
<#_k	<#_k	-0.0	5.3118372508515375
<#_l	<#_l	-0.0	5.3118372508515375
<#_m	<#_m	-0.0	5.3118372508515375
<#_n	<#_n	-0.0	5.3118372508515375
<#_p	<#_p	-0.0	5.3118372508515375
<#_r	<#_ʀ	-0.0	5.3118372508515375
<#_s	<#_ʃ	0.8930847960834882	5.3118372508515375
<#_s	<#_z	1.1154772174199359	5.3118372508515375
<#_t	<#_d	0.9175378398080271	5.3118372508515375
<#_t	<#_ʦ	1.0874628412503395	5.3118372508515375
<#_ɕ	<#_z	-0.0	5.3118372508515375
<#_ɡ	<#_j	-0.0	5.3118372508515375
<#_ʋ	<#_ʋ	0.15200309344504997	5.3118372508515375
<#_ʋ	<#	3.321928094887362	5.3118372508515375
<#_ʦ	<#	0.7369655941662062	5.3118372508515375
<#_ʦ	<#_k	1.3219280948873622	5.3118372508515375
<#_ˈaː	<#_ˈa	-0.0	5.3118372508515375
d	-	1.0	5.3118372508515375
d	d	1.0	5.3118372508515375
d_ə	d	-0.0	5.3118372508515375
d̥	t_#>	-0.0	5.3118372508515375
d̥_#>	d̥	-0.0	5.3118372508515375
f_#>	v̥_#>	0.5849625007211563	5.3118372508515375
f_#>	f_#>	1.5849625007211563	5.3118372508515375
j	-	1.0995356735509143	5.3118372508515375
j	ˈiː	1.9068905956085187	5.3118372508515375
j	d	2.9068905956085187	5.3118372508515375
j	ˈɛː	2.9068905956085187	5.3118372508515375
j_ˈuə̯	ˈyː	-0.0	5.3118372508515375
j_ˈɪ	ˈeː	-0.0	5.3118372508515375
k	-	0.5145731728297583	5.3118372508515375
k	k	1.7369655941662063	5.3118372508515375
k_#>	ɕ_#>	0.84799690655495	5.3118372508515375
k_#>	k_#>	2.1699250014423126	5.3118372508515375
k_#>	x_#>	2.1699250014423126	5.3118372508515375
k_j	k	-0.0	5.3118372508515375
k_ə	ɕ	-0.0	5.3118372508515375
l	l	-0.0	5.3118372508515375
l_#>	l_#>	-0.0	5.3118372508515375
l_ə	l_#>	-0.0	5.3118372508515375
l_ˈɛː	l	-0.0	5.3118372508515375
m_#>	m_#>	-0.0	5.3118372508515375
m_ə	m_ə	-0.0	5.3118372508515375
n	ŋ	1.0931094043914815	5.3118372508515375
n	n	1.8300749985576878	5.3118372508515375
n	n_d̥	3.415037499278844	5.3118372508515375
n	ə	3.415037499278844	5.3118372508515375
n	-	4.0	5.3118372508515375
n_#>	n_#>	-0.0	5.3118372508515375
n_ə	n_d̥	-0.0	5.3118372508515375
p	p	1.137503523749935	5.3118372508515375
p	f	1.8744691179161412	5.3118372508515375
p	f_#>	1.8744691179161412	5.3118372508515375
r	ʀ	0.3959286763311392	5.3118372508515375
r	ɐ	2.0588936890535687	5.3118372508515375
r_#>	ɐ_#>	0.13750352374993496	5.3118372508515375
r_#>	#>	3.4594316186372978	5.3118372508515375
s	-	1.0	5.3118372508515375
s	s	1.0	5.3118372508515375
s_#>	s_#>	-0.0	5.3118372508515375
s_k	ʃ_#>	-0.0	5.3118372508515375
t	t	0.6374299206152917	5.3118372508515375
t	ʦ	2.222392421336448	5.3118372508515375
t	-	2.8073549220576046	5.3118372508515375
t_#>	s_#>	0.5305147166987799	5.3118372508515375
