Phone1	Phone2	Surprisal	OOV_Smoothed
#>	ə_#>	0.399	4.899
#>	t_#>	3.273	4.899
#>	k_#>	3.858	4.899
#>	v̥_#>	3.858	4.899
<#_h	<#	0.0	4.899
<#_n	<#_n	0.0	4.899
<#_r	<#_ɾ	0.0	4.899
<#_ˈʊ	<#_ˈɔ	0.0	4.899
aɪ̯	iː	0.0	4.899
b	b	0.0	4.899
d	d	0.115	4.899
d	-	3.7	4.899
d̥	d̥	0.115	4.899
d̥	-	3.7	4.899
f	v	0.0	4.899
j	j	0.0	4.899
k	k	0.193	4.899
k	k_ə	3.0	4.899
l	ɫ	0.04	4.899
m	m	0.131	4.899
m	ə	3.524	4.899
n	n	0.852	4.899
n	ə	1.563	4.899
n	n_d	3.215	4.899
n_#>	#>	0.0	4.899
n_n	n_ə	0.0	4.899
p	p	0.0	4.899
r	ɾ	0.193	4.899
r	ˈɔ	3.0	4.899
s	z	0.415	4.899
s	s	2.0	4.899
t	t	0.0	4.899
v	ʋ	0.7	4.899
v	v	3.115	4.899
v	v̥	3.115	4.899
v	-	3.7	4.899
v	v_ə	3.7	4.899
v̥	v̥	0.0	4.899
x	x	0.0	4.899
z	z	0.737	4.899
z	z_ə	1.322	4.899
z̥	z̥	0.0	4.899
ç	x	0.0	4.899
ç_#>	x_#>	0.0	4.899
ŋ	ŋ	0.0	4.899
ɐ	ə_ɾ	1.222	4.899
ɐ	ɾ	1.322	4.899
ɐ	ə	3.544	4.899
ɐ	ɾ_ə	3.544	4.899
ə	ə	0.485	4.899
ə	-	1.807	4.899
ɡ	x	0.585	4.899
ɡ	x_ə	1.585	4.899
ɣ	x	0.0	4.899
ɪ	i	1.0	4.899
ɪ	ɪ	1.0	4.899
ʃ	s	0.766	4.899
ʃ	s_x	1.766	4.899
ʃ	-	3.087	4.899
ʃ_k_#>	s_#>	0.0	4.899
ʋ	ʋ	0.485	4.899
ʋ	ə_v̥	1.807	4.899
ˈa	ˈɑ	0.337	4.899
ˈa	-	3.0	4.899
ˈa	ˈɒː	3.585	4.899
ˈaɪ̯	ˈiː	0.152	4.899
ˈaɪ̯	ˈiːə̯	3.322	4.899
ˈaʊ̯	ˈʊə̯	0.379	4.899
ˈaʊ̯	-	2.115	4.899
ˈaː	ˈɛː	0.737	4.899
ˈaː	-	1.322	4.899
ˈeː	ˈɪə̯	0.585	4.899
ˈeː	ˈæi̯	1.585	4.899
ˈiɛ̯	-	0.0	4.899
ˈiː	ˈi	0.637	4.899
ˈiː	ˈiː	2.222	4.899
ˈiː	ˈyː	2.807	4.899
ˈoː	-	0.807	4.899
ˈoː	ˈuː	1.222	4.899
ˈuə̯	-	1.0	4.899
ˈuə̯	ˈøː	1.0	4.899
ˈuː	ˈyː	0.0	4.899
ˈuːə̯	ˈɔ	0.737	4.899
ˈuːə̯	ˈʏ_ɾ	1.322	4.899
ˈyə̯	ˈʏ	0.0	4.899
ˈyː	ˈiː	0.737	4.899
ˈyː	-	1.322	4.899
ˈyːœ̯	ˈoː	0.0	4.899
ˈøː	ˈuː	0.0	4.899
ˈœː	-	0.0	4.899
ˈɒː	ˈɛː	0.0	4.899
ˈɔ	ˈɔ	0.0	4.899
ˈɔ_l	ˈɑu̯	0.0	4.899
ˈɔː	ˈɛː	0.222	4.899
ˈɔː	-	2.807	4.899
ˈɛ	ˈæ	0.363	4.899
ˈɛ	ˈɑ	2.17	4.899
ˈɛː	ɾ	0.0	4.899
ˈɪ	ˈɪ	0.652	4.899
ˈɪ	ˈi	1.874	4.899
ˈɪ	-	3.459	4.899
ˈɪə̯	ˈeː	0.737	4.899
ˈɪə̯	-	1.322	4.899
ˈɪɛ̯	ˈeː	1.322	4.899
ˈɪɛ̯	-	1.737	4.899
ˈɪɛ̯	ˈæ	1.737	4.899
ˈʊ	ˈɔ	1.379	4.899
ˈʊ	ˈu	2.115	4.899
ˈʊ	ˈyː	2.115	4.899
ˈʊ	ˈʏ	2.7	4.899
ˈʏ	-	1.0	4.899
ˈʏ	ˈʏ	1.0	4.899
