Phone1	PhonEnv	Phone2	Surprisal
b	#|S|	b	0.0
b	#|S|<	b	0.0
b	#|S|<_F	b	0.0
b	#|S|<_R	b	0.0
b	#|S|F	b	0.0
b	#|S|R	b	0.0
b	|S|<	b	0.0
b	|S|<_F	b	0.0
b	|S|<_R	b	0.0
b	|S|F	b	0.0
b	|S|R	b	0.0
d	#|S|	d	0.854
d	#|S|	θ	1.242
d	#|S|<	d	0.872
d	#|S|<	θ	1.199
d	#|S|<_F	θ	0.998
d	#|S|<_F	d	1.044
d	#|S|<_R	d	0.471
d	#|S|<_R	θ	1.92
d	#|S|F	d	1.021
d	#|S|F	θ	1.031
d	#|S|R	d	0.485
d	#|S|R	θ	1.9
d	>|S|	d	0.472
d	>|S|	ð	2.54
d	>|S|	θ	3.222
d	>|S|<	d	0.444
d	>|S|<	ð	2.438
d	>|S|<	θ	3.637
d	|S|<	d	0.72
d	|S|<	θ	1.637
d	|S|<	ð	3.807
d	|S|<_F	d	1.021
d	|S|<_F	θ	1.031
d	|S|<_R	d	0.485
d	|S|<_R	θ	1.9
d	|S|F	d	0.984
d	|S|F	θ	1.087
d	|S|R	d	0.51
d	|S|R	θ	1.869
d_ˈɪ	#|S|	θ_ˈɪ	0.0
d_ˈɪ	#|S|>	θ_ˈɪ	0.0
d_ˈɪ	#|S|>_N	θ_ˈɪ	0.0
d_ˈɪ	#|S|N	θ_ˈɪ	0.0
d_ˈɪ	|S|>	θ_ˈɪ	0.0
d_ˈɪ	|S|>_N	θ_ˈɪ	0.0
d_ˈɪ	|S|N	θ_ˈɪ	0.0
d_ˈʊə̯	#|S|	d_ˈɛ	0.0
d_ˈʊə̯	#|S|>	d_ˈɛ	0.0
d_ˈʊə̯	|S|>	d_ˈɛ	0.0
d̥	>|S|	d	0.176
d̥	>|S|#	d	0.2
d̥	F_>|S|	d	0.0
d̥	F_>|S|#	d	0.0
d̥	F|S|	d	0.0
d̥	F|S|#	d	0.0
d̥	|S|#	d	0.176
i	<|S|	i	0.0
i	<|S|>	i	0.0
i	<|S|>_N	i	0.0
i	<|S|N	i	0.0
i	|S|>	i	0.0
i	|S|>_N	i	0.0
i	|S|N	i	0.0
iː	<|S|	i	0.0
iː	<|S|>	i	0.0
iː	<|S|>_N	i	0.0
iː	<|S|N	i	0.0
iː	|S|>	i	0.0
iː	|S|>_N	i	0.0
iː	|S|N	i	0.0
j	#|S|	j	0.0
j	#|S|<	j	0.0
j	#|S|<_F	j	0.0
j	#|S|F	j	0.0
j	>|S|	j	1.585
j	>|S|<	j	2.0
j	|S|<	j	0.263
j	|S|<_F	j	0.0
j	|S|F	j	0.0
k	#|S|	kʰ	1.1
k	#|S|	ʧ	1.737
k	#|S|	k	3.322
k	#|S|	-	3.684
k	#|S|<	kʰ	1.012
k	#|S|<	ʧ	1.697
k	#|S|<	k	3.737
k	#|S|<	-	4.1
k	#|S|<_F	ʧ	0.989
k	#|S|<_F	kʰ	1.36
k	#|S|<_F	k	4.059
k	#|S|<_F	-	4.421
k	#|S|<_N	k	4.059
k	#|S|<_N	-	4.421
k	#|S|<_N	kʰ	4.421
k	#|S|<_N	ʧ	4.421
k	#|S|F	ʧ	1.038
k	#|S|F	kʰ	1.397
k	#|S|F	k	3.737
k	#|S|F	-	4.1
k	#|S|N	k	3.737
k	#|S|N	-	4.1
k	#|S|N	kʰ	4.1
k	#|S|N	ʧ	4.1
k	>|S|	k	1.266
k	>|S|	-	1.629
k	>|S|	ʧ	2.45
k	>|S|	kʰ	3.684
k	>|S|#	-	1.113
k	>|S|#	k	1.46
k	>|S|#	ʧ	3.107
k	>|S|#	kʰ	4.1
k	>|S|<	k	0.798
k	>|S|<	ʧ	1.697
k	>|S|<	-	4.1
k	>|S|<	kʰ	4.1
k	F_>|S|	k	1.152
k	F_>|S|	-	2.024
k	F_>|S|	ʧ	2.024
k	F_>|S|	kʰ	4.1
k	F_>|S|#	-	1.163
k	F_>|S|#	k	1.943
k	F_>|S|#	ʧ	2.019
k	F_>|S|#	kʰ	4.421
k	F_>|S|<	k	0.599
k	F_>|S|<	ʧ	2.019
k	F_>|S|<	-	4.421
k	F_>|S|<	kʰ	4.421
k	F|S|	k	1.206
k	F|S|	-	2.032
k	F|S|	ʧ	2.032
k	F|S|	kʰ	3.684
k	F|S|#	-	1.206
k	F|S|#	k	1.93
k	F|S|#	ʧ	2.024
k	F|S|#	kʰ	4.1
k	F|S|<	k	0.65
k	F|S|<	ʧ	2.024
k	F|S|<	-	4.1
k	F|S|<	kʰ	4.1
k	|S|#	-	1.195
k	|S|#	k	1.488
k	|S|#	ʧ	2.954
k	|S|#	kʰ	3.684
k	|S|<	kʰ	1.569
k	|S|<	ʧ	1.737
k	|S|<	k	2.011
k	|S|<	-	3.684
k	|S|<_F	ʧ	1.038
k	|S|<_F	kʰ	1.397
k	|S|<_F	k	3.737
k	|S|<_F	-	4.1
k	|S|<_N	k	3.737
k	|S|<_N	-	4.1
k	|S|<_N	kʰ	4.1
k	|S|<_N	ʧ	4.1
k	|S|F	ʧ	1.124
k	|S|F	kʰ	1.46
k	|S|F	k	3.322
k	|S|F	-	3.684
k	|S|N	k	3.322
k	|S|N	-	3.684
k	|S|N	kʰ	3.684
k	|S|N	ʧ	3.684
m	#|S|	m	0.0
m	#|S|<	m	0.0
m	#|S|<_F	m	0.0
m	#|S|F	m	0.0
m	>|S|	m	0.0
m	>|S|#	m	0.0
m	>|S|<	m	0.0
m	F_>|S|	m	0.0
m	F_>|S|#	m	0.0
m	F_>|S|<	m	0.0
m	F|S|	m	0.0
m	F|S|#	m	0.0
m	F|S|<	m	0.0
m	|S|#	m	0.0
m	|S|<	m	0.0
m	|S|<_F	m	0.0
m	|S|F	m	0.0
n	#|S|	n	1.801
n	#|S|	-	4.433
n	#|S|<	n	2.216
n	#|S|<	-	4.848
n	#|S|<_F	n	2.538
n	#|S|<_F	-	5.17
n	#|S|F	n	2.216
n	#|S|F	-	4.848
n	<|S|	n	0.068
n	<|S|	-	4.433
n	<|S|<	n	0.051
n	<|S|<	-	4.848
n	<|S|<_F	n	0.041
n	<|S|<_F	-	5.17
n	<|S|F	n	0.051
n	<|S|F	-	4.848
n	>|S|	n	0.376
n	>|S|	-	2.948
n	>|S|#	n	0.615
n	>|S|#	-	4.848
n	>|S|<	n	0.324
n	>|S|<	-	3.082
n	>|S|<_F	n	0.805
n	>|S|<_F	-	1.225
n	>|S|>	n	0.309
n	>|S|>	-	2.376
n	>|S|F	n	0.761
n	>|S|F	-	1.287
n	F_>|S|	n	0.422
n	F_>|S|	-	3.363
n	F_>|S|#	n	0.805
n	F_>|S|#	-	5.17
n	F_>|S|<	n	0.373
n	F_>|S|<	-	2.968
n	F_>|S|<_F	n	0.836
n	F_>|S|<_F	-	1.185
n	F_>|S|>	n	0.197
n	F_>|S|>	-	2.968
n	F_>|S|F	n	0.805
n	F_>|S|F	-	1.225
n	F|S|	n	0.397
n	F|S|	-	3.295
n	F|S|#	n	0.761
n	F|S|#	-	4.848
