Phone1	Phone2	Surprisal
b	b̥	0.0
d	d̥	0.807
d	t	1.223
d̥	t	0.0
i	i	0.0
iː	æ	0.0
j	-	0.955
j	j	1.047
k	ɣ̊	1.125
k	χː	1.921
k	χ	2.592
k	ɡ̊	3.89
k	k͡χ	4.499
k_ə	k͡χ	0.0
l	l	0.0
m	m	0.0
n	n	0.351
n	-	2.21
n_d̥	ŋ	0.0
p	f	1.194
p	p͡f	1.781
p	fː	1.879
s	ʒ̊	1.352
s	ʃ	1.392
s	ʃː	2.138
s_x	ʒ̊	0.0
t	t	1.279
t	ʦ	1.731
t	sː	1.803
v	v̥	0.378
v	b̥	2.116
v̥	f	0.0
x	ɡ̊	0.354
x	ɡ̊ː	2.501
x	χː	4.606
x_t	χ_t	0.0
z	z̥	0.208
z	ʒ̊	2.9
z̥	z̥	0.715
z̥	s	1.355
ŋ	ŋ	0.0
ŋ_k	ɡ̊	0.0
ə	ə	0.284
ə	-	2.751
ə	t_ə	5.065
ɪ	i	0.0
ɫ	l	0.144
ɫ	l_ˈiə̯	3.94
ɫ	lː	5.071
ɾ	r	0.0
ɾ_d̥	r_t	0.0
ʋ	ʋ	0.148
ʋ	ʋ_ˈiː	3.361
ˈeː	ˈæ	0.804
ˈeː	-	1.227
ˈi	ˈi	1.222
ˈi	ˈiː	1.408
ˈi	ˈi_r	2.363
ˈiː	ˈyː	0.968
ˈiː	ˈiə̯	1.494
ˈiː	-	2.902
ˈiːə̯	ˈeː	0.0
ˈoː	-	0.0
ˈu	ˈu	0.406
ˈu	-	2.027
ˈuː	ˈuə̯	0.809
ˈuː	ˈyə̯	1.22
ˈuːə̯	-	0.0
ˈyː	ˈuː	0.207
ˈyː	-	2.902
ˈæ	ˈæ	0.81
ˈæ	ˈɒ	2.565
ˈæ	-	2.94
ˈæ	ˈi	2.94
ˈæi̯	ˈæi̯	0.0
ˈøː	-	1.361
ˈøː	ˈu	1.694
ˈøː	ˈo	1.73
ˈɑ	ˈɒ	0.587
ˈɑ	ˈɒː	2.517
ˈɑ	ˈæ	2.65
ˈɑu̯	ˈɒ_l	0.0
ˈɒː	ˈɒ	0.0
ˈɔ	ˈu	0.837
ˈɔ	ˈo	2.094
ˈɔ	-	2.279
ˈɔ_n	ˈøi̯	0.0
ˈɛː	ˈɒː	1.382
ˈɛː	ˈoː	2.021
ˈɛː	ˈæː	2.904
ˈɛː	-	3.001
ˈɛː	ˈɒ	3.168
ˈɛː_t	ˈɒ_sː	0.0
ˈɪ	ˈi	0.585
ˈɪ	ˈy	2.449
ˈɪ	-	2.735
ˈɪə̯	ˈæi̯	1.004
ˈɪə̯	-	1.895
ˈɪə̯	ˈeː	2.106
ˈʊə̯	ˈoː	1.128
ˈʊə̯	ˈau̯	1.629
ˈʊə̯	ˈo	2.191
ˈʏ	ˈu	1.153
ˈʏ	ˈø	1.518
ˈʏ	-	2.315
