Phone1	Phone2	Surprisal	OOV_Smoothed
#>	n_#>	0.737	4.667
#>	ʀ_#>	1.322	4.667
<#	<#_h	0.0	4.667
<#_d	<#_t	0.0	4.667
<#_n	<#_n	0.0	4.667
<#_t	<#_ʦ	0.0	4.667
<#_ɾ	<#_ʀ	0.0	4.667
<#_ˈɑ	<#_ˈɛ	0.0	4.667
b	b	0.0	4.667
d	d	0.29	4.667
d	t	2.459	4.667
d_ə	d_ə	1.222	4.667
d_ə	d	1.807	4.667
d_ə	ə	1.807	4.667
d̥	t	0.0	4.667
d̥_#>	d_#>	0.0	4.667
i	ɪ	0.0	4.667
iː	-	0.0	4.667
j	j	0.0	4.667
k	k	0.372	4.667
k	χ	2.138	4.667
k_#>	ɡ_#>	0.0	4.667
k_ə	χ	0.0	4.667
l	ɫ	0.0	4.667
m	m	0.0	4.667
n	n	0.263	4.667
n	-	3.807	4.667
n	n_d	4.392	4.667
n	ˈɛ_n	4.392	4.667
p	f	0.678	4.667
p	p	1.415	4.667
p_ə	f_n	0.0	4.667
s	ʃ	0.0	4.667
s_#>	ʃ_#>	0.585	4.667
s_#>	#>	1.585	4.667
s_t	s_t	0.0	4.667
s_x	ʃ	0.0	4.667
t	s	1.0	4.667
t	t	1.907	4.667
t	ʦ	2.1	4.667
v	f	0.193	4.667
v	b	3.0	4.667
v_ə	b	0.0	4.667
v̥	b	0.807	4.667
v̥	f	1.222	4.667
w_#>	#>	0.0	4.667
x	ɡ	0.263	4.667
x	χ	2.585	4.667
x_t	χ_t	0.0	4.667
x_ə	ɡ_n	0.678	4.667
x_ə	ɡ	1.415	4.667
z	z	0.29	4.667
z	ʃ	2.459	4.667
z̥	z	0.0	4.667
ŋ	ŋ	0.0	4.667
ə	n	1.547	4.667
ə	ə	1.663	4.667
ə	-	2.663	4.667
ə	ə_n	2.926	4.667
ə	ɡ_ə	4.248	4.667
ə_#>	#>	0.0	4.667
ə_n	ʀ_n	0.0	4.667
ɪ	ɪ	0.0	4.667
ɫ	ɫ	0.0	4.667
ɾ	ʀ	0.222	4.667
ɾ	ə_ʀ	4.03	4.667
ɾ	ˈɔ	4.615	4.667
ɾ	ˈɛ	4.615	4.667
ɾ_d̥	ʀ_t	0.0	4.667
ʋ	v	0.0	4.667
ˈeː	ˈɛ	0.848	4.667
ˈeː	-	2.17	4.667
ˈeː	ˈɪ	2.17	4.667
ˈi	ˈaɪ̯	1.0	4.667
ˈi	ˈɪ	1.0	4.667
ˈiː	ˈɪ	1.0	4.667
ˈiː	ˈaɪ̯	1.737	4.667
ˈiː	ˈaɪ̯_ə	2.322	4.667
ˈiːə̯	ˈɛ	0.0	4.667
ˈu	ˈʊ	0.0	4.667
ˈuː	ˈʊ	0.585	4.667
ˈuː	ˈɪ	1.585	4.667
ˈuːə̯	-	0.0	4.667
ˈyː	ˈɔɪ̯	0.379	4.667
ˈyː	-	2.115	4.667
ˈæ	ˈɛ	1.0	4.667
ˈæ	ˈa	1.737	4.667
ˈæ	ˈɪ	2.322	4.667
ˈæ_n	ˈɛ_n	0.0	4.667
ˈæi̯	ˈɛɪ̯	0.0	4.667
ˈøː	ˈʊ	1.222	4.667
ˈøː	-	1.807	4.667
ˈøː	ˈɔ	1.807	4.667
ˈɑ	ˈa	0.222	4.667
ˈɑ	ˈɔ	2.807	4.667
ˈɑu̯	ˈa_ɫ	0.0	4.667
ˈɒː	-	0.0	4.667
ˈɔ	ˈʊ	1.0	4.667
ˈɔ	ˈɔ	1.363	4.667
ˈɔ	ʀ	3.17	4.667
ˈɛː	ˈɔ	0.874	4.667
ˈɛː	ˈa	2.138	4.667
ˈɛː	ˈɛ	2.138	4.667
ˈɪ	ˈɪ	0.193	4.667
ˈɪ	ˈaɪ̯	3.0	4.667
ˈɪə̯	ˈɛɪ̯	0.515	4.667
ˈɪə̯	-	1.737	4.667
ˈʊə̯	ˈɔɪ̯	0.222	4.667
ˈʊə̯	h	2.807	4.667
ˈʏ	-	1.222	4.667
ˈʏ	ˈɔ	1.807	4.667
ˈʏ	ˈɛ	1.807	4.667
