Alsatian	Bavarian	probability
b̥	b̥	1.0
e	-	1.0
eː	eɐ̯	1.0
f	f	1.0
h	h	1.0
p	p	1.0
s	s	1.0
w	ʋ	1.0
x	x	1.0
ŋ	ŋ	1.0
ʦ	ʦ	1.0
ˈø	ˈoː	1.0
ˈøi̯	ˈau̯	1.0
ˈøː	ˈuɐ̯	1.0
ˈœ	ˈau̯	1.0
ˈɔi̯	ˈau̯	1.0
j	ɡ̊	0.221
l	l	0.51
ʃ	ʃ	0.711
ˈeː	ˈe	0.191
ˈi	ˈai̯	0.151
ˈiː	ˈiː	0.061
ˈiː	ˈiɐ̯	0.251
ˈu	ˈo	0.1
ˈyː	ˈau̯	0.851
ˈæː	ˈɛ	0.081
ˈɒː	ˈɒ	0.201
ˈʊː	ˈa	0.051
p͡f	p͡f	0.522
ə	a	0.502
ˈei̯	ˈoɐ̯	0.12
ˈei̯	ˈai̯	0.732
ˈiː	ˈeɐ̯	0.082
ˈo	ˈo	0.342
ˈu	ˈɛ	0.082
ˈɒː	ˈɔ	0.052
k	-	0.053
k	k	0.3
t	d̥	0.563
ʁ	s	0.063
ʃ	s	0.063
ˈe	ˈe	0.253
ˈeː	ˈeɐ̯	0.103
ˈu	ˈu	0.763
ˈæː	ˈɛː	0.213
ˈʊː	ˈuɐ̯	0.523
i	ŋ	0.184
j	j	0.34
n	n	0.924
ɡ̊	kʰ	0.074
ˈaː	ˈo	0.364
ˈeː	ɐ	0.344
ˈoː	ˈoː	0.134
ˈoː	ˈou̯	0.234
ˈæː	ˈe	0.114
ˈæː	ˈeː	0.484
ˈɛ	ˈɒ	0.714
kʰ	kʰ	0.955
l	j	0.445
ˈeː	ˈeː	0.115
ˈi	ˈʏ	0.105
ˈiː	ˈi	0.125
ˈæ	ˈɛ	0.495
ˈɒ	ˈoɐ̯	0.065
ˈɒ	ˈɒ	0.145
ˈəi̯	ˈai̯	0.155
ˈəi̯	ˈoɐ̯	0.845
m	m	0.986
v	b̥	0.506
ɡ̊	ɡ̊	0.926
ˈaː	ˈiɐ̯	0.636
ˈoː	ˈɒː	0.186
ˈæ	ˈeː	0.406
ˈɒ	ˈoː	0.076
ˈɒː	ˈoː	0.266
ˈɛ	ˈeː	0.286
d̥	d̥	0.97
i	i	0.467
k	ɡ̊	0.647
t	t	0.437
v	m	0.247
v	ŋ	0.247
ʁ	-	0.467
ʁ	r	0.47
ʃ	ç	0.087
ˈoː	ˈɔ	0.267
ˈɒ	ˈɔ	0.067
ˈɒː	ˈoɐ̯	0.107
ˈɒː	ˈa	0.137
ˈʊː	ˈeɐ̯	0.167
n	m	0.068
p͡f	p	0.478
ə	n	0.448
ʃ	x	0.068
ʋ	ʋ	0.978
ˈe	ˈɛ	0.568
ˈeː	ˈɛː	0.248
ˈiː	ˈai̯	0.398
ˈo	ˈaː	0.068
ˈo	ˈɔ	0.108
ˈoː	ˈoɐ̯	0.178
ˈæː	ˈɑː	0.108
ˈɒ	ˈa	0.208
ˈɒ	ˈo	0.258
ˈɒː	ˈo	0.118
ˈɒː	ˈɒː	0.118
i	-	0.349
j	ŋ	0.439
ˈe	ˈi	0.179
ˈei̯	ˈiɐ̯	0.149
ˈi	ˈi	0.679
ˈo	ˈoɐ̯	0.459
ˈyː	ˈaː	0.149
ˈæ	ˈo	0.099
ˈɒ	ˈɒː	0.09
ˈɒ	ˈaː	0.09
ˈʊː	ˈaː	0.259
