Bavarian	Scots	probability
h	h	1.0
i	-	1.0
k	k	1.0
m	m	1.0
p͡f	pʰ	1.0
r	r	1.0
ç	k	1.0
ɐ	r	1.0
ˈiː	ˈɪ	1.0
ˈou̯	ˈi	1.0
ˈoː	ˈeː	1.0
ˈɒː	ˈa	1.0
ˈʏ	ˈɪ	1.0
n	ə_n	0.151
ŋ	n	0.1
ˈai̯	ˈɪ	0.061
ˈi	ˈiː	0.121
ˈɔ	ˈɑː	0.681
ˈɛ	ˈɛ	0.1
ˈɛ	ˈɪ	0.431
b̥	v	0.072
ʃ	ʃ	0.542
ʋ	ˈu	0.052
ˈai̯	ˈiː	0.192
ˈe	ˈa	0.232
ˈiɐ̯	ˈiː	0.482
x	k	0.603
ʋ	w	0.83
ˈa	r_#>	0.113
ˈa	n_#>	0.173
ˈai̯	ˈɛ	0.063
ˈau̯	ˈuː	0.213
ˈaː	ˈiː	0.163
ˈo	ˈʌ	0.103
ˈu	ˈi	0.123
ˈɛ	ˈʌ	0.363
a	-	0.094
d̥	d	0.604
kʰ	k	0.264
n	n	0.674
ɡ̊	-	0.394
ɡ̊	ɡ	0.534
ʦ	tʰ	0.644
ˈai̯	ˈəi̯	0.684
ˈoɐ̯	ˈeː	0.174
ˈoɐ̯	ˈe	0.334
d̥	θ	0.295
f	f	0.785
j	-	0.095
j	l	0.875
n	-	0.175
t	t	0.525
ˈeː	ˈɛ	0.275
ˈeː	ˈiː	0.725
a	ə_r	0.906
b̥	b	0.776
d̥	ð	0.076
kʰ	kʰ	0.736
l	l	0.956
s	t	0.296
ʦ	t	0.356
ˈoɐ̯	ˈe_n	0.166
ˈuɐ̯	ˈɪ	0.436
ˈuɐ̯	ˈø	0.436
ˈɛ	ˈi	0.106
t	θ	0.187
ˈa	ˈeː	0.057
ˈau̯	ˈu	0.787
ˈaː	ˈi	0.837
ˈoɐ̯	ˈo_r	0.327
ˈuɐ̯	ˈi	0.127
b̥	f	0.108
f	p	0.168
s	s	0.68
t	d	0.288
x	ç	0.378
ŋ	ŋ	0.688
ʃ	s	0.458
ʋ	ʍ	0.118
ˈa	ə_#>	0.068
ˈa	ˈe	0.078
ˈe	ˈɛ	0.768
ˈiɐ̯	ˈi	0.518
ˈo	ˈɑː	0.778
ˈu	ˈɪ	0.378
ŋ	-	0.19
ˈa	ˈɑː	0.469
ˈi	ˈɪ	0.879
ˈo	ˈo	0.119
ˈu	ˈʌ	0.499
ˈɔ	ˈo	0.319
