Bokmål Norwegian	Westphalian	probability
b	b	0.958
d	d	0.836
d	-	0.101
d	t	0.051
f	f	0.976
h	h	0.958
i	ɪ	1.0
j	x	0.316
j	h	0.26
j	-	0.195
j	ˈɛː	0.169
k	k	0.737
k	-	0.263
kʰ	k	0.895
kʰ	-	0.105
kː	k	0.526
kː	ŋ_k	0.474
l	l	0.928
l	ɡ_l	0.072
lː	l	0.931
lː	-	0.069
m	m	0.881
m	v	0.119
mː	m	1.0
n	n	0.956
nː	n	0.927
nː	-	0.073
p	p	1.0
pː	p	1.0
s	s	0.617
s	ʃ	0.343
sː	s	1.0
t	t	0.963
tʰ	d	0.621
tʰ	t	0.254
tʰ	b	0.087
tː	t	0.866
tː	ç	0.109
ŋ	ç	0.67
ŋ	n	0.33
ŋː	ŋ	1.0
ɕ	k	0.938
ɕ	d	0.062
ə	-	0.392
ə	ə	0.305
ə	n	0.27
ɡ	x	0.905
ɡ	-	0.081
ɡː	-	0.289
ɡː	ɡ	0.281
ɡː	k	0.215
ɡː	ç	0.215
ɪ	ɪ	0.67
ɪ	-	0.33
ɳ	-	0.509
ɳ	n	0.491
ɾ	ɐ	0.418
ɾ	r	0.413
ɾ	-	0.108
ɾ	d_ɐ	0.061
ʂ	s	1.0
ʃ	ʃ	1.0
ʈ	t	1.0
ʈː	t	1.0
ʋ	v	0.659
ʋ	-	0.16
ʋ	ʋ	0.141
ˈeː	ˈeː	0.232
ˈeː	ˈaɪ̯	0.199
ˈeː	ˈaʊ̯	0.122
ˈeː	ˈɪ	0.122
ˈeː	ˈiɛ̯	0.118
ˈeː	ˈɪə̯	0.079
ˈeː	ˈa	0.076
ˈeː	ˈɪɛ̯	0.051
ˈiː	ˈiː	0.566
ˈiː	ˈɪə̯	0.13
ˈiː	ˈɪ	0.129
ˈiː	ˈeː	0.078
ˈiː	ˈɛ	0.066
ˈoː	ˈɔː	0.865
ˈoː	ˈaʊ̯	0.059
ˈuː	ˈoː	0.674
ˈuː	-	0.146
ˈuː	ˈœː	0.074
ˈyː	ˈaɪ̯	0.536
ˈyː	ˈiː	0.222
ˈyː	ˈyː	0.205
ˈæ	ˈɪ	0.502
ˈæ	ˈɪɛ̯	0.498
ˈæɪ̯	ˈeː	0.606
ˈæɪ̯	ˈɪɛ̯	0.199
ˈæɪ̯	ˈɛ	0.163
ˈæː	ˈɪɛ̯	0.48
ˈæː	ˈiː	0.23
ˈæː	-	0.16
ˈæː	ˈiɛ̯	0.13
ˈøː	ˈaʊ̯	0.48
ˈøː	ˈøː	0.166
ˈøː	ˈœː	0.113
ˈøː	ɐ	0.09
ˈøː	ˈɔː	0.061
ˈøː	ˈaɪ̯	0.054
ˈœ	ˈuːə̯	0.259
ˈœ	ˈøː	0.146
ˈœ	-	0.14
ˈœ	ˈaɪ̯	0.129
ˈœ	ˈaʊ̯	0.089
ˈœ	ˈɛ	0.089
ˈœ	ˈʏ	0.088
ˈœ	ˈuə̯	0.06
ˈœʏ̯	ˈaʊ̯	1.0
ˈɑ	ˈa	0.783
ˈɑ	ˈaː	0.099
ˈɑ	ˈɔ	0.063
ˈɑː	ˈaː	0.418
ˈɑː	ˈa	0.316
ˈɑː	ˈɒː	0.185
ˈɑː	ˈɛ	0.081
ˈɔ	ˈuːə̯	0.3
ˈɔ	ˈʊ	0.217
ˈɔ	ˈuə̯	0.119
ˈɔ	ˈa	0.115
ˈɔ	ˈøː	0.108
ˈɔ	ˈuː	0.058
ˈɛ	ˈɛ	0.409
ˈɛ	ˈa	0.125
ˈɛ	ˈɪɛ̯	0.121
ˈɛ	ˈø	0.116
ˈɛ	ˈiː	0.078
ˈɛ	ˈɪ	0.054
ˈɪ	ˈɪ	0.895
ˈɪ	-	0.062
ˈʉ	ˈʊ	0.584
ˈʉ	v_ˈʊ	0.235
ˈʉ	ˈyə̯	0.086
ˈʉ	ˈuː	0.056
ˈʉː	ˈuː	0.326
ˈʉː	ˈaɪ̯	0.228
ˈʉː	ˈʊ	0.151
ˈʉː	ˈuːə̯	0.087
ˈʉː	ˈɪɛ̯	0.05
ˈʊ	ˈuːə̯	0.405
ˈʊ	ˈa	0.398
ˈʊ	ˈʊ	0.197
ˈʏ	ˈʏ	0.501
ˈʏ	ˈuː	0.167
ˈʏ	ˈyː	0.143
ˈʏ	ˈɪ	0.136
ˈʏ	ˈuːə̯	0.054
