East Low German	Scots	probability
ae̯	i	1.0
b	b	0.922
d	d	0.582
d	θ	0.412
f	f	0.941
h	h	1.0
j	ɡ	0.644
j	j	0.356
k	k	0.78
k	ʤ	0.11
k	ʧ	0.11
kʰ	kʰ	0.668
kʰ	k	0.176
kʰ	ʧ	0.15
l	l	0.939
l	-	0.061
m	m	0.886
m	v	0.099
n	n	0.88
n	-	0.091
p	p	0.981
r	r	0.992
s	s	0.692
s	z	0.141
s	k_s	0.128
t	t	0.69
t	d	0.219
tʰ	tʰ	1.0
v	w	0.759
v	ʍ	0.177
v	-	0.064
w	w	0.718
w	ˈu	0.282
x	x	0.358
x	-	0.357
x	ç	0.285
z	s	0.944
æ	r	0.515
æ	ə	0.417
ç	ɡ	0.397
ç	ç	0.374
ç	k	0.228
ŋ	ŋ	0.874
ŋ	ˈaɪ̯	0.078
ɡ	ɡ	0.634
ɡ	-	0.271
ɣ	-	1.0
ɪ	i	0.484
ɪ	ŋ	0.32
ɪ	e	0.196
ɾ	ð	0.782
ɾ	-	0.15
ɾ	d	0.068
ʃ	ʃ	0.549
ʃ	s	0.451
ˈa	ˈa	0.386
ˈa	ˈɑː	0.344
ˈa	ˈɪ	0.102
ˈa	ˈɛ	0.066
ˈa	ˈeː	0.06
ˈae̯	ˈe	0.346
ˈae̯	ˈiː	0.306
ˈae̯	ˈɛ	0.159
ˈae̯	ˈi	0.063
ˈae̯	ˈɑː	0.057
ˈaɪ̯	ˈɛ	0.805
ˈaɪ̯	ˈiː	0.195
ˈaʊ̯	ˈø	0.274
ˈaʊ̯	ˈɪ	0.178
ˈaʊ̯	ˈiː	0.162
ˈaʊ̯	ˈi	0.12
ˈaː	ˈeː	0.358
ˈaː	ˈɛ	0.302
ˈaː	ˈe	0.174
ˈaː	ˈa	0.113
ˈaː	ˈʌ	0.053
ˈeː	ˈeː	0.501
ˈeː	ˈiː	0.323
ˈeː	ˈɑː	0.176
ˈiː	ˈəi̯	0.381
ˈiː	ˈiː	0.236
ˈiː	ˈɪ	0.122
ˈiː	ˈaɪ̯	0.08
ˈiː	ˈa	0.065
ˈoː	ˈeː	0.422
ˈoː	ˈiː	0.351
ˈoː	ˈi	0.157
ˈoː	ˈɪ	0.07
ˈuː	ˈu	0.433
ˈuː	ˈuː	0.185
ˈuː	ˈo	0.129
ˈuː	ˈəi̯	0.078
ˈuː	ˈoː	0.068
ˈuː	ˈiː	0.053
ˈyː	ˈiː	0.49
ˈyː	ˈəi̯	0.283
ˈyː	ˈɪ	0.227
ˈøː	ˈi	1.0
ˈœ	ˈa	0.645
ˈœ	ˈi	0.227
ˈœ	ˈɪ	0.128
ˈœː	ˈeː	0.315
ˈœː	ˈɪ	0.252
ˈœː	ˈʌu̯	0.226
ˈœː	ˈo	0.133
ˈœː	ˈuː	0.074
ˈɒː	ˈʌ	0.232
ˈɒː	ˈeː	0.225
ˈɒː	ˈe	0.221
ˈɒː	ˈø	0.158
ˈɒː	ˈi	0.087
ˈɔ	ˈo	0.402
ˈɔ	ˈɪ	0.242
ˈɔ	ˈɑː	0.166
ˈɔ	ˈʌu̯	0.135
ˈɔ	ˈi	0.054
ˈɔʏ̯	ˈi	0.84
ˈɔʏ̯	ˈiː	0.093
ˈɔʏ̯	ˈaɪ̯	0.066
ˈɛ	ˈɛ	0.497
ˈɛ	-	0.172
ˈɛ	ˈeː	0.128
ˈɛ	ˈɪ	0.095
ˈɛɪ̯	ˈiː	1.0
ˈɛː	ˈɛ	0.233
ˈɛː	ˈa	0.215
ˈɛː	ˈi	0.2
ˈɛː	j	0.123
ˈɛː	ˈoː	0.084
ˈɛː	ˈəi̯	0.084
ˈɛː	ˈø	0.062
ˈɪ	ˈɪ	0.83
ˈʊ	ˈʌ	0.648
ˈʊ	ˈu	0.229
ˈʊ	ˈɪ	0.062
ˈʏ	ˈɪ	0.636
ˈʏ	ˈi	0.186
ˈʏ	ˈɛ	0.089
ˈʏ	ˈʌ	0.089
