Faroese	Northern Low Saxon	probability
a	n	0.53
a	d_n	0.174
a	-	0.139
a	m	0.081
a	ŋ	0.057
b̥	b	0.99
d̥	d	0.819
d̥	-	0.156
f	f	0.978
h	h	0.91
h	-	0.09
j	-	0.339
j	ˈɛ	0.255
j	h	0.122
j	ˈɛɪ̯	0.114
j	ˈaɪ̯	0.086
j	x	0.084
k	ɡ	0.491
k	-	0.471
kʰ	kʰ	0.836
kʰ	-	0.164
l	l	0.936
l	-	0.064
l̥	l	1.0
m	m	0.933
m	-	0.067
mː	m	1.0
n	n	0.958
nː	n	0.941
nː	-	0.059
n̥	n	0.54
n̥	ɐ	0.323
n̥	ŋ	0.07
n̥	m	0.066
p	b	1.0
r	r	1.0
s	z	0.403
s	s	0.354
s	ʃ	0.243
sː	s	1.0
t	d	0.447
t	-	0.353
t	t	0.2
tʰ	d	0.528
tʰ	tʰ	0.29
tʰ	b	0.079
tʰ	-	0.072
tː	b	1.0
v	v	0.555
v	m	0.167
v	-	0.125
v	f	0.089
v	ç	0.057
w	-	0.65
w	m	0.119
w	ə	0.119
w	x	0.067
ŋ	ŋ	0.605
ŋ	-	0.356
ɑ	n	1.0
ɛ	ɪ	1.0
ɡ̊	-	0.493
ɡ̊	ɡ	0.347
ɡ̊	ç	0.1
ɡ̊	ŋ	0.061
ɡ̊ː	ç	0.501
ɡ̊ː	ɡ	0.333
ɡ̊ː	-	0.167
ɪ	-	1.0
ɲ	ŋ	1.0
ɹ	-	0.602
ɹ	ɐ	0.186
ɹ	r	0.148
ɹ	d_ɐ	0.064
ɹː	-	1.0
ʃ	ʃ	0.695
ʃ	z	0.305
ʈ	d	1.0
ʊ	-	1.0
ʎ	ˈɔ	1.0
ʤ̊	ɡ	0.559
ʤ̊	d	0.285
ʤ̊	-	0.155
ʤ̊ː	n	0.461
ʤ̊ː	ç	0.323
ʤ̊ː	ŋ	0.185
ʧ	ɡ	1.0
ʧʰ	kʰ	0.633
ʧʰ	d	0.367
ʧː	n	1.0
ʰk	-	1.0
ʰkː	ɡ	0.535
ʰkː	k	0.465
ʰp	p	0.715
ʰp	b	0.285
ʰpː	b	1.0
ʰt	d	1.0
ʰtː	t	0.519
ʰtː	x	0.389
ʰtː	ç	0.092
ʰʧ	k	1.0
ʰʧː	ɡ	1.0
ˈa	ˈa	0.59
ˈa	ˈaː	0.139
ˈa	ˈʏ	0.09
ˈa	ˈoː	0.088
ˈai̯	ˈaɪ̯	0.589
ˈai̯	ˈɛɪ̯	0.207
ˈai̯	ˈɪ	0.203
ˈaːi̯	ˈaɪ̯	0.785
ˈaːi̯	ˈɪ	0.137
ˈaːi̯	j	0.078
ˈeə̯	ˈeː	1.0
ˈeː	ˈiː	0.244
ˈeː	ˈɛ	0.221
ˈeː	ˈaɪ̯	0.169
ˈeː	ˈeː	0.167
ˈeː	ˈɪ	0.122
ˈeː	ˈa	0.077
ˈiː	ˈɪ	0.405
ˈiː	ˈøː	0.278
ˈiː	-	0.173
ˈiː	ˈeː	0.144
ˈoː	ˈoː	0.514
ˈoː	ˈaʊ̯	0.363
ˈoː	ˈuː	0.123
ˈuː	ˈʏ	0.516
ˈuː	ˈeː	0.251
ˈuː	ˈaɪ̯	0.144
ˈuː	ˈɔ	0.089
ˈøː	ˈɔʏ̯	0.35
ˈøː	ˈeː	0.263
ˈøː	-	0.166
ˈøː	ˈøː	0.132
ˈøː	l	0.088
ˈœ	ˈɔ	0.202
ˈœ	ɐ	0.193
ˈœ	ˈa	0.166
ˈœ	-	0.117
ˈœ	ˈoː	0.078
ˈœ	ˈaʊ̯	0.078
ˈœ	ˈœ	0.078
ˈœ	ˈɪ	0.06
ˈɔ	ˈa	0.16
ˈɔ	ˈeː	0.153
ˈɔ	ˈɔʏ̯	0.153
ˈɔ	ˈœ	0.148
ˈɔ	ˈaː	0.077
ˈɔ	ˈaʊ̯	0.067
ˈɔ	ˈɔ	0.054
ˈɔ	ˈøː	0.051
ˈɔːi̯	ˈɔʏ̯	0.69
ˈɔːi̯	ˈaʊ̯	0.31
ˈɔːu̯	ˈaʊ̯	0.493
ˈɔːu̯	ˈeɪ̯	0.252
ˈɔːu̯	ˈaɪ̯	0.181
ˈɔːu̯	-	0.074
ˈɔ̯aː	ˈoː	0.765
ˈɔ̯aː	ˈaʊ̯	0.189
ˈɛ	ˈɪ	0.311
ˈɛ	ˈa	0.192
ˈɛ	ˈoː	0.124
ˈɛ	ˈœː	0.065
ˈɛ	ˈɛ	0.06
ˈɛ	ˈø	0.059
ˈɛːa̯	ˈa	0.311
ˈɛːa̯	ˈoː	0.145
ˈɛːa̯	ˈɛː	0.143
ˈɛːa̯	ˈɛ	0.112
ˈɛːa̯	ˈiː	0.086
ˈɛːa̯	ˈeɪ̯	0.083
ˈɛːi̯	ˈaʊ̯	0.712
ˈɛːi̯	ˈaɪ̯	0.149
ˈɛːi̯	ˈøː	0.087
ˈɛːi̯	ˈoː	0.053
ˈɪ	ˈɪ	0.534
ˈɪ	ˈʏ	0.134
ˈɪ	ˈiː	0.066
ˈʉːu̯	ˈuː	0.738
ˈʉːu̯	-	0.116
ˈʉːu̯	ˈaɪ̯	0.075
ˈʉːu̯	ˈyː	0.07
ˈʊ	ˈʊ	0.501
ˈʊ	ˈʏ	0.116
ˈʊ	-	0.07
ˈʊ	v_ˈʊ	0.069
ˈʊ	ˈœː	0.063
ˈʊ	ˈuː	0.062
ˈʊ̯iː	ˈiː	0.638
ˈʊ̯iː	ˈaɪ̯	0.198
ˈʊ̯iː	ˈyː	0.097
ˈʊ̯iː	ˈɪ	0.067
ˈʏ	ˈaɪ̯	0.308
ˈʏ	ˈɪ	0.187
ˈʏ	ˈuː	0.179
ˈʏ	ˈyː	0.179
ˈʏ	ˈʊ	0.147
