Faroese	Saterland Frisian	probability
a	ə	0.703
a	-	0.151
a	j_ə	0.132
b̥	b	0.98
d̥	d	0.905
d̥	-	0.095
f	f	0.976
h	h	0.949
h	k	0.051
j	-	0.409
j	ˈɔː	0.275
j	ɣ	0.155
j	h	0.102
k	k	1.0
kʰ	k	0.956
l	l	0.895
l	ə_l	0.066
l̥	l	1.0
m	m	0.955
mː	m	1.0
n	n	0.992
nː	n	0.81
nː	ˈuː	0.19
n̥	ə_n	0.599
n̥	ə	0.226
n̥	n	0.127
p	p	1.0
pʰ	p	1.0
r	-	0.518
r	r	0.482
s	s	0.929
s	z	0.055
sː	s	1.0
t	t	0.602
t	-	0.213
t	d	0.185
tʰ	t	0.647
tʰ	d	0.194
tʰ	b	0.086
tʰ	j	0.073
tː	d	0.663
tː	p	0.337
v	v	0.644
v	-	0.178
v	b	0.063
v̥	-	0.732
v̥	v	0.268
w	a	0.324
w	-	0.317
w	ˈaːi̯	0.256
w	m	0.078
ŋ	ŋ	0.76
ŋ	-	0.109
ŋ	n	0.109
ɑ	ə	1.0
ɛ	ə	1.0
ɡ̊	-	0.516
ɡ̊	ɣ	0.319
ɡ̊	x	0.091
ɡ̊ː	x	0.659
ɡ̊ː	-	0.341
ɪ	ə	0.848
ɪ	-	0.152
ɲ	-	1.0
ɹ	-	0.579
ɹ	r	0.421
ɹː	x	1.0
ʃ	s	1.0
ʈ	t	1.0
ʊ	-	0.882
ʊ	ə	0.111
ʎ	ɣ	1.0
ʤ̊	j	0.93
ʤ̊ː	x	0.406
ʤ̊ː	j	0.243
ʤ̊ː	z	0.243
ʤ̊ː	-	0.108
ʧ	k	0.67
ʧ	ɣ	0.33
ʧʰ	j	0.564
ʧʰ	s	0.302
ʧʰ	k	0.077
ʧʰ	d	0.056
ʧː	ɣ	1.0
ʰk	k	1.0
ʰkː	k	1.0
ʰp	p	1.0
ʰpː	p	1.0
ʰt	t	1.0
ʰtː	t	0.579
ʰtː	x	0.421
ʰʧ	k	1.0
ˈa	ˈoːu̯	0.22
ˈa	ˈaː	0.164
ˈa	ˈɔː	0.103
ˈa	ˈoː	0.086
ˈa	ˈɔ	0.085
ˈa	ˈɛɪ̯	0.072
ˈa	ˈɛː	0.065
ˈa	ˈyː	0.06
ˈai̯	ˈeː	0.624
ˈai̯	ˈɛ	0.165
ˈai̯	ˈoː	0.112
ˈai̯	ˈaː	0.099
ˈaːi̯	ˈeː	1.0
ˈeə̯	ˈeː	1.0
ˈeː	ˈi	0.449
ˈeː	ˈaːi̯	0.125
ˈeː	ˈeː	0.125
ˈeː	ˈa	0.094
ˈeː	ˈeːu̯	0.08
ˈeː	ˈɛɪ̯	0.07
ˈeː	ˈɪ	0.057
ˈiː	ˈɔː	0.339
ˈiː	ˈɪ	0.313
