Gothic	Saterland Frisian	probability
a	-	0.571
a	ə	0.385
a_n	ə	1.0
aː	ə	0.508
b	b	0.816
b	-	0.183
d	d	0.93
d	-	0.068
e	ə	1.0
f	f	0.759
f	-	0.143
f	x	0.087
f_s	f	1.0
h	h	0.557
h	x	0.216
h	-	0.123
h	ŋ	0.064
h_l	l	1.0
i	-	0.598
i	ɪ	0.182
i	ə	0.161
i_s	s	1.0
iː	-	0.508
j	-	0.341
j	j	0.259
j	ˈyː	0.153
j	r	0.115
k	k	0.786
k	-	0.204
k_s	k	1.0
l	l	1.0
l_s	l	1.0
lː	ɫ	0.508
lː_s	l	0.258
m	m	0.891
m	w	0.086
m_s	m	1.0
n	n	0.856
n	-	0.142
nː	n	1.0
oː	ə	0.677
oː	-	0.216
oː	r	0.097
p	p	1.0
r	r	0.836
r	-	0.151
s	-	0.538
s	s	0.412
t	t	0.913
t	d	0.084
t_s	t	1.0
u	-	0.587
u	ə	0.327
u	ˈoː	0.084
w	v	0.853
w	ˈaːu̯	0.059
w	ˈʊ	0.058
x	-	0.758
x	x	0.099
z	r	0.335
z	s	0.335
ð	-	0.53
ð	d	0.192
ð	t	0.177
ŋ	ŋ	0.309
ŋ	-	0.304
ŋ	ˈʊ	0.192
ŋ_ɡ	ŋ	1.0
ɔː	ə	0.258
ɡ	-	0.36
ɡ	ɣ	0.356
ɡ	k	0.15
ɡ	x	0.099
ɡʷ	ŋ	0.508
ɡːʷ	-	0.258
ɣ	x	0.335
ɣ	ɣ	0.335
ʍ	v	0.335
ʍ	ˈoː	0.335
ˈa	ˈɔː	0.228
ˈa	ˈoː	0.205
ˈa	ˈoːu̯	0.136
ˈa	ˈɔ	0.076
ˈa	ˈeː	0.072
ˈa	ˈaːi̯	0.058
ˈa	ˈaː	0.057
ˈa	ˈɛː	0.05
ˈeː	ˈɛɪ̯	0.339
ˈeː	ˈi	0.194
ˈeː	ˈɛ	0.136
ˈeː	ˈiː	0.13
ˈeː	ˈoːu̯	0.13
ˈi	ˈɪ	0.319
ˈi	ˈiː	0.17
ˈi	ˈi	0.092
ˈi	-	0.09
ˈi	j	0.08
ˈi	ˈoː	0.052
ˈi	ˈɔː	0.052
ˈiu̯	ˈɛɪ̯	0.441
ˈiu̯	ˈyː	0.195
ˈiu̯	j	0.15
ˈiː	ˈi	0.748
ˈiː	ˈiː	0.107
ˈiː	ˈɪ	0.091
ˈiː_s	ˈɛɪ̯	1.0
ˈoː	ˈoːu̯	0.839
ˈoː	ˈuː	0.136
ˈu	ˈʊ	0.433
ˈu	ˈuː	0.344
ˈu	ˈɔ	0.096
ˈu	ˈoːu̯	0.073
ˈu	ˈu	0.053
ˈuː	ˈuː	0.796
ˈuː	ˈʊ	0.162
ˈɔ	ˈoːu̯	0.251
ˈɔ	ˈaːu̯	0.215
ˈɔ	ˈoː	0.206
ˈɔ	ˈʊ	0.136
ˈɔː	ˈoː	0.716
ˈɔː	ˈeː	0.195
ˈɔː	ˈɔ	0.076
ˈɛ	j	0.32
ˈɛ	ˈiː	0.218
ˈɛ	ˈɔː	0.108
ˈɛ	ˈaː	0.105
ˈɛ	ˈɛɪ̯	0.105
ˈɛ	ˈɛ	0.081
ˈɛː	ˈeː	0.242
ˈɛː	ˈaː	0.211
ˈɛː	ˈɛɪ̯	0.148
ˈɛː	ˈɪ	0.141
ˈɛː	ˈɛ	0.072
ˈɛː	ˈa	0.066
ˈɛː_w	ˈeː	1.0
β	-	0.242
β	ɣ	0.242
β	v	0.162
β	b	0.153
β	w	0.103
θ	d	0.773
θ	-	0.156
θ	t	0.059
θ_s	d	1.0
