Icelandic	Afrikaans	probability
a	-	0.987
b̥	b	0.947
b̥	-	0.059
b̥_j	b	0.517
c	k	1.0
cʰ	k	0.517
d̥	d	0.796
d̥	t	0.141
d̥	-	0.054
d̥_ʏ	t	1.0
f	f	0.924
f	v	0.075
f_j	f	1.0
h	ɦ	0.967
h	k	0.05
j	-	0.598
j	ˈɪə̯	0.222
j	ˈi	0.094
j	ˈɔː	0.072
j_ˈoːu̯	ˈi	1.0
k	k	0.543
k	-	0.448
kʰ	k	1.0
kʰ_v	v	1.0
l	ɫ	0.92
l	-	0.077
l_j	ɫ	1.0
l_ʏ	ɫ	1.0
l̥	ɫ	0.87
l̥	-	0.126
l̥_ʏ	ɫ	1.0
m	m	1.0
m_ʏ	m	1.0
n	n	0.836
n	-	0.161
nː	n	0.844
nː	n_t	0.134
n̥	n	0.561
n̥	ŋ	0.196
n̥	-	0.149
n̥	m	0.081
p	p	0.596
p	-	0.262
p_ʏ	p	0.517
r	r	0.926
r	-	0.07
r_a	r	1.0
rː̥	r	0.267
rː̥	χ	0.138
r̥	-	0.73
r̥	r	0.268
s	s	1.0
s_c	s	1.0
sː	s	1.0
t	t	0.535
t	-	0.464
tʰ	t	0.927
tʰ	w	0.068
u	-	0.105
u	ə	0.105
v	v	0.434
v	w	0.235
v	-	0.155
v	p	0.087
v	f	0.066
v_ʏ	f	1.0
x	-	0.574
x	k	0.297
ç	v	0.461
ç	ɦ	0.341
ð	t	0.415
ð	-	0.353
ð	d_ə	0.089
ð	d	0.077
ð	r	0.051
ð_ʏ	t	1.0
ŋ	ŋ	1.0
ɑu̯	ə	0.138
ɛ	-	1.0
ɛː	ə	1.0
ɟ̊	χ	0.822
ɟ̊	-	0.15
ɟ̊ː	χ	0.267
ɡ̊	χ	0.491
ɡ̊	-	0.451
ɡ̊	k	0.061
ɡ̊_l	ɫ	1.0
ɡ̊_ʏ	ə	1.0
ɡ̊ː	χ	0.517
ɣ	k	0.435
ɣ	χ	0.349
ɣ_a	χ	1.0
ɪ	ə	0.483
ɪ	-	0.449
ɪ	r	0.059
ɲ	ŋ	0.517
ʏ	-	0.905
ʏ	ə	0.093
ʰk	ŋ_k	0.594
ʰk	k	0.392
ʰp	p	0.267
ʰt	χ_t	0.561
ʰt	χ	0.322
ʰt	t	0.079
ʰt_ʏ	χ	0.517
ˈa	ˈa	0.617
ˈa	ˈœu̯	0.085
ˈa	ˈʊə̯	0.074
ˈa	ˈæ	0.064
ˈa	ˈæː	0.064
ˈa	ˈɛ	0.064
ˈa	ˈɑː	0.055
ˈai̯	ˈɛ	0.488
ˈai̯	ˈi	0.15
ˈai̯	ˈu	0.15
ˈaː	ˈa	0.506
ˈaː	ˈɑː	0.389
ˈaː	ˈɛː	0.087
ˈaːi̯	ˈa	0.437
ˈaːi̯	ˈu	0.381
ˈaːi̯	ˈɛ	0.149
ˈaːu̯	ˈʊə̯	0.574
ˈaːu̯	ˈɑː	0.297
ˈeːi̯	ˈʊə̯	0.758
ˈeːi̯	ˈəɪ̯	0.105
ˈi	ˈə	0.778
ˈi	ˈœɪ̯	0.152
ˈiː	ˈəɪ̯	0.368
