Phone1	PhonEnv	Phone2	Surprisal	OOV_Smoothed
b	#|S|<	b	0.04498451993779539	4.870427107017064
b	#|S|<_F	b	0.12829512700313284	4.870427107017064
b	#|S|<_R	b	0.0	4.870427107017064
b	F_>|S|<	b	0.0	4.870427107017064
d	#|S|<	d	0.5760764812850293	4.870427107017064
d	#|S|<	t	1.9906701577346186	4.870427107017064
d	#|S|<	-	3.8270720213925076	4.870427107017064
d	#|S|<_F	d	0.8991342999542001	4.870427107017064
d	#|S|<_F	t	1.8803844793899684	4.870427107017064
d	#|S|<_F	-	2.6147347780420955	4.870427107017064
d	#|S|<_R	d	0.35536110109940455	4.870427107017064
d	#|S|<_R	t	2.560008888419948	4.870427107017064
d	>|S|<	d	0.32988217699616834	4.870427107017064
d	>|S|<	-	2.809279285628231	4.870427107017064
d̥	>|S|#	d	0.04752020457579033	4.870427107017064
d̥	F_>|S|#	d	-3.2034265038149176e-16	4.870427107017064
f	>|S|#	-	2.379700774124064	4.870427107017064
f	F_>|S|#	-	1.9481708428068254	4.870427107017064
j	#|S|<	j	2.0414411847916862	4.870427107017064
j	#|S|<	-	3.7317005931478255	4.870427107017064
j	>|S|#	-	1.2004168619714655	4.870427107017064
j	>|S|#	ə	2.674038785526058	4.870427107017064
j	>|S|<	-	0.46996773996149743	4.870427107017064
j	F_>|S|#	ə	2.3294899243383664	4.870427107017064
j	F_>|S|#	-	4.8332413204680655	4.870427107017064
j	F_>|S|<	-	0.5258461056815762	4.870427107017064
j	F_>|S|>	l	1.3688376527789334	4.870427107017064
j	F_>|S|>	-	2.078936610263283	4.870427107017064
k	#|S|<	k	0.3967713228705657	4.870427107017064
k	#|S|<	-	2.2035275370651806	4.870427107017064
k	#|S|<_F	k	0.8575248192136571	4.870427107017064
k	#|S|<_F	-	1.2132356184366964	4.870427107017064
k	#|S|<_N	k	0.021661164058076637	4.870427107017064
k	>|S|#	k	0.884401341821304	4.870427107017064
k	>|S|#	k_ə	2.8870534925727096	4.870427107017064
k	>|S|#	-	3.4423092772313755	4.870427107017064
k	>|S|#	x	3.581641054362523	4.870427107017064
k	>|S|#	ɣ	4.107939527247243	4.870427107017064
k	>|S|<	k	0.24629441322478116	4.870427107017064
k	>|S|<	ɣ	3.350325225182664	4.870427107017064
k	F_>|S|#	k	0.8898178147781881	4.870427107017064
k	F_>|S|#	k_ə	2.9967848379453654	4.870427107017064
k	F_>|S|#	x	3.2122209528839636	4.870427107017064
k	F_>|S|#	ɣ	3.7610872021606454	4.870427107017064
k	F_>|S|<	k	0.021661164058076603	4.870427107017064
l	#|S|<	l	0.010545976509555681	4.870427107017064
l	#|S|<_F	l	0.004206291079074627	4.870427107017064
l	<|S|<	l	0.010545976509555681	4.870427107017064
l	<|S|<_F	l	0.004206291079074627	4.870427107017064
l	>|S|#	l	0.37363127655327805	4.870427107017064
l	>|S|#	l_ə	2.6136333472887587	4.870427107017064
l	>|S|<	l	0.044375555836448415	4.870427107017064
l	F_>|S|#	l	0.49856946493616866	4.870427107017064
l	F_>|S|#	l_ə	2.2141229881474414	4.870427107017064
l	F_>|S|<	l	0.05419007228778173	4.870427107017064
l	F_>|S|>	l	0.9774890999811627	4.870427107017064
l_ə	>|S|#	l	0.9740854214034128	4.870427107017064
l_ə	>|S|>	l	0.0	4.870427107017064
l_ə	F_>|S|#	l	0.9740854214034125	4.870427107017064
l_ə	F_>|S|>	l	1.9481708428068256	4.870427107017064
m	#|S|<	m	0.026519270029942296	4.870427107017064
m	#|S|<_F	m	0.01054768074976713	4.870427107017064
m	>|S|#	m	0.9357011313737162	4.870427107017064
m	>|S|#	m_ə	1.1878896323931212	4.870427107017064
m	>|S|<	m	0.026519270029942296	4.870427107017064
m	F_>|S|#	m	0.9820758711620112	4.870427107017064
m	F_>|S|<	m	0.9828240742325786	4.870427107017064
n	#|S|<	n	0.0153635468480033	4.870427107017064
n	#|S|<_F	n	0.006124807809706202	4.870427107017064
n	<|S|<	n	0.0153635468480033	4.870427107017064
n	<|S|<_F	n	0.00612480780970617	4.870427107017064
n	>|S|#	n	0.5043441216362856	4.870427107017064
n	>|S|#	n_ə	2.168472572007266	4.870427107017064
n	>|S|<	n	0.0153635468480033	4.870427107017064
n	>|S|<_F	n	0.006124807809706202	4.870427107017064
n	>|S|>	n	0.09177921315970923	4.870427107017064
n	F_>|S|#	n	0.2836080965261566	4.870427107017064
n	F_>|S|#	n_ə	2.6028159337518573	4.870427107017064
n	F_>|S|<	n	0.006124807809706202	4.870427107017064
n	F_>|S|<_F	n	1.9497438178548925	4.870427107017064
n	F_>|S|>	n	0.00612480780970617	4.870427107017064
n_#>	>|S|#	#>	0.0	4.870427107017064
n_#>	F_>|S|#	#>	0.9740854214034125	4.870427107017064
n_d	>|S|<	n	0.9740854214034128	4.870427107017064
p	#|S|<	p	0.0	4.870427107017064
p	#|S|<_F	p	0.9740854214034128	4.870427107017064
p	>|S|#	p	0.0	4.870427107017064
p	>|S|<	p	0.0	4.870427107017064
p	>|S|<_R	p	0.0	4.870427107017064
p	F_>|S|#	p	-3.2034265038149176e-16	4.870427107017064
s	#|S|<	s	0.08845738173798806	4.870427107017064
s	#|S|<_N	s	1.0009707398870689	4.870427107017064
s	#|S|>	s	0.08845738173798806	4.870427107017064
s	<|S|#	s_k	1.0982701219929192	4.870427107017064
s	<|S|#	s	4.174740447809985	4.870427107017064
s	>|S|#	s	1.4061149898060743	4.870427107017064
s	>|S|#	s_t	2.117653040209195	4.870427107017064
s	>|S|#	s_k	2.775032999785321	4.870427107017064
s	>|S|#	z_ə	2.8954467777314465	4.870427107017064
s	>|S|#	k_s	3.574244590346262	4.870427107017064
s	>|S|<	s_k	1.0982701219929192	4.870427107017064
s	>|S|<	s	4.174740447809985	4.870427107017064
s	F_>|S|#	s	1.0321182212024194	4.870427107017064
s	F_>|S|#	s_k	2.9725526837026277	4.870427107017064
s	F_>|S|#	s_t	2.979450013597273	4.870427107017064
s	F_>|S|#	z_ə	3.0175973035324746	4.870427107017064
s	F_>|S|#	k_s	3.398438857027996	4.870427107017064
s	F_>|S|>	s	1.0028665223558433	4.870427107017064
t	#|S|<	t	0.1430339901746368	4.870427107017064
t	#|S|<_F	t	0.3445821725927727	4.870427107017064
t	#|S|<_R	t	0.9740854214034128	4.870427107017064
t	>|S|#	t	0.07791539665870706	4.870427107017064
t	>|S|<	t	0.0	4.870427107017064
t	>|S|<_F	t	0.0	4.870427107017064
t	F_>|S|#	t	-3.2034265038149176e-16	4.870427107017064
t	F_>|S|<	t	0.0	4.870427107017064
v	#|S|<	f	0.08780118401604155	4.870427107017064
v	#|S|<	v	4.229234903056717	4.870427107017064
v	#|S|<_F	f	0.13329242007536587	4.870427107017064
v	#|S|<_F	v	3.5928753377418383	4.870427107017064
v	#|S|<_R	f	0.01289385776095597	4.870427107017064
v	>|S|<	v	2.259742005416739	4.870427107017064
v	>|S|<	-	2.7676264664495034	4.870427107017064
v	>|S|<	f	3.283879391367009	4.870427107017064
v	>|S|<	ɣ	3.3666634118979624	4.870427107017064
v	F_>|S|<	v	1.9166736880605764	4.870427107017064
v	F_>|S|<	-	2.5659439282831658	4.870427107017064
v	F_>|S|<	ɣ	3.5440902892699224	4.870427107017064
v	F_>|S|<	f	4.605807486254371	4.870427107017064
v̥	>|S|#	f	1.9066208064322958	4.870427107017064
v̥	>|S|#	v	1.9066208064322958	4.870427107017064
v̥	F_>|S|#	f	1.4458190480603494	4.870427107017064
v̥	F_>|S|#	v	2.0896107104193944	4.870427107017064
x	>|S|#	x	1.0651874360673639	4.870427107017064
x	>|S|#	x_t	1.1184446337092853	4.870427107017064
x	>|S|<	x	0.08009609833936097	4.870427107017064
x	>|S|<	x_t	4.221480783376851	4.870427107017064
