North Frisian	East Low German	probability
b	b	0.944
b	-	0.057
d	d	0.479
d	t	0.233
d	ɾ	0.17
d	-	0.109
dʲ	t	0.852
dʲ	d	0.1
f	f	1.0
h	h	1.0
i	ɪ	0.677
i	-	0.312
j	-	0.391
j	ç	0.228
j	ɡ	0.169
j	j	0.105
j	l	0.071
k	k	0.496
k	kʰ	0.275
k	-	0.107
k	ç	0.061
k	x	0.053
l	l	0.933
l	-	0.065
l_ə	l	1.0
lʲ	l	0.517
lʲ	l_t	0.45
m	m	1.0
n	n	0.885
n	m	0.057
n	ŋ	0.039
n	-	0.03
nʲ	n	0.625
nʲ	n_d	0.359
p	p	0.935
p	b	0.056
r	r	0.383
r	æ	0.316
r	-	0.296
r_s	s	0.24
r_t	t	1.0
s	s	0.344
s	ʃ	0.297
s	z	0.28
s	d	0.048
t	t	0.603
t	d	0.162
t	tʰ	0.126
t	-	0.098
tʲ	t	0.703
tʲ	d	0.264
v	v	0.564
v	f	0.126
v	-	0.116
v	b	0.069
v	w	0.062
v_ə	f	0.49
w	ç	0.392
w	ɣ	0.392
w	x	0.124
x	x	0.612
x	ç	0.349
z	t	0.367
z	z	0.211
z	s	0.136
z	-	0.092
z	d	0.092
ŋ	ŋ	0.7
ŋ	ç	0.134
ŋ	n	0.089
ŋ	-	0.067
ə	-	0.436
ə	n	0.283
ə	æ	0.275
ə_l	l	1.0
ɡ	ɡ	0.721
ɡ	j	0.266
ʃ	ʃ	0.764
ʃ	kʰ	0.157
ʃ	z	0.078
ˈa	ˈɪ	0.418
ˈa	ˈʏ	0.191
ˈa	-	0.11
ˈa	ˈiː	0.11
ˈa	ˈa	0.084
ˈa_r	ˈaː	1.0
ˈai̯	ˈɪ	0.53
ˈai̯	ˈae̯	0.171
ˈai̯	ˈiː	0.171
ˈaː	ˈɪ	0.392
ˈaː	ˈae̯	0.221
ˈaː	ˈœː	0.221
ˈeː	ˈiː	0.273
ˈeː	ˈɛ	0.176
ˈeː	ˈa	0.133
ˈeː	ˈœ	0.133
ˈeː	ˈʏ	0.088
ˈi	ˈiː	0.545
ˈi	ˈɪ	0.35
ˈi	ˈøː	0.074
ˈi	ˈɛ	0.041
ˈiː	ˈae̯	0.512
ˈiː	ˈiː	0.162
ˈiː	ˈeː	0.098
ˈiː	ˈɔʏ̯	0.086
ˈiː	ˈyː	0.05
ˈiː_ə	ˈae̯	0.49
ˈuː	ˈaʊ̯	0.51
ˈuː	ˈuː	0.238
ˈuː	w	0.093
ˈuː	ˈa	0.093
ˈuː	ˈoː	0.06
ˈyː	ˈuː	0.334
ˈyː	ˈaʊ̯	0.247
ˈyː	ˈʊ_n	0.095
ˈyː	ˈɛː	0.063
ˈyː	ˈʊ	0.063
ˈøː	ˈuː	0.211
ˈøː	ˈøː	0.211
ˈøː	ˈyː	0.136
ˈøː	ˈœː	0.136
ˈøː	ˈɒː	0.092
ˈœ	ˈaʊ̯	0.377
ˈœ	ˈa	0.268
ˈœ	ˈɔ	0.099
ˈœ	ˈiː	0.086
ˈœ	ˈoː	0.086
ˈɒ	ˈa	0.509
ˈɒ	ˈɪ	0.17
ˈɒ	ˈae̯	0.129
ˈɒ	ˈɔ	0.096
ˈɒ	ˈaː	0.067
ˈɒː	ˈa	0.417
ˈɒː	ˈɒː	0.363
ˈɒː	ˈae̯	0.08
ˈɒː	ˈaː	0.08
ˈɔ	ˈuː	1.0
ˈɔi̯	ˈae̯	0.49
ˈɔu̯	ˈaʊ̯	0.214
ˈɔu̯	ˈɒː	0.198
ˈɔu̯	ˈiː	0.144
ˈɔu̯	ˈœː	0.144
ˈɔu̯	ˈa	0.13
ˈɔː	ˈɔ	0.278
ˈɔː	ˈa	0.144
ˈɔː	ˈœː	0.125
ˈɔː	ˈɛː	0.109
ˈɔː	ˈɒː	0.083
ˈɛ	ˈɔʏ̯	0.517
ˈɛ	ˈaː	0.181
ˈɛ	ˈɪ	0.181
ˈɛi̯	ˈɒː	0.337
ˈɛi̯	ˈɔʏ̯	0.25
ˈɛi̯	ˈa	0.143
ˈɛi̯	ˈae̯	0.104
ˈɛi̯	ˈɛ	0.073
ˈɛː	ˈɛː	0.4
ˈɛː	ˈɒː	0.238
ˈɛː	ˈoː	0.113
ˈɛː	ˈɛ	0.11
ˈɛː	ˈae̯	0.077
ˈʊ	ˈʊ	0.316
ˈʊ	ˈɪ	0.186
ˈʊ	v_ˈʊ	0.111
ˈʊ	ˈa	0.089
ˈʊ	ˈɛ	0.084
ˈʏ	ˈyː	0.561
ˈʏ	ˈʏ	0.28
ˈʏ	ˈɔ	0.104
