North Frisian	Limburgish	probability
nʲ	n	1.0
x	x	1.0
ɛi̯	i	1.0
ɡ	ɣ	1.0
ˈɔi̯	ˈɛːi̯	1.0
f	v̥	0.11
k	k	0.871
l	l	0.921
lʲ	w	0.181
ˈa	ˈæː	0.051
ˈa	ˈaː	0.061
ˈai̯	ˈɪː	0.371
ˈi	ˈiː	0.411
ˈuː	ˈu	0.101
ˈuː	ˈɑ	0.181
ˈyː	ˈu	0.111
ˈœ	ˈɑː	0.361
ˈɒ	ˈɑ	0.461
ˈɒː	ˈɑ	0.551
ˈɔ	ˈœː	0.131
ˈʏ	ˈɔu̯	0.161
ˈʏ	ˈʏː	0.161
ˈʏ	ˈɔ	0.161
d	ɡ	0.062
f	v	0.782
h	ɦ	0.982
i	ə	0.482
s	-	0.092
w	k	0.262
ʃ	ʃ	0.492
ˈa	ˈɪ	0.132
ˈaː	ˈɔː	0.102
ˈiː	ˈiː	0.12
ˈøː	ˈøː	0.262
ˈœi̯	ˈʊː	0.672
ˈɔː	ˈɛː	0.052
ˈɔː	ˈɪ	0.072
ˈɔː	ˈɒː	0.172
ˈɛ	ˈɪː	0.12
ˈɛi̯	ˈɒː	0.222
ˈɛi̯	ˈøː	0.32
d	t	0.073
d	-	0.133
j	x	0.113
j	-	0.373
lʲ	d̥	0.163
lʲ	β	0.173
t	d	0.203
t	t	0.773
v	f	0.063
ˈa	ˈɪː	0.073
ˈa	ˈoː	0.073
ˈi	ˈɛ	0.053
ˈi	ˈɛː	0.053
ˈiː	ˈɛːi̯	0.063
ˈɔ	ˈøː	0.203
ˈɔu̯	ˈɒː	0.363
ˈɔː	-	0.093
ˈɔː	ˈeː	0.13
ˈɔː	ˈɔ	0.23
ˈɛi̯	ˈɑː	0.053
ˈɛː	ˈaː	0.143
ˈʊ	ˈʏ	0.053
d	d̥	0.254
i	-	0.144
i	ɪ	0.374
j	ɣ	0.244
k	-	0.054
p	p	0.924
r	ʀ	0.984
v	v	0.124
z	ʀ	0.44
ˈaː	ˈɛ	0.14
ˈaː	ˈɛː	0.184
ˈaː	ˈʊː	0.574
ˈeː	ˈʏ	0.134
ˈeː	ˈœ	0.14
ˈiː	ˈeː	0.194
ˈiː	ˈɛː	0.204
ˈuː	ˈɔː	0.24
ˈøː	ˈoː	0.054
ˈɒ	ˈɑː	0.104
ˈɔ	ˈʊː	0.644
ˈɛ	ˈæː	0.374
ˈɛː	ˈeː	0.394
ˈʊ	ˈaː	0.094
ˈʏ	ˈœ	0.104
ˈʏ	ˈyː	0.124
d	d	0.465
dʲ	j	0.465
dʲ	d̥	0.535
j	ˈeː	0.175
k	x	0.075
lʲ	l	0.215
z	t	0.315
ʃ	s	0.385
ˈa	ˈɛ	0.085
ˈai̯	ˈɛː	0.095
ˈeː	ˈeː	0.205
ˈu	ˈʊː	0.5
ˈu	ˈɪː	0.5
ˈuː	ˈi	0.125
ˈyː	ˈʊː	0.25
ˈyː	ˈuː	0.305
ˈøː	ˈuː	0.35
ˈɔu̯	ˈoː	0.235
ˈɛi̯	ˈaː	0.105
ˈɛi̯	ˈeː	0.135
ˈʊ	ˈæ	0.075
ˈʊ	ˈɪː	0.105
m	m	0.976
n	-	0.076
p	ə_p	0.076
s	z	0.406
ə	-	0.086
ə	ə	0.906
ˈeː	ˈaː	0.096
ˈi	ˈøː	0.056
ˈi	ˈeː	0.086
ˈɒː	ˈɛː	0.056
ˈɒː	ˈɒː	0.186
ˈɔu̯	ˈɔu̯	0.06
ˈɔu̯	ˈɑː	0.06
ˈɛ	ˈøː	0.326
ˈɛi̯	ˈi	0.166
ˈɛː	ˈi	0.096
ˈʊ	ˈɔ	0.076
tʲ	t	0.747
v	v̥	0.057
v	β	0.657
ŋ	ŋ	0.967
ˈai̯	ˈœi̯	0.267
ˈai̯	ˈæ	0.267
ˈiː	ˈyː	0.067
ˈiː	j	0.07
ˈiː	ˈi	0.147
ˈyː	ˈʏː	0.127
ˈœ	ˈʊː	0.127
ˈœ	ˈɛː	0.157
ˈɒ	-	0.207
ˈɔu̯	ˈøː	0.077
b	b	0.958
w	ˈœ	0.138
z	s	0.058
z	z	0.148
ʃ	k	0.118
ˈeː	ˈæ	0.068
ˈeː	ˈɛ	0.078
ˈeː	ˈæː	0.218
ˈi	ˈɪː	0.188
ˈuː	ˈaː	0.088
ˈøː	ˈyː	0.058
ˈøː	ˈœi̯	0.068
ˈœ	ˈoː	0.168
ˈœi̯	ˈoː	0.328
ˈɒː	ˈaː	0.208
ˈɔː	ˈaː	0.18
ˈɛ	ˈʊː	0.18
ˈɛː	ˈɒː	0.368
ˈʊ	ˈʊː	0.458
ˈʏ	ˈœi̯	0.288
lʲ	ʀ	0.269
n	n	0.9
s	s	0.449
tʲ	d	0.209
w	ɣ	0.569
ˈa	-	0.389
ˈeː	ˈɒː	0.059
ˈuː	ˈʊː	0.059
ˈuː	ˈuː	0.179
ˈøː	ˈɔu̯	0.09
ˈøː	-	0.099
ˈœ	ˈaː	0.079
ˈɒ	ˈɪ	0.09
ˈɒ	ˈɛː	0.099
ˈɔu̯	-	0.189
ˈʊ	ˈʊ	0.069
