Nynorsk Norwegian	Bavarian	probability
b	b̥	1.0
d	d̥	0.758
d	t	0.127
d	d	0.062
d	-	0.053
e	-	0.4
e	a	0.343
e	ə	0.09
e	ˈau̯	0.09
f	f	1.0
h	h	0.969
j	-	0.583
j	ɡ̊	0.169
j	l	0.107
j	d̥	0.071
j	ˈe	0.071
jː	ɡ̊	1.0
k	x	0.64
k	ç	0.23
k	-	0.092
kʰ	kʰ	0.7
kʰ	-	0.3
l	l	0.617
l	j	0.305
l	-	0.079
lː	j	0.766
lː	-	0.169
lː	i	0.065
m	m	0.957
mː	m	1.0
n	n	0.856
n	-	0.144
nː	n	0.871
nː	-	0.079
p	f	0.75
p	p͡f	0.25
s	s	0.562
s	ʃ	0.418
sː	s	1.0
t	s	0.78
t	t	0.155
t	ʦ	0.065
tʰ	d̥	0.472
tʰ	ʦ	0.443
tʰ	b̥	0.057
tː	ʦ	1.0
v	ʋ	1.0
ŋ	i	1.0
ŋː	ŋ	1.0
ɑ	n	0.649
ɑ	a	0.247
ɑ	ŋ	0.066
ɕ	kʰ	0.589
ɕ	x	0.139
ɕ	d̥	0.089
ɕ	k	0.071
ɕ	ʦ	0.051
ɕː	k	0.672
ɕː	ʦ	0.328
ə	a	0.837
ə	ə	0.104
ə	-	0.059
ɛ	a	0.569
ɛ	-	0.431
ɡ	ɡ̊	0.788
ɡ	ŋ	0.071
ɡ	x	0.07
ɡ	ç	0.07
ɡː	ɡ̊	0.481
ɡː	k	0.322
ɡː	-	0.196
ɲ	ŋ	1.0
ɾ	r	0.455
ɾ	ɐ	0.255
ɾ	a	0.134
ɾ	-	0.091
ɾ	d̥_a	0.065
ʃ	ʃ	0.612
ʃ	s	0.388
ʉ	-	1.0
ʋ	ʋ	0.6
ʋ	-	0.195
ʋ	f	0.145
ʰkː	ŋ	0.847
ʰkː	k	0.153
ʰpː	f	1.0
ʰtː	x	0.506
ʰtː	s	0.321
ʰtː	t	0.173
ˈeː	ˈi	0.236
ˈeː	ˈeː	0.193
ˈeː	ˈɛ	0.186
ˈeː	ˈai̯	0.121
ˈeː	ˈiɐ̯	0.121
ˈeː	ˈaː	0.075
ˈeː	ˈo	0.067
ˈiː	ˈai̯	0.548
ˈiː	ˈi	0.294
ˈiː	ˈeɐ̯	0.141
ˈoː	ˈɔ	0.333
ˈoː	ˈo	0.158
ˈoː	ˈoː	0.158
ˈoː	ˈɒː	0.127
ˈoː	ˈoɐ̯	0.115
ˈuː	ˈuɐ̯	0.431
ˈuː	-	0.244
ˈuː	ˈoɐ̯	0.141
ˈuː	ˈeɐ̯	0.135
ˈyː	ˈai̯	0.605
ˈyː	ˈiɐ̯	0.322
ˈyː	ˈiː	0.073
ˈæ	ˈɛ	1.0
ˈæɪ̯	ˈoɐ̯	0.723
ˈæɪ̯	ˈo	0.147
ˈæɪ̯	ˈai̯	0.13
ˈæʉ̯	ˈou̯	0.385
ˈæʉ̯	ˈaː	0.322
ˈæʉ̯	ˈoɐ̯	0.172
ˈæʉ̯	ˈa	0.061
ˈæʉ̯	ˈau̯	0.061
ˈæː	ˈe	0.432
ˈæː	ˈɛ	0.432
ˈæː	ˈeː	0.136
ˈøː	ˈe	0.272
ˈøː	ˈuɐ̯	0.2
ˈøː	ˈɛː	0.195
ˈøː	ˈiɐ̯	0.156
ˈøː	ˈeɐ̯	0.114
ˈøː	ˈeː	0.063
ˈœ	ˈɛ	0.431
ˈœ	ˈu	0.348
ˈœ	ˈe	0.111
ˈœ	ˈuɐ̯	0.11
ˈœʏ̯	ˈe	0.489
ˈœʏ̯	ˈoɐ̯	0.32
ˈœʏ̯	ˈaː	0.191
ˈɑ	ˈa	0.304
ˈɑ	ˈɔ	0.133
ˈɑ	ˈo	0.129
ˈɑ	ˈe	0.121
ˈɑ	ˈɒ	0.094
ˈɑ	ˈoɐ̯	0.084
ˈɑ	ˈaː	0.078
ˈɑ	ˈɒː	0.058
ˈɑː	ˈoː	0.474
ˈɑː	ˈa	0.214
ˈɑː	ˈɒ	0.173
ˈɑː	ˈɒː	0.08
ˈɑː	ˈo	0.058
ˈɔ	ˈu	0.411
ˈɔ	ˈoː	0.153
ˈɔ	ˈi	0.122
ˈɔ	ˈɔ	0.105
ˈɔ	ˈaː	0.104
ˈɔ	ˈɒ	0.06
ˈɛ	ˈɛ	0.195
ˈɛ	ˈi	0.173
ˈɛ	ˈo	0.166
ˈɛ	ˈe	0.145
ˈɛ	ˈɒ	0.128
ˈɛ	ˈai̯	0.123
ˈɪ	ˈi	0.804
ˈɪ	ˈiː	0.124
ˈɪ	r	0.072
ˈʉ	ˈu	0.609
ˈʉ	ˈau̯	0.165
ˈʉ	ʋ_ˈo	0.102
ˈʉː	ˈau̯	0.454
ˈʉː	ˈiɐ̯	0.256
ˈʉː	ˈe	0.08
ˈʉː	ˈu	0.069
ˈʉː	ˈɔ	0.061
ˈʊ	ˈoɐ̯	0.455
ˈʊ	ˈi	0.208
ˈʊ	ˈu	0.208
ˈʊ	ˈo	0.128
ˈʏ	ˈi	0.388
ˈʏ	ˈu	0.314
ˈʏ	ˈʏ	0.135
ˈʏ	ˈɛ	0.06
ˈʏ	ˈai̯	0.059
