Nynorsk Norwegian	Ripuarian	probability
b	b	0.966
d	d	0.674
d	t	0.265
e	ɐ	0.406
e	-	0.394
e	ˈaʊ̯	0.107
e	ə	0.094
f	f	1.0
h	h	0.967
j	-	0.595
j	j	0.105
j	l	0.097
j	ɣ	0.097
j	ˈɛ	0.064
k	ɕ	0.833
k	x	0.101
k	k	0.066
kʰ	k	0.95
l	l	0.867
l	ə_l	0.122
lː	l	0.922
lː	ɐ	0.078
m	m	0.884
m	n	0.098
mː	m	1.0
n	n	0.917
nː	n	0.6
nː	ŋ	0.29
nː	l	0.057
nː	-	0.053
p	f	0.785
p	p	0.215
pʰ	f	1.0
s	z	0.34
s	ʃ	0.288
s	s	0.253
s	-	0.09
sː	s	1.0
t	s	0.761
t	t	0.168
tʰ	d	0.505
tʰ	ʦ	0.432
tʰ	b	0.063
v	ʋ	1.0
ç	k	0.6
ç	d	0.274
ç	ɕ	0.07
ç	t	0.057
çː	ʦ	1.0
ŋ	ɪ	1.0
ŋː	ŋ	1.0
ɑ	ə	0.9
ɑ	-	0.1
ə	-	0.5
ə	n	0.5
ɛ	ɐ	0.747
ɛ	-	0.253
ɡ	j	0.342
ɡ	ɕ	0.303
ɡ	-	0.211
ɡ	x	0.095
ɡː	k	0.775
ɡː	-	0.225
ɲ	ŋ	1.0
ɾ	ɐ	0.404
ɾ	ʀ	0.358
ɾ	-	0.097
ɾ	d_ɐ	0.075
ɾ	t	0.066
ʃ	ʃ	0.573
ʃ	-	0.31
ʃ	z	0.117
ʉ	-	1.0
ʋ	ʋ	0.393
ʋ	f	0.227
ʋ	v	0.226
ʋ	-	0.154
ʰkː	ŋ_k	0.85
ʰkː	k	0.15
ʰtː	x	0.504
ʰtː	ɕ	0.496
ˈeː	ˈɛ	0.301
ˈeː	ˈɪ	0.183
ˈeː	ˈeː	0.146
ˈeː	ˈɛː	0.137
ˈeː	ˈaː	0.134
ˈeː	ˈoː	0.051
ˈiː	ˈiː	0.584
ˈiː	ˈe	0.178
ˈiː	ˈeː	0.067
ˈiː	ˈʏ	0.067
ˈiː	ˈɪ	0.062
ˈoː	ˈoː	0.616
ˈoː	ˈɔ	0.111
ˈoː	ˈeː	0.091
ˈoː	ˈiː	0.084
ˈoː	ˈøː	0.064
ˈuː	ˈoː	0.68
ˈuː	ˈɛː	0.168
ˈuː	ˈeː	0.12
ˈyː	ˈiː	0.321
ˈyː	ˈeː	0.258
ˈyː	ˈyː	0.223
ˈyː	ˈɔʏ̯	0.157
ˈæ	ˈɛː	1.0
ˈæɪ̯	ˈeː	0.698
ˈæɪ̯	ˈaː	0.208
ˈæɪ̯	ˈɛ	0.094
ˈæʉ̯	ˈuː	0.413
ˈæʉ̯	ˈoː	0.413
ˈæʉ̯	ˈaʊ̯	0.174
ˈæːɪ̯	ˈeː	1.0
ˈøː	ˈøː	0.649
ˈøː	ˈeː	0.122
ˈøː	ˈiː	0.122
ˈøː	-	0.106
ˈœ	ˈɛː	0.571
ˈœ	ˈɪ	0.429
ˈœʏ̯	ˈyː	0.425
ˈœʏ̯	ˈøː	0.421
ˈœʏ̯	ˈuː	0.154
ˈɑ	ˈa	0.688
ˈɑ	ˈɛ	0.121
ˈɑ	ˈɛː	0.114
ˈɑ	ˈaː	0.078
ˈɑː	ˈaː	0.621
ˈɑː	ˈa	0.379
ˈɔ	ˈʊ	0.416
ˈɔ	ˈɔ	0.306
ˈɔ	ˈaː	0.143
ˈɔ	ʋ	0.135
ˈɛ	ˈœ	0.219
ˈɛ	ˈɛː	0.208
ˈɛ	ˈɪ	0.166
ˈɛ	ˈɛ	0.15
ˈɛ	ˈeɪ̯	0.071
ˈɛ	ˈa	0.067
ˈɛ	ˈe	0.062
ˈɛː	ˈɛː	0.808
ˈɛː	ˈɛ	0.192
ˈɪ	ˈɪ	0.409
ˈɪ	ˈe	0.403
ˈɪ	ˈa	0.097
ˈɪ	ʀ	0.091
ˈʉ	ˈɔ	0.358
ˈʉ	ˈœ	0.265
ˈʉ	ˈuː	0.159
ˈʉ	ˈo	0.088
ˈʉ	ˈu	0.088
ˈʉː	ˈuː	0.293
ˈʉː	ˈeː	0.279
ˈʉː	ˈoː	0.142
ˈʉː	ˈaʊ̯	0.137
ˈʉː	ˈɪ	0.051
ˈʉː	ˈɛː	0.05
ˈʊ	ˈo	0.429
ˈʊ	ˈɔ	0.259
ˈʊ	ˈɛ	0.158
ˈʊ	ˈʏ	0.093
ˈʏ	ˈœ	0.255
ˈʏ	ˈɪ	0.194
ˈʏ	ˈiː	0.175
ˈʏ	ˈɛ	0.166
ˈʏ	ˈʏ	0.082
ˈʏ	ˈo	0.075
ˈʏ	ˈɔ	0.054
