Nynorsk Norwegian	West Flemish	probability
b	b	1.0
f	v	1.0
jː	ʋ	1.0
mː	m	1.0
p	p	1.0
pʰ	p	1.0
t	t	1.0
tː	t	1.0
v	ʋ	1.0
ɛ	-	1.0
ɪ	n	1.0
ɲ	ŋ	1.0
ʉ	-	1.0
ʰkː	k	1.0
ʰpː	p	1.0
ʰtː	t	1.0
ˈyː	ˈiə̯	1.0
ˈæ	ˈæ	1.0
ˈæʉ̯	ˈoː	1.0
ˈœʏ̯	ˈoː	1.0
lː	ɾ	0.251
lː	w	0.311
ç	d	0.11
ɾ	ɾ	0.911
ˈeː	ˈoː	0.11
ˈoː	ˈɒː	0.641
ˈuː	ˈu	0.061
ˈɔ	ˈɑ	0.171
ˈɛ	ˈɛ	0.091
ˈʉ	ˈu	0.601
ˈʊ	ˈɑ	0.151
ˈʏ	-	0.071
ˈʏ	ˈɔ	0.071
ˈʏ	ˈu	0.101
d	d̥	0.162
e	-	0.072
e	ə	0.842
k	k	0.882
lː	l	0.082
n	n	0.902
tʰ	b	0.082
ʋ	ʋ	0.602
ˈiː	ˈi	0.702
ˈœ	ˈæ	0.902
ˈɔ	ˈyː	0.122
ˈɛ	ˈɑ	0.102
ˈɪ	-	0.082
ˈʉ	ˈɔ	0.132
m	v	0.113
s	z	0.463
tʰ	d	0.543
ɡ	ɦ̥	0.333
ɾ	-	0.083
ʋ	v̥	0.183
ˈøː	ˈuə̯	0.663
ˈɛ	ˈæ	0.403
ˈɪ	ˈɪ	0.783
ˈʉ	ˈyː	0.073
j	l	0.094
j	ɦ	0.394
kʰ	-	0.114
l	l	0.664
s	s	0.484
tʰ	t	0.374
ç	k	0.794
çː	k	0.334
ŋː	ŋ	0.984
ɑ	ə	0.154
ɡ	ɦ	0.594
ʂ	ʃ	0.464
ˈoː	ˈeː	0.064
ˈuː	ˈoː	0.154
ˈuː	ˈɛː	0.154
ˈɑ	ˈɑ	0.694
ˈɑː	ˈɑ	0.254
ˈʉː	ˈɔ	0.074
ˈʏ	ˈæ	0.174
e	iə̯	0.085
nː	-	0.155
nː	n	0.845
ŋ	-	0.385
ŋ	ɪ	0.615
ɡː	k	0.205
ˈeː	ˈeː	0.5
ˈiː	ˈɪ	0.055
ˈuː	ˈuə̯	0.505
ˈæː	ˈɒː	0.5
ˈæː	ˈeː	0.5
ˈɔ	ˈoː	0.115
ˈɪ	ˈɛ	0.135
ˈʉː	ˈoː	0.055
ˈʏ	ˈyː	0.055
ˈʏ	ˈɪ	0.35
d	d	0.76
j	-	0.466
k	h	0.06
kʰ	k	0.886
ç	t	0.096
çː	t	0.666
ɑ	n	0.846
ə	ˈiə̯	0.076
ə	ə	0.696
ʂ	z	0.456
ʋ	v	0.196
ˈeː	ˈiə̯	0.166
ˈæɪ̯	ˈeː	0.286
ˈɑ	-	0.066
ˈɔ	ˈɔ	0.376
ˈʉː	ˈiə̯	0.396
l	ə_l	0.077
l	w	0.227
lː	d̥	0.357
m	m	0.887
ɡː	ɦ	0.607
ˈeː	ˈæ	0.067
ˈeː	ˈɑ	0.07
ˈeː	ˈi	0.07
ˈæɪ̯	j	0.117
ˈøː	ˈɛː	0.337
ˈɑː	ˈɒː	0.687
ˈɛ	ˈœ	0.107
ˈʉː	ˈyː	0.337
ˈʏ	ˈœ	0.177
d	-	0.078
h	-	0.888
n	-	0.068
ə	ɾ	0.228
ɡː	-	0.188
ʂ	s	0.08
ˈoː	ˈiə̯	0.058
ˈoː	ˈoː	0.188
ˈœ	ˈøː	0.098
ˈɔ	ˈɪ	0.068
ˈɔ	ˈøː	0.148
ˈʉː	ˈeː	0.098
h	ɦ	0.079
k	-	0.059
ˈiː	ˈɛ	0.069
ˈiː	ˈiə̯	0.079
ˈuː	ˈœ	0.069
ˈæɪ̯	ˈɛ	0.149
ˈæɪ̯	ˈɛː	0.449
ˈɑ	ˈɒː	0.139
ˈɑː	ˈøː	0.059
ˈɛ	ˈɪ	0.109
ˈɛ	ˈiə̯	0.119
ˈʉ	-	0.109
ˈʊ	ˈoː	0.849
