Phone1	PhonEnv	Phone2	Surprisal	OOV_Smoothed
b	#|S|<	b	0.05347111430167369	5.245492398875728
b	#|S|<_F	b	0.0	5.245492398875728
b	#|S|<_R	b	0.0	5.245492398875728
b̥	>|S|#	v̥	2.353703754656073	5.245492398875728
b̥	>|S|#	ə_v̥	3.4467953712196	5.245492398875728
b̥	F_>|S|#	v̥	2.105502134755314	5.245492398875728
b̥	F_>|S|#	ə_v̥	5.060779538078054	5.245492398875728
d	#|S|<	d	0.05216594763028147	5.245492398875728
d	#|S|<_F	d	0.004158650728132062	5.245492398875728
d	#|S|<_R	d	0.21448460775261374	5.245492398875728
d	>|S|<	d	1.1852850087701414	5.245492398875728
d	>|S|<	t	3.1404101407250664	5.245492398875728
d	F_>|S|<	d	1.0532571305032776	5.245492398875728
d̥	>|S|#	d̥	0.2568270867517951	5.245492398875728
d̥	>|S|#	t	3.4151894596945223	5.245492398875728
d̥	F_>|S|#	d̥	1.3859509897653295	5.245492398875728
d̥	F_>|S|#	t	2.7554094175722774	5.245492398875728
f	#|S|<	f	0.014328202349966993	5.245492398875728
f	#|S|<_F	f	0.005688429080208737	5.245492398875728
f	#|S|<_R	f	0.005688429080208737	5.245492398875728
f	>|S|#	f	0.8279541275782926	5.245492398875728
f	>|S|#	ə_f	3.4311815122262357	5.245492398875728
f	>|S|<	f	1.3073713991758475	5.245492398875728
f	>|S|<	ə_f	3.702841609136701	5.245492398875728
f	F_>|S|#	f	1.0521518311058076	5.245492398875728
h	#|S|<	h	0.0	5.245492398875728
h	#|S|<_F	h	0.0	5.245492398875728
j	#|S|<	j	3.1845392010820293	5.245492398875728
j	#|S|<	-	4.747295439325437	5.245492398875728
j	<|S|<	-	4.547295439325437	5.245492398875728
j	<|S|<	j	4.996393919100582	5.245492398875728
j	F_>|S|<	-	2.1128073099603366	5.245492398875728
k	>|S|#	k	0.0	5.245492398875728
k	>|S|<	k	0.5310298632114018	5.245492398875728
k	F_>|S|#	k	0.0	5.245492398875728
k	F_>|S|<	k	1.0490984797751455	5.245492398875728
kʰ	#|S|<	kʰ	0.0	5.245492398875728
kʰ	#|S|<_F	kʰ	0.0	5.245492398875728
l	#|S|<	l	0.0	5.245492398875728
l	#|S|<_F	l	0.0	5.245492398875728
l	<|S|#	l	0.0	5.245492398875728
l	<|S|<	l	0.0	5.245492398875728
l	<|S|<_F	l	1.6017132519074588e-16	5.245492398875728
l	>|S|#	l	0.0	5.245492398875728
l	>|S|<_F	l	1.0490984797751457	5.245492398875728
l	>|S|>	l	0.11101359021156361	5.245492398875728
l	F_>|S|#	l	0.0	5.245492398875728
l	F_>|S|<	l	1.0490984797751455	5.245492398875728
l	F_>|S|<_F	l	1.0490984797751455	5.245492398875728
l	F_>|S|>	l	0.0	5.245492398875728
l_d̥	>|S|#	l	2.098196959550291	5.245492398875728
l_d̥	F_>|S|#	l	2.098196959550291	5.245492398875728
m	#|S|<	m	0.0	5.245492398875728
m	#|S|<_F	m	0.0	5.245492398875728
m	>|S|#	m	0.0	5.245492398875728
m	>|S|<	m	0.0	5.245492398875728
m	F_>|S|#	m	0.0	5.245492398875728
m	F_>|S|<	m	2.098196959550291	5.245492398875728
m_ə	>|S|#	m	3.1472954393254367	5.245492398875728
m_ə	F_>|S|#	m	3.1472954393254367	5.245492398875728
n	#|S|<	n	0.010069013900641856	5.245492398875728
n	#|S|<_F	n	0.004013277018946892	5.245492398875728
n	<|S|<_F	n	1.0531117567940924	5.245492398875728
