Pennsylvania German	Swabian	probability
#>	#>	0.954
<#	<#	1.0
b	b	1.0
d	d	1.0
f	f	1.0
h	h	1.0
j	ɡ	0.558
j	j	0.437
k	ɡ	0.919
k	k	0.078
kʰ	kʰ	0.922
kʰ	-	0.06
l	l	1.0
m	m	0.965
n	n	0.837
n	-	0.099
p	b	0.564
p	b̥͡f	0.128
p	b̥	0.092
p	p͡f	0.092
s	s	0.945
s	ʦ	0.054
t	d	0.88
t	t	0.051
t	ʕ_d	0.051
v	b	0.731
v	ʋ	0.153
v	n	0.103
x	x	1.0
ç	ç	0.52
ç	ɡ	0.36
ç	x	0.06
ç	t	0.057
ç_#>	#>	1.0
ŋ	ŋ	1.0
ɑ	ʌ	0.719
ɑ	-	0.238
ə	a	0.824
ə	-	0.154
ɡ	ɡ	1.0
ɣ	ɡ	1.0
ɪ	-	0.579
ɪ	ɪ	0.283
ɪ	i	0.114
ɾ	ʁ	0.95
ʃ	ʃ	1.0
ʋ	ʋ	1.0
ʦ	ʦ	0.909
ʦ	ʕ_ʦ	0.085
ˈa	ˈa	0.808
ˈa_n	ˈaː	1.0
ˈaɪ̯	ˈəi̯	0.697
ˈaɪ̯	ˈae̯	0.302
ˈaʊ̯	ˈao̯	1.0
ˈaː	ˈa	0.234
ˈaː	ˈa_ʕ	0.229
ˈaː	ˈo	0.151
ˈaː	ˈaː	0.089
ˈaː	ˈɔ	0.085
ˈeː	ˈɔe̯	0.466
ˈeː	ˈeː	0.304
ˈeː	ˈeə̯	0.114
ˈeː	ˈae̯	0.057
ˈeː	ˈɛː	0.054
ˈiː	ˈiə̯	0.425
ˈiː	ˈiː	0.278
ˈiː	ˈi	0.19
ˈiː	ˈeə̯	0.085
ˈoː	ˈoː	0.509
ˈoː	ˈɔː	0.234
ˈoː	ˈao̯	0.106
ˈoː	ˈo	0.106
ˈuː	ˈuə̯	0.734
ˈuː	ˈuː	0.246
ˈɔ	ˈo	0.504
ˈɔ	ˈoː	0.215
ˈɔ	ˈɔ	0.203
ˈɔɪ̯	ˈɔe̯	0.491
ˈɔː	ˈaː	0.391
ˈɔː	ˈao̯	0.247
ˈɔː	ˈa	0.115
ˈɔː	ˈɔː	0.091
ˈɔː	ˈae̯	0.063
ˈɔː	ˈoː	0.063
ˈɔː_ɑ	ˈɔː	1.0
ˈɛ	ˈɛ	0.526
ˈɛ	ˈɛː	0.222
ˈɛ	ˈe	0.106
ˈɛ	ˈi	0.066
ˈɛ	ˈeː	0.064
ˈɛː	ˈɛː	0.506
ˈɛː	ˈe	0.174
ˈɛː	ˈɔ	0.174
ˈɛː_ɑ	ˈɛ	1.0
ˈɛː_ɾ	ˈʌ	0.491
ˈɪ	ˈi	0.419
ˈɪ	ˈɪ	0.205
ˈɪ	ˈe	0.149
ˈɪ	ˈu	0.099
ˈʊ	ˈo	0.492
ˈʊ	ˈu	0.239
ˈʊ	ˈoː	0.107
ˈʊ	ˈɔə̯	0.085
