Phone1	PhonEnv	Phone2	Surprisal	OOV_Smoothed
<#_j	#|S|<	<#	3.1828648180037207	5.304774696672868
<#_j	#|S|<_F	<#	3.1828648180037207	5.304774696672868
<#_w	#|S|<	<#	0.0	5.304774696672868
<#_w	#|S|>_R	<#	2.1219098786691473	5.304774696672868
<#_x	#|S|<	<#	0.0	5.304774696672868
<#_x	#|S|<_N	<#	1.0609549393345736	5.304774696672868
<#_x	#|S|<_R	<#	0.0	5.304774696672868
b	#|S|<	b̥	0.013603684685730233	5.304774696672868
b	#|S|<_F	b̥	0.0	5.304774696672868
b	#|S|<_R	b̥	0.0	5.304774696672868
b	>|S|<	b̥	0.0	5.304774696672868
b	>|S|<_F	b̥	4.2438197573382945	5.304774696672868
d	#|S|<	d̥	0.2812320961361755	5.304774696672868
d	#|S|<	ʤ̊	3.6697629245676877	5.304774696672868
d	#|S|<_F	d̥	1.7031411070305804	5.304774696672868
d	#|S|<_F	ʤ̊	2.394151811948538	5.304774696672868
d	#|S|<_R	d̥	0.254118320144516	5.304774696672868
d	>|S|<	d̥	0.11845264107668597	5.304774696672868
d	>|S|<_F	d̥	2.520736189858817	5.304774696672868
d	>|S|<_R	d̥	2.12480979260817	5.304774696672868
e	<|S|>	a	0.49849979568249014	5.304774696672868
e	<|S|>	ɪ	4.443819757338295	5.304774696672868
e	<|S|>_R	a	0.8676341214632483	5.304774696672868
e	<|S|>_R	ɪ	4.364441726824578	5.304774696672868
i	<|S|#	ʊ	1.641825253225802	5.304774696672868
i	<|S|#	ɪ	1.7751105139874184	5.304774696672868
i	<|S|#	-	3.8434297270629685	5.304774696672868
i	<|S|>	-	0.7708035649944933	5.304774696672868
i	<|S|>	ʊ	1.70229449072293	5.304774696672868
i	<|S|>	ɪ	3.5564090430341087	5.304774696672868
i	<|S|>_F	-	0.11285276081139879	5.304774696672868
i	<|S|>_F	ɪ	4.3342756503502065	5.304774696672868
i	<|S|>_N	-	1.0858592204988384	5.304774696672868
i	<|S|>_R	ɪ	2.1599105487938535	5.304774696672868
i	<|S|>_R	-	5.211103343831292	5.304774696672868
j	<|S|<	-	0.3381615786080198	5.304774696672868
j	=|S|<	-	2.1219098786691473	5.304774696672868
j	F_>|S|<	-	0.37289324993836787	5.304774696672868
k	#|S|<	kʰ	0.6541360543958388	5.304774696672868
k	#|S|<	ʧʰ	1.7827448937591477	5.304774696672868
k	#|S|<	k	4.27048044736121	5.304774696672868
k	#|S|<_F	ʧʰ	0.06010451729170437	5.304774696672868
k	#|S|<_N	kʰ	1.100963272179171	5.304774696672868
k	>|S|<	k	0.6913337981613068	5.304774696672868
k	>|S|<	-	3.0079786291399766	5.304774696672868
k	>|S|<	ʧʰ	3.4268795900092326	5.304774696672868
k	>|S|<	kʰ	4.776979463526614	5.304774696672868
k	>|S|<_F	k	0.9635622725426188	5.304774696672868
k	>|S|<_F	-	1.938753815305073	5.304774696672868
k	F_>|S|<	k	0.9094854681823357	5.304774696672868
k	F_>|S|<	ʧʰ	2.0632089841028596	5.304774696672868
k	F_>|S|<	-	2.734821702415397	5.304774696672868
k	F_>|S|<_F	k	1.0750182586278936	5.304774696672868
k_#>	F_>|S|#	#>	2.121909878669147	5.304774696672868
k_s	>|S|#	k	0.0	5.304774696672868
kʷ	#|S|<_F	kʰ	2.1219098786691473	5.304774696672868
kʷ	>|S|<	kʰ	4.38286481800372	5.304774696672868
l	#|S|<	l	0.17068531056465786	5.304774696672868
l	#|S|<_F	l	0.3107971160084699	5.304774696672868
l	<|S|<	l	0.08011383782543169	5.304774696672868
l	<|S|<_F	l	2.4252699801132787	5.304774696672868
l	>|S|<	l	0.5338630527784419	5.304774696672868
l	>|S|<	l̥	3.265732207588272	5.304774696672868
l	>|S|<	t_l̥	3.9645248511763587	5.304774696672868
l	>|S|<_F	t_l̥	3.2105068212346417	5.304774696672868
l	>|S|<_F	l	4.862961225556921	5.304774696672868
l	>|S|>	l	0.6210209601163855	5.304774696672868
l	>|S|>	l̥	2.1439442155607598	5.304774696672868
l	F_>|S|<	l	1.8642879139852615	5.304774696672868
l	F_>|S|<	l̥	2.139289282070784	5.304774696672868
l	F_>|S|<	t_l̥	3.724606320815427	5.304774696672868
l	F_>|S|>	l	0.4955568912291109	5.304774696672868
l	F_>|S|>	l̥	2.870484628058542	5.304774696672868
l_i	>|S|>	l	1.0609549393345736	5.304774696672868
l_ɔː	<|S|#	l	1.0609549393345736	5.304774696672868
l_ɔː	>|S|#	l	1.0609549393345736	5.304774696672868
l_ɔː	F_>|S|#	l	1.0609549393345734	5.304774696672868
l_θ	>|S|<	l̥	4.2438197573382945	5.304774696672868
l_θ	>|S|<_F	l̥	4.2438197573382945	5.304774696672868
l_θ	F_>|S|<	l̥	4.2438197573382945	5.304774696672868
l_θ	F_>|S|<_F	l̥	4.2438197573382945	5.304774696672868
lː	>|S|<	t_l̥	0.0	5.304774696672868
m	#|S|<	m	0.01519077975188859	5.304774696672868
m	#|S|<_F	m	0.006042565791586361	5.304774696672868
m	>|S|<	m	0.3258709705471501	5.304774696672868
m	>|S|<	n	4.128596346173291	5.304774696672868
m	>|S|<	mː	4.700638961610619	5.304774696672868
m	>|S|<	-	4.942463743757011	5.304774696672868
m	>|S|<_F	m	1.06699750512616	5.304774696672868
m	>|S|>	m	0.5558553191877623	5.304774696672868
m	>|S|>	n	3.124223584762125	5.304774696672868
m	>|S|>	-	4.670386893879713	5.304774696672868
m	F_>|S|<	m	2.125432437104807	5.304774696672868
m	F_>|S|>	m	1.2534971715320284	5.304774696672868
m	F_>|S|>	-	4.456378782685474	5.304774696672868
n	#|S|<	n	0.06486576201593132	5.304774696672868
n	#|S|<	-	5.288980476199098	5.304774696672868
n	#|S|<_F	n	0.025593660998001765	5.304774696672868
n	<|S|<	n̥	1.0323156975887366	5.304774696672868
n	<|S|<	n	1.2108943888732937	5.304774696672868
n	<|S|<	-	4.745622933753383	5.304774696672868
n	<|S|<_F	n̥	1.1110167902771353	5.304774696672868
n	<|S|<_F	n	5.0321979461114665	5.304774696672868
n	>|S|#	-	0.654933130059384	5.304774696672868
n	>|S|#	n	1.5492827189776344	5.304774696672868
n	>|S|<	n	0.7772443992310831	5.304774696672868
n	>|S|<	n̥	2.356132330711279	5.304774696672868
n	>|S|<	-	2.4839432341318437	5.304774696672868
n	>|S|<_F	n	0.5533040854528871	5.304774696672868
n	>|S|<_F	-	2.2409970329810607	5.304774696672868
n	>|S|>	n	0.5875225635335052	5.304774696672868
n	>|S|>	-	2.2210184671582502	5.304774696672868
n	>|S|>	ŋ	4.270103104676203	5.304774696672868
n	F_>|S|<	n	0.24765077624377507	5.304774696672868
n	F_>|S|>	n	1.0874282790647367	5.304774696672868
n	F_>|S|>	-	1.3548546939716524	5.304774696672868
n	F_>|S|>	ŋ	3.924706864647221	5.304774696672868
n_θ	>|S|<	nː	0.0	5.304774696672868
n_θ	>|S|<_F	nː	0.0	5.304774696672868
n_θ	>|S|=	nː	0.0	5.304774696672868
n_θ	F_>|S|<	nː	1.0609549393345736	5.304774696672868
nː	>|S|<	nː	1.0609549393345736	5.304774696672868
nː	>|S|<_F	nː	1.0609549393345736	5.304774696672868
nː_i	>|S|>	nː	2.1219098786691473	5.304774696672868
nː_i	>|S|>_F	nː	2.1219098786691473	5.304774696672868
p	#|S|<	p	4.297458728658948	5.304774696672868
