Proto-Germanic	Swiss German	probability
a	-	1.0
b	b̥	1.0
d	t	0.569
d	d̥	0.262
d	ɡ̊	0.078
d	-	0.052
e	ə	0.911
e	æ	0.089
i	-	0.89
i	ə	0.058
i	i	0.052
iː	ə	0.517
iː	-	0.483
j	-	0.918
jː	ˈei̯	1.0
k	χ	0.594
k	-	0.272
k	k	0.091
kʷ	k	0.586
kʷ	χ	0.322
kʷ	f	0.092
kː	kː	0.894
kː	χ	0.106
l	l	0.929
lː	l	1.0
m	m	0.891
m	-	0.109
mː	mː	1.0
n	n	0.666
n	-	0.314
nː	nː	0.542
nː	n	0.309
nː	-	0.15
p	f	0.583
p	fː	0.232
p	p͡f	0.184
pː	f	0.659
pː	p͡f	0.341
r	r	0.929
r	-	0.071
s	s	0.53
s	ʃ	0.398
s	-	0.064
sː	sː	1.0
t	ʦ	0.345
t	sː	0.273
t	t	0.267
t	s	0.052
u	-	0.779
u	i	0.111
u	ə	0.111
w	ʋ	0.712
w	-	0.23
x	h	0.62
x	χ	0.29
x	-	0.079
xʷ	ʋ	0.76
xʷ	-	0.24
z	-	0.912
z	r	0.088
ð	t	0.686
ð	tː	0.227
ð	-	0.056
ŋ	ŋ	0.766
ŋ	-	0.234
ɑ	-	0.944
ɑi̯	ˈe	1.0
ɑː	ə	1.0
ɑ̃	-	0.958
ɔː	ə	0.838
ɔː	-	0.162
ɔːu̯	-	1.0
ɔːː	ə	0.364
ɔːː	-	0.24
ɔːː	r	0.24
ɔːː	rː	0.156
ɔ̃ː	ə	0.811
ɔ̃ː	ˈau̯	0.189
ɛː	ə	1.0
ɡ	-	0.522
ɡ	ɡ̊	0.478
ɡʷ	-	1.0
ɣ	ɡ̊	0.82
ɣ	ɡ̊ː	0.15
ɸ	f	1.0
ˈe	ˈæ	0.416
ˈe	ˈi	0.148
ˈe	ˈæː	0.121
ˈe	ˈe	0.073
ˈeu̯	ˈyː	0.418
ˈeu̯	ˈiə̯	0.316
ˈeu̯	ˈiː	0.098
ˈeu̯	ˈu	0.095
ˈeu̯	ˈy	0.073
ˈeː	ˈiə̯	1.0
ˈi	ˈi	0.648
ˈi	ˈy	0.149
ˈi	-	0.053
ˈiu̯	ˈyː	0.543
ˈiu̯	ˈøi̯	0.457
ˈiː	ˈiː	0.909
ˈiː	ˈyː	0.091
ˈĩː	ˈiə̯	1.0
ˈu	ˈu	0.357
ˈu	ˈo	0.263
ˈu	ˈy	0.155
ˈu	ˈoː	0.091
ˈuː	ˈuː	0.679
ˈuː	ˈi	0.141
ˈuː	ˈu	0.061
ˈuː	ˈuə̯	0.06
ˈuː	ˈyː	0.059
ˈɑ	ˈɒ	0.581
ˈɑ	ˈɒː	0.188
ˈɑ	ˈæ	0.141
ˈɑi̯	ˈɛi̯	0.28
ˈɑi̯	ˈeː	0.265
ˈɑi̯	ˈei̯	0.248
ˈɑi̯	ˈæi̯	0.114
ˈɑi̯	ˈe	0.066
ˈɑu̯	ˈoː	0.398
ˈɑu̯	ˈau̯	0.152
ˈɑu̯	ˈou̯	0.151
ˈɑu̯	ˈøː	0.149
ˈɑu̯	ˈøi̯	0.111
ˈɑː	ˈɒː	1.0
ˈɔ	ˈyː	1.0
ˈɔː	ˈuə̯	0.487
ˈɔː	ˈyə̯	0.376
ˈɔː	ˈæ	0.08
ˈɔː	ˈyː	0.057
ˈɛː	ˈɒː	0.476
ˈɛː	ˈoː	0.29
ˈɛː	ˈo	0.235
β	b̥	0.78
β	-	0.184
θ	d̥	0.838
θ	t	0.144
