Saterland Frisian	Bokmål Norwegian	probability
a	ˈyː	0.55
a	-	0.45
b	b	0.926
b	-	0.074
d	d	0.47
d	-	0.392
d	tʰ	0.078
d	ɳ	0.06
f	f	0.826
f	ʋ	0.141
h	h	0.798
h	j	0.202
i	ə	1.0
j	-	0.41
j	ˈyː	0.205
j	ɡ	0.152
j	ˈiː	0.091
j	j	0.077
j	ˈʏ	0.066
k	k	0.526
k	-	0.268
k	kʰ	0.178
l	l	0.694
l	lː	0.266
m	m	0.714
m	mː	0.225
n	n	0.612
n	nː	0.305
n	-	0.07
p	p	0.65
p	pː	0.141
p	-	0.135
p	pʰ	0.074
r	ɾ	0.904
r	ɳ	0.055
s	s	0.808
s	ʃ	0.057
t	t	0.475
t	tʰ	0.227
t	tː	0.11
t	-	0.052
v	ʋ	0.718
v	-	0.282
w	ʋ	0.502
w	m	0.498
x	ɡː	0.315
x	-	0.295
x	k	0.172
x	ɡ	0.133
x	ŋ	0.051
z	s	0.693
z	ɾ	0.182
z	ɡː	0.125
ŋ	ŋː	0.846
ŋ	-	0.154
ə	ə	0.637
ə	-	0.336
ɡ	ɡ	1.0
ɣ	ɡ	0.393
ɣ	-	0.388
ɣ	j	0.181
ɪ	-	0.347
ɪ	ŋ	0.328
ɪ	i	0.167
ɪ	ə	0.158
ˈa	ˈɛ	0.404
ˈa	ˈøː	0.281
ˈa	ˈɔ	0.246
ˈa	ˈɑ	0.068
ˈaː	ˈɛ	0.633
ˈaː	ˈeː	0.215
ˈaː	ˈɑ	0.152
ˈaːi̯	ˈæɪ̯	0.537
ˈaːi̯	ˈɑː	0.245
ˈaːi̯	ˈɛ	0.218
ˈaːu̯	ˈiː	0.909
ˈaːu̯	ˈuː	0.091
ˈeː	ˈæɪ̯	0.356
ˈeː	ˈøː	0.216
ˈeː	ˈʉː	0.154
ˈeː	ˈɛ	0.107
ˈeː	ˈeː	0.074
ˈeːu̯	ˈiː	1.0
ˈi	ˈiː	0.648
ˈi	ˈeː	0.175
ˈi	ˈæː	0.091
ˈi	ˈæɪ̯	0.059
ˈiː	ˈɪ	0.291
ˈiː	ˈoː	0.197
ˈiː	ˈiː	0.144
ˈiː	ˈyː	0.097
ˈiː	ˈæː	0.097
ˈiːu̯	ˈeː	1.0
ˈoː	-	0.278
ˈoː	ˈøː	0.195
ˈoː	ˈɑ	0.149
ˈoː	ˈʉː	0.102
ˈoː	ˈœ	0.072
ˈoː	ˈeː	0.057
ˈoː	ʋ	0.055
ˈoː	ˈoː	0.05
ˈoːu̯	ˈuː	0.398
ˈoːu̯	ˈɑ	0.259
ˈoːu̯	ˈoː	0.169
ˈoːu̯	-	0.121
ˈu	-	0.412
ˈu	ˈʉ	0.409
ˈu	ˈʉː	0.179
ˈuː	ˈʉː	0.213
ˈuː	-	0.147
ˈuː	ˈʊ	0.141
ˈuː	ˈoː	0.117
ˈuː	ˈɔ	0.108
ˈuː	ˈʉ	0.103
ˈuː	ˈuː	0.094
ˈyː	ˈɛ	0.618
ˈyː	ˈyː	0.204
ˈyː	ˈʏ	0.178
ˈøː	ˈʉː	1.0
ˈœː	ˈʊ	1.0
ˈɔ	ˈɑ	0.688
ˈɔ	ˈʉ	0.157
ˈɔ	ˈœ	0.099
ˈɔ	ˈʉː	0.055
ˈɔː	ˈɔ	0.27
ˈɔː	ˈɑ	0.237
ˈɔː	ˈɑː	0.165
ˈɔː	ˈɛ	0.119
ˈɔː	j	0.102
ˈɔː	ˈœ	0.071
ˈɔːɪ̯	ˈɛ	1.0
ˈɛ	ˈɛ	0.557
ˈɛ	ˈɑː	0.177
ˈɛ	ˈoː	0.117
ˈɛ	ˈʉː	0.085
ˈɛ	ˈɑ	0.064
ˈɛɪ̯	ˈoː	0.202
ˈɛɪ̯	ˈɑː	0.165
ˈɛɪ̯	ˈøː	0.152
ˈɛɪ̯	ˈuː	0.12
ˈɛɪ̯	ˈœ	0.105
ˈɛɪ̯	ˈyː	0.1
ˈɛɪ̯	ˈæː	0.099
ˈɛɪ̯	ˈʉː	0.05
ˈɛː	ˈʏ	0.336
ˈɛː	ˈɑ	0.232
ˈɛː	ˈɪ	0.189
ˈɛː	-	0.132
ˈɛː	ˈɛ	0.056
ˈɛː	ˈɑː	0.056
ˈɪ	ˈɪ	0.603
ˈɪ	ˈœ	0.145
ˈɪ	ˈiː	0.117
ˈɪ	ˈʉː	0.072
ˈʊ	ˈʉ	0.359
ˈʊ	ˈʏ	0.243
ˈʊ	ˈoː	0.132
ˈʊ	ˈʊ	0.112
ˈʊ	ˈɛ	0.077
