Scots	Westphalian	probability
#>	#>	0.75
#>	n_#>	0.116
#>	ə_#>	0.084
<#	<#	1.0
b	b	1.0
d	d	0.816
d	t	0.183
d_#>	#>	1.0
d_ə	ɐ	0.491
e	-	0.491
f	f	1.0
h	h	1.0
i	ɪ	0.491
j	j	0.422
j	ˈɛː	0.242
j	ˈiː	0.148
j	x	0.096
k	k	1.0
k_s	s	1.0
kʰ	k	0.715
kʰ	f	0.197
l	l	1.0
m	m	1.0
n	n	1.0
n_#>	#>	1.0
p	p	0.829
p	b	0.169
r	r	0.456
r	ɐ	0.293
r	-	0.245
r_#>	#>	1.0
r_t	t	1.0
s	s	0.694
s	ʃ	0.272
t	t	1.0
t_#>	#>	1.0
tʰ	t	0.922
tʰ	b	0.06
v	v	0.699
v	f	0.297
w	w	0.767
w	v	0.112
w	-	0.064
w	r	0.055
x	x	0.689
x	ç	0.298
z	z	1.0
ð	d	0.614
ð	-	0.246
ð	n	0.11
ŋ	ŋ	1.0
ə	ɐ	0.785
ə	-	0.081
ə	ə	0.062
ə	ˈɛ	0.062
əi̯	ɪ	1.0
ɡ	x	0.7
ɡ	-	0.223
ɡ	ɣ	0.072
ɪ	-	0.723
ɪ	ɐ	0.204
ɫ	l	1.0
ɹ	r	0.491
ʃ	ʃ	1.0
ʍ	w	1.0
ʧ	k	1.0
ˈa	ˈiɛ̯	1.0
ˈaːɪ̯	ˈiː	0.574
ˈaːɪ̯	ˈuː	0.282
ˈe	ˈeː	0.271
ˈe	ˈaː	0.149
ˈe	ˈa	0.137
ˈe	ˈɔː	0.117
ˈe	ˈaɪ̯	0.058
ˈe	ˈɪ	0.051
ˈei̯	ˈaʊ̯	0.398
ˈei̯	ˈɔː	0.148
ˈei̯	ˈɪɛ̯	0.129
ˈei̯	ˈaː	0.074
ˈei̯	-	0.062
ˈei̯	ˈɛː	0.059
ˈei̯	ˈœː	0.052
ˈeː	ˈɔː	0.425
ˈeː	ˈɛ	0.316
ˈeː	ˈa	0.051
ˈi	ˈiː	0.209
ˈi	ˈøː	0.209
ˈi	ˈaʊ̯	0.138
ˈi	ˈɛ	0.118
ˈiː	ˈaɪ̯	0.329
ˈiː	ˈøː	0.201
ˈiː	ˈaʊ̯	0.137
ˈiː	ˈɔː	0.134
ˈiː	ˈiː	0.088
ˈiː	ˈuːə̯	0.055
ˈø	ˈoː	0.491
ˈø	ˈuə̯	0.149
ˈø	ˈɔː	0.149
ˈø	ˈa	0.101
ˈø	ˈaʊ̯	0.073
ˈɑ	ˈa	0.476
ˈɑ	ˈaː	0.233
ˈɑ	ˈɛ	0.153
ˈɑ	ˈɪ	0.104
ˈɑː	ˈa	0.332
ˈɑː	ˈɔ	0.266
ˈɑː	ˈa_l	0.143
ˈɑː	ˈɪɛ̯	0.113
ˈɑː	ˈaɪ̯	0.064
ˈɔ	ˈʊ	0.259
ˈɔ	ˈuːə̯	0.253
ˈɔ	ˈɔ	0.187
ˈɔ	ˈɔː	0.108
ˈɔ	ˈɪə̯	0.108
ˈɔ	ˈœː	0.059
ˈəi̯	ˈiː	0.527
ˈəi̯	ˈyː	0.167
ˈəi̯	ˈɪ	0.167
ˈəi̯	ˈɪə̯	0.096
ˈɛ	ˈaɪ̯	0.257
ˈɛ	ˈɪɛ̯	0.219
ˈɛ	ˈɛː	0.153
ˈɛ	ˈa	0.081
ˈɛ	ˈɪ	0.08
ˈɛ	ˈɔː	0.063
ˈɛ	ˈiː	0.062
ˈɪ	ˈɪ	0.378
ˈɪ	ˈoː	0.106
ˈɪ	ˈa	0.083
ˈɪ	ˈɛ	0.072
ˈɪ	ˈɪɛ̯	0.067
ˈɪ	ˈiː	0.058
ˈʉ	ˈʊ	0.394
ˈʉ	ˈuː	0.389
ˈʉ	-	0.075
ˈʉ	ˈuə̯	0.075
ˈʉ	ˈaʊ̯	0.06
ˈʌ	ˈʊ	0.303
ˈʌ	ˈa	0.263
ˈʌ	ˈuː	0.178
ˈʌʉ̯	ˈʏ	0.425
ˈʌʉ̯	ˈeː	0.24
ˈʌʉ̯	ˈyːœ̯	0.135
θ	d	0.77
θ	n	0.083
θ	t	0.065
θ	l	0.063
