Swiss German	Limburgish	probability
b̥	b	0.646
b̥	f	0.186
b̥	v	0.146
d̥	d	0.469
d̥	t	0.321
d̥	-	0.156
d̥	j	0.055
f	v	0.752
f	p	0.151
f	ə_f	0.059
fː	p	1.0
h	ɦ	0.894
h	-	0.071
i	ə	0.561
i	ɪ	0.309
i	-	0.13
j	j	1.0
k	k	1.0
kː	k	1.0
l	l	0.934
lː	l	1.0
m	m	0.945
m	-	0.055
mː	m	1.0
n	n	0.921
n	-	0.079
nː	n	1.0
p	p	0.716
p	-	0.284
p͡f	p	1.0
r	ʀ	0.962
rː	ʀ	1.0
s	z	0.629
s	s	0.329
sː	t	0.955
t	t	0.492
t	d	0.34
t	j	0.134
tː	t	0.378
tː	-	0.356
tː	j	0.265
w	l	1.0
æ	i	1.0
ŋ	ŋ	0.819
ŋ	n	0.181
ə	ə	0.938
ə	-	0.062
ɡ̊	ɣ	0.516
ɡ̊	x	0.283
ɡ̊	ŋ	0.067
ɡ̊	-	0.053
ɡ̊ː	k	0.655
ɡ̊ː	x	0.254
ɡ̊ː	ɡ	0.091
ʃ	s	0.605
ʃ	ʃ	0.3
ʃ	z	0.095
ʃː	s	1.0
ʋ	β	0.963
ʦ	t	0.969
ˈau̯	ˈɔː	0.608
ˈau̯	ˈɔu̯	0.31
ˈe	ˈeː	0.449
ˈe	ˈæː	0.323
ˈe	ˈɪː	0.13
ˈe	ˈɛ	0.097
ˈei̯	ˈɛːi̯	1.0
ˈeː	ˈi	0.574
ˈeː	ˈiː	0.251
ˈeː	ˈæ	0.175
ˈi	ˈɪː	0.546
ˈi	ˈeː	0.172
ˈi	ˈøː	0.063
ˈi	ˈɛ	0.058
ˈi	ˈɪ	0.057
ˈiə̯	ˈeː	0.475
ˈiə̯	ˈiː	0.405
ˈiə̯	ˈi	0.12
ˈiː	ˈiː	0.653
ˈiː	-	0.105
ˈiː	ˈɛ	0.105
ˈiː	ˈeː	0.077
ˈiː	ˈɪ	0.059
ˈo	ˈʊː	0.356
ˈo	ˈɔ	0.218
ˈo	ˈoː	0.149
ˈo	ˈɔː	0.123
ˈo	ˈɒː	0.11
ˈoː	ˈu	0.354
ˈoː	ˈʊː	0.284
ˈoː	ˈɒː	0.229
ˈoː	ˈuː	0.067
ˈu	ˈʊː	0.584
ˈu	ˈœː	0.133
ˈu	ˈʊ	0.094
ˈuə̯	ˈʊː	0.566
ˈuə̯	ˈoː	0.226
ˈuə̯	ˈøː	0.122
ˈuə̯	ˈɔ	0.086
ˈuː	ˈuː	0.76
ˈuː	ˈɔu̯	0.166
ˈuː	ˈʊː	0.074
ˈy	ˈʏ	0.263
ˈy	ˈɪː	0.229
ˈy	ˈøː	0.198
ˈy	ˈœ	0.147
ˈy	ˈʏː	0.056
ˈy	ˈeː	0.051
ˈyə̯	ˈøː	0.824
ˈyə̯	ˈʊː	0.176
ˈyː	ˈeː	0.418
ˈyː	ˈøː	0.223
ˈyː	ˈyː	0.14
ˈyː	ˈœi̯	0.108
ˈyː	ˈiː	0.057
ˈyː	ˈɛːi̯	0.054
ˈæ	ˈeː	0.343
ˈæ	ˈɪ	0.268
ˈæ	ˈaː	0.114
ˈæ	ˈæː	0.108
ˈæ	ˈæ	0.062
ˈæ	ˈɛ	0.054
ˈæ	ˈɑ	0.051
ˈæi̯	ˈɛː	0.959
ˈæː	ˈɑ	0.413
ˈæː	ˈi	0.332
ˈæː	ˈeː	0.255
ˈø	ˈɪ	0.589
ˈø	ˈæ	0.156
ˈø	ˈʏː	0.156
ˈø	ˈɑ	0.098
ˈøi̯	ˈœi̯	0.666
ˈøi̯	ˈi	0.174
ˈøi̯	ˈʏː	0.159
ˈøː	ˈøː	0.449
ˈøː	ˈyː	0.321
ˈøː	ˈu	0.23
ˈɒ	ˈaː	0.372
ˈɒ	ˈɑː	0.275
ˈɒ	ˈɑ	0.236
ˈɒː	ˈɒː	0.534
ˈɒː	ˈaː	0.19
ˈɒː	ˈœ	0.099
ˈɒː	ˈʊː	0.066
χ	k	0.719
χ	x	0.258
