Swiss German	West Flemish	probability
b̥	b	0.667
b̥	f	0.164
b̥	v	0.149
d̥	d	0.451
d̥	t	0.374
d̥	-	0.175
f	v	0.909
f	p	0.091
fː	p	1.0
h	z	0.778
h	-	0.115
h	k	0.107
i	-	0.377
i	ə	0.282
i	ɪ	0.182
i	m	0.158
j	j	1.0
k	k	1.0
l	l	0.899
l	w	0.079
m	m	0.917
m	ʋ	0.083
mː	m	1.0
n	n	0.98
p	p	0.891
p	f	0.109
p͡f	p	0.857
p͡f	f	0.143
r	ɾ	0.969
s	z	0.489
s	s	0.281
s	t	0.126
s	-	0.103
sː	t	0.969
t	t	0.61
t	d	0.356
tː	-	0.831
tː	d	0.169
w	w	1.0
ŋ	ŋ	0.799
ŋ	n_t	0.201
ə	n	0.406
ə	-	0.345
ə	ə	0.249
ɡ̊	ɦ	0.664
ɡ̊	h	0.11
ɡ̊	k	0.057
ɡ̊	-	0.053
ɡ̊ː	ɦ	1.0
ʃ	s	0.641
ʃ	ʃ	0.248
ʃ	z	0.092
ʃː	s	1.0
ʋ	ʋ	0.95
ʦ	t	1.0
ˈa	ˈæ	0.281
ˈa	ˈu	0.272
ˈa	ˈɔ	0.272
ˈa	ˈɑ	0.174
ˈau̯	ˈoː	0.879
ˈau̯	ˈu	0.121
ˈe	ˈɒː	0.338
ˈe	ˈiə̯	0.22
ˈe	ˈæ	0.202
ˈe	ˈeː	0.124
ˈe	ˈɛ	0.116
ˈei̯	ˈɛː	0.862
ˈei̯	ˈi	0.1
ˈeː	ˈiə̯	0.578
ˈeː	ˈɛː	0.422
ˈi	ˈɪ	0.642
ˈi	ˈæ	0.138
ˈi	ˈɛ	0.085
ˈiə̯	ˈiə̯	0.658
ˈiə̯	ˈœ	0.342
ˈiː	ˈi	0.758
ˈiː	ˈyː	0.121
ˈiː	ˈɛ	0.121
ˈo	ˈoː	0.411
ˈo	ˈɔ	0.255
ˈo	ˈɒː	0.089
ˈo	ˈɛː	0.089
ˈo	ˈœ	0.061
ˈo	ˈøː	0.052
ˈou̯	ˈoː	0.954
ˈoː	ˈoː	0.729
ˈoː	ˈɒː	0.155
ˈoː	ˈøː	0.115
ˈu	ˈu	0.635
ˈu	ˈɔ	0.25
ˈu	ˈœ	0.073
ˈuə̯	ˈuə̯	1.0
ˈuː	ˈyː	0.865
ˈuː	ˈu	0.135
ˈy	ˈɪ	0.395
ˈy	ˈiə̯	0.301
ˈy	-	0.134
ˈy	ˈæ	0.119
ˈy	ˈoː	0.051
ˈyə̯	ˈuə̯	1.0
ˈyː	ˈiə̯	0.762
ˈyː	ˈuə̯	0.08
ˈyː	ˈeː	0.065
ˈæ	ˈæ	0.304
ˈæ	ˈɑ	0.213
ˈæ	ˈeː	0.191
ˈæ	ˈɪ	0.111
ˈæ	ˈɛː	0.1
ˈæ	ˈɛ	0.082
ˈæi̯	j	0.752
ˈæi̯	ˈɛː	0.248
ˈæː	ˈeː	0.493
ˈæː	ˈiə̯	0.217
ˈæː	ˈæ	0.172
ˈæː	ˈɒː	0.118
ˈø	ˈɔ	0.583
ˈø	ˈœ	0.31
ˈø	ˈɑ	0.106
ˈøi̯	ˈiə̯	0.661
ˈøi̯	ˈɛː	0.339
ˈøː	ˈoː	1.0
ˈɒ	ˈɑ	0.78
ˈɒ	ˈɒː	0.188
ˈɒː	ˈɒː	0.691
ˈɒː	ˈɑ	0.197
ˈɒː	ˈɒː_n	0.112
ˈɛi̯	ˈɛː	0.779
ˈɛi̯	ˈɛ	0.221
χ	k	0.71
χ	h	0.284
