West Frisian	Nynorsk Norwegian	probability
b	b	1.0
ŋ	ŋː	1.0
ɪ	e	1.0
ˈoː	ˈʉː	1.0
ˈu	ˈʉ	1.0
ˈuə̯	ˈuː	1.0
ˈɔː	ˈɑ	1.0
ˈɛi̯	ˈɛ	1.0
n	n	0.561
p	p	0.911
ə	-	0.101
ɡ	ɡ	0.891
ˈaː	ˈɛ	0.121
ˈaː	ˈoː	0.241
ˈi	ˈɪ	0.241
ˈɛ	ˈɑ	0.101
ˈɪ	ˈeː	0.211
ˈɪə̯	ˈœʏ̯	0.171
ˈɪə̯	ˈæʉ̯	0.421
s	s	0.942
ə	ə	0.082
ə	ɑ	0.542
ˈiə̯	ˈyː	0.132
ˈiː	ˈɪ	0.242
ˈoə̯	ˈɔ	0.462
ˈuː	-	0.062
ˈuː	ˈʉ	0.412
χ	ɡ	0.902
h	-	0.053
j	ˈyː	0.073
k	ʰkː	0.13
l	-	0.063
l	l	0.753
ˈa	ˈɔ	0.073
ˈiː	ˈʉː	0.153
ˈoə̯	ˈoː	0.123
ˈɛ	ˈeː	0.103
ˈɪə̯	ˈɑ	0.223
f	f	0.894
j	-	0.684
n	-	0.134
v	ʋ	0.934
z	s	0.604
ʋ	ʋ	0.694
ˈa	ˈɑː	0.114
ˈaː	ˈɑː	0.304
ˈiə̯	ˈæɪ̯	0.394
ˈɔ	ˈʉ	0.384
ˈɪ	ˈʏ	0.14
d̥	d	0.285
k	kʰ	0.225
k	k	0.405
l	lː	0.145
r	ɾ	0.95
t	tː	0.065
t	tʰ	0.295
ə	e	0.275
ɣ	ɡ	0.455
ˈiː	ˈiː	0.605
ˈoə̯	ˈʊ_ɾ	0.415
ˈɛ	ˈɛ	0.55
ˈɪ	ˈɛ	0.205
d	-	0.276
d̥	lː	0.086
f	-	0.106
j	ˈiː	0.186
t	ʰtː	0.066
t	t	0.556
v	-	0.066
z	-	0.396
ɣ	-	0.146
ˈa	ˈɑ	0.406
ˈaː	ˈɑ	0.296
ˈiə̯	ˈøː	0.176
ˈɔ	ˈɔ	0.616
ˈɛ	-	0.246
ˈɛː	ˈʏ	0.226
h	h	0.947
j	j	0.057
n	nː	0.237
ˈuː	ˈʉː	0.527
ˈɛː	ˈɑ	0.107
ˈɛː	ˈɑː	0.667
ˈɪ	ˈʊ	0.057
ˈɪə̯	ˈøː	0.107
d	d	0.678
ʋ	v	0.078
ʋ	kʰ_ʋ	0.228
ˈiə̯	ˈoː	0.298
χ	ɡː	0.098
d̥	-	0.629
k	ç	0.199
m	m	0.929
p	pʰ	0.089
ɡ	j	0.109
ɣ	ɡː	0.399
ˈa	e_#>	0.339
ˈi	ˈiː	0.759
ˈɪ	ˈɪ	0.309
