Phone1	Phone2	Surprisal	OOV_Smoothed
b	b	0.6218294053687435	5.245492398875728
b	v	1.7585861007413128	5.245492398875728
b	v̥	4.1945333643324245	5.245492398875728
d	d	0.6568811279708101	5.245492398875728
d	d̥	1.8061311437252583	5.245492398875728
d	-	3.6475525068473877	5.245492398875728
f	f	-0.0	5.245492398875728
h	h	-0.0	5.245492398875728
j	j	-0.0	5.245492398875728
k	kʰ	0.9422837505238773	5.245492398875728
k	k	1.6311846288940124	5.245492398875728
k	ɕ	2.8087415599360295	5.245492398875728
l	l	0.39990069429161856	5.245492398875728
l	l_ə	2.0463872957179046	5.245492398875728
m	m	-0.0	5.245492398875728
n	n	0.6061181136708145	5.245492398875728
n	ə_n	2.1271398423383787	5.245492398875728
n	-	4.123129203654034	5.245492398875728
n	ŋ	4.139499653827888	5.245492398875728
p	p	-0.0	5.245492398875728
s	s	0.9992834422839858	5.245492398875728
s	s_ə	1.6399382696601408	5.245492398875728
s	ʃ	2.482924752537622	5.245492398875728
t	t	1.084346703060583	5.245492398875728
t	d	1.706055052291629	5.245492398875728
t	d̥	2.2317613626713535	5.245492398875728
v	v	0.4195720222628246	5.245492398875728
v	w	1.9864813235219803	5.245492398875728
z	z	0.7264935040413601	5.245492398875728
z	s	1.3377801501486082	5.245492398875728
ŋ	ŋ	-0.0	5.245492398875728
ə	ə	-0.0	5.245492398875728
ɡ	ɡ	0.9456363110645941	5.245492398875728
ɡ	-	1.3299813341331246	5.245492398875728
ɡ	ɡ̊	4.453844589544312	5.245492398875728
ɡ	ɕ	4.741003393470468	5.245492398875728
ɪ	ə	-0.0	5.245492398875728
ʀ	ɐ	0.8768171302317506	5.245492398875728
ʀ	ʀ	1.3278601515698436	5.245492398875728
ʀ	ə_ʀ	4.293949057429632	5.245492398875728
ʃ	ʃ	-0.0	5.245492398875728
ʦ	ʦ	-0.0	5.245492398875728
ʧ	ʃ	-0.0	5.245492398875728
ˈa	ˈɑ	1.1552984485179447	5.245492398875728
ˈa	ˈaː	1.269260479242579	5.245492398875728
ˈa	ˈæ	4.064021803622519	5.245492398875728
ˈa	ˈiː	4.467536339982004	5.245492398875728
ˈa	ˈuə̯	5.003822715395172	5.245492398875728
ˈaɪ̯	ˈæːɪ̯	0.2954067535837331	5.245492398875728
ˈaɪ̯	ˈɑɪ̯	2.433175598901294	5.245492398875728
ˈɔ	ˈoː	1.9809726668489138	5.245492398875728
ˈɔ	ˈaː	2.1088912350789144	5.245492398875728
ˈɔ	ˈo	2.578914950362658	5.245492398875728
ˈɔ	ˈu	3.2427905399119012	5.245492398875728
ˈɔ	ˈuː	3.3090893752324257	5.245492398875728
ˈɔ	ˈɑ	3.614441761751671	5.245492398875728
ˈɔ	ˈuə̯	4.075611285415297	5.245492398875728
ˈɔɪ̯	ˈaː	1.423623703763798	5.245492398875728
ˈɔɪ̯	ˈəʊ̯	1.6839980297069634	5.245492398875728
ˈɔɪ̯	ˈæːʊ̯	2.4267576523773235	5.245492398875728
ˈɔɪ̯	ˈɑʊ̯	3.8486958915659084	5.245492398875728
ˈɔɪ̯	ˈɜɪ̯	4.044242379512933	5.245492398875728
ˈɛ	ˈɛː	2.119518993424383	5.245492398875728
ˈɛ	ˈiə̯	2.5351092630368393	5.245492398875728
ˈɛ	ˈə	2.9980892074642447	5.245492398875728
ˈɛ	ˈi	3.1938883874605506	5.245492398875728
ˈɛ	ˈɛ	3.227845941857909	5.245492398875728
ˈɛ	ˈɜɪ̯	3.529539492277011	5.245492398875728
ˈɛ	ˈæ	3.692575845307062	5.245492398875728
ˈɛ	ˈiː	4.0716171246055	5.245492398875728
ˈɛ	ˈeː	4.932315312041008	5.245492398875728
ˈɛɪ̯	ˈeː	0.10714347471437416	5.245492398875728
ˈɛɪ̯	ˈɜɪ̯	3.804390683769222	5.245492398875728
ˈɪ	ˈɑ	1.6227560895202195	5.245492398875728
ˈɪ	ˈə	2.187094161952097	5.245492398875728
ˈɪ	ˈɜɪ̯	2.7943785481472254	5.245492398875728
ˈɪ	ˈiː	3.0579724107652337	5.245492398875728
ˈɪ	ˈe	3.204721204777338	5.245492398875728
ˈɪ	ˈɑɪ̯	4.4455302507316885	5.245492398875728
ˈɪ	ˈi	4.752059767178329	5.245492398875728
ˈʊ	ˈo	1.204531673596659	5.245492398875728
ˈʊ	ˈu	2.105265586328115	5.245492398875728
ˈʊ	ˈʊ	3.0397480699696047	5.245492398875728
ˈʊ	ˈɔ	3.7607433022705794	5.245492398875728
ˈʊ	ˈəʊ̯	3.798521588846482	5.245492398875728
ˈʊ	ˈuː	4.502672967998675	5.245492398875728
χ	ɕ	0.3463897022718284	5.245492398875728
χ	χ	2.2280296144379523	5.245492398875728
