Yiddish	Nynorsk Norwegian	probability
a	ɑ	1.0
b	b	0.635
b	ʋ	0.247
b	-	0.102
d	tʰ	0.315
d	d	0.292
d	-	0.26
d	ɕ	0.069
f	f	0.556
f	p	0.218
f	ʋ	0.135
h	h	0.843
h	-	0.157
j	ˈoː	0.815
j	ˈʉ	0.185
k	kʰ	0.412
k	ɕ	0.237
k	ɡː	0.123
k	ɕː	0.071
k	ʰkː	0.071
l	l	0.868
l	lː	0.09
m	m	0.628
m	mː	0.175
m	-	0.111
m	m_j	0.086
n	n	0.366
n	-	0.242
n	ɑ	0.239
n	nː	0.112
p	p	0.751
p	-	0.249
s	t	0.743
s	s	0.242
t	-	0.339
t	d	0.299
t	t	0.232
t	tʰ	0.061
v	ʋ	0.504
v	-	0.287
v	kʰ_ʋ	0.126
v	v	0.063
z	s	0.611
z	s_e	0.189
z	ʃ	0.141
z	-	0.059
ŋ	ɲ	0.749
ŋ	-	0.251
ə	ɑ	0.328
ə	-	0.294
ə	e	0.252
ə	ə	0.068
ɛ	e	1.0
ɡ	ɡ	0.683
ɡ	j	0.189
ɡ	-	0.128
ɪ	-	0.435
ɪ	ŋ	0.435
ɪ	ɑ	0.131
ʀ	ɾ	0.81
ʀ	-	0.163
ʃ	s	0.503
ʃ	s_k	0.274
ʃ	ʃ	0.224
ʎ	j	1.0
ʦ	tʰ	0.386
ʦ	t	0.256
ʦ	-	0.215
ʦ	ɕː	0.116
ʧ	ʃ	1.0
ˈa	ˈɑ	0.677
ˈa	ˈɑː	0.093
ˈa	ˈæ	0.052
ˈa	-	0.051
ˈaɪ̯	ˈiː	0.491
ˈaɪ̯	ˈɛ	0.235
ˈaɪ̯	ˈyː	0.14
ˈaɪ̯	ˈeː	0.051
ˈi	ˈoː	1.0
ˈɔ	ˈɑ	0.203
ˈɔ	ˈoː	0.185
ˈɔ	ˈɑː	0.16
ˈɔ	ˈʊ	0.118
ˈɔ	ˈʉ	0.067
ˈɔ	ˈɔ	0.066
ˈɔ	-	0.06
ˈɔɪ̯	ˈʉː	0.351
ˈɔɪ̯	ˈæʉ̯	0.155
ˈɔɪ̯	ˈœʏ̯	0.144
ˈɔɪ̯	ˈʉ	0.122
ˈɔɪ̯	ˈeː	0.091
ˈɛ	ˈɛ	0.379
ˈɛ	ˈoː	0.111
ˈɛ	ˈeː	0.087
ˈɛ	ˈɛː	0.072
ˈɛ	ˈʊ	0.072
ˈɛ	ˈœ	0.054
ˈɛ	ˈʉ	0.053
ˈɛɪ̯	ˈæɪ̯	0.49
ˈɛɪ̯	ŋː	0.281
ˈɛɪ̯	ˈøː	0.103
ˈɛɪ̯	ˈuː	0.05
ˈɪ	ˈɪ	0.282
ˈɪ	ˈʏ	0.228
ˈɪ	ˈiː	0.145
ˈɪ	ˈeː	0.085
ˈɪ	ˈyː	0.066
ˈɪ	ˈøː	0.062
ˈʊ	ˈʉ	0.322
ˈʊ	ˈuː	0.269
ˈʊ	ˈɔ	0.144
ˈʊ	ˈoː	0.082
ˈʊ	ˈʉː	0.075
χ	k	0.574
χ	ɡ	0.343
χ	ɕ	0.056
