Phone1	Phone2	PMI
s_a	s_a	11.025
w_ˈa	w_ˈa	10.83
ð_a	d_a	10.63
p_ˈe	p_ˈɛ	10.147
k_ɾ	k_r	10.022
l_o	l_u	9.953
l_ˈa	j_ˈa	9.745
<#_r	<#_r	9.648
<#_a	<#_a	9.625
ɾ_ˈa	r_ˈa	9.562
<#_t	<#_t	9.541
p_o	p_u	9.512
p_l	p_j	9.411
r	<#_r	9.225
<#_ˈa	<#_ˈa	8.968
ʃ	ʃː	8.725
<#_n	<#_n	8.611
<#_m	<#_m	8.531
l_#>	l_e_#>	8.301
<#_l	<#_l	8.16
ŋ	ŋ	7.998
r	rː	7.773
ɲ	ɲ	7.564
ˈe_r	rː	7.398
<#_ˈu	<#_ˈu	7.36
ˈo_s	ˈɔ_s	7.339
ˈa_s	ˈa_z	7.325
n_#>	n_e_#>	7.279
ɾ_k	r_k	7.234
β_ˈa	v_ˈa	7.126
m	<#_m	7.104
ɾ_n	r_n	7.025
ˈi_ð	ˈi_t	6.971
s_ˈo	s_ˈo	6.948
<#_o	<#_o	6.948
ɾ_β	r_b	6.925
t	<#_t	6.706
o_l	u_l	6.659
ɡ	ɡ	6.654
e_ɣ	i_k	6.618
ˈu_ʎ	ˈɔ_c	6.428
l	<#_l	6.405
ʎ	ʎ	6.346
ɾ_ˈe	r_ˈɛ	6.325
b_e	v_i	6.314
ʧ	ɟ	6.285
f	f	6.234
<#_w	<#_ˈo	6.18
θ	ʧ	6.17
d	d	6.119
ˈa_ɾ_#>	ˈa_#>	6.104
n	<#_n	6.018
e_n	ˈɛ_n	6.006
<#_θ	<#_ʧ	5.981
ˈu	ˈu	5.919
ˈa	<#_ˈa	5.868
a	<#_a	5.804
<#_o	o	5.786
<#_m	m	5.728
ɾ_o	r_u	5.71
m	mː	5.676
n_o	n_a	5.656
m	m	5.622
ɾ_a	r_a	5.607
w_ˈa	w	5.598
ˈa	ˈa_#>	5.597
ˈi	ˈi	5.584
z	z	5.55
ʎ	lː	5.471
l_#>	l	5.386
<#_l	l	5.386
z	z_u	5.351
i	i	5.28
p	p	5.275
s	s	5.258
ð	d_a	5.212
<#_t	t	5.176
ʃ	sː	5.156
b	b	5.1
t	tː	5.067
ˈu	<#_ˈu	5.012
θ	<#_ʧ	4.972
l	l_e_#>	4.93
l	l	4.917
k	k	4.907
ʎ	c	4.869
j_t	tː	4.761
ˈo	ˈo	4.728
p	p_ˈɛ	4.705
w	w_ˈa	4.702
<#_n	n	4.668
t	t	4.623
ɣ	ɡ	4.614
<#_r	r	4.596
n	n	4.59
ɾ	ˈa_#>	4.528
ˈo	ˈɔ	4.515
b	v	4.51
n_#>	n	4.507
s	s_a	4.498
<#_ˈa	ˈa	4.453
ˈa	ˈa	4.395
β	v	4.376
<#_θ	ʧ	4.29
w	w	4.271
<#_ˈu	ˈu	4.214
ð	t	4.184
r	r	4.172
j	ˈe	4.165
a	a	4.101
e	i	4.071
p	p_u	4.069
l_ˈa	j	4.049
p	p_j	4.038
n	n_e_#>	4.037
ˈe	ˈe	3.995
k	k_r	3.97
l	l_u	3.952
w	<#_ˈo	3.95
<#_w	ˈo	3.902
ð	dː	3.871
ð	d	3.814
w	ˈo	3.81
β	b	3.801
ɣ	k	3.801
ˈe	ˈɛ	3.777
w	ˈɔ	3.776
o	u	3.754
p_l	j	3.735
ɾ	r	3.734
ˈa	w_ˈa	3.718
<#_a	a	3.674
b_ˈa	b_ˈa	3.664
a_m	a_m	3.664
<#_ˈe	<#_ˈɛ	3.663
ˈa_s	z	3.654
k_a	kː_a	3.641
o	o	3.61
ˈu_ɾ	ˈu_r	3.593
ɾ_m	r_m	3.579
ɾ_t	r_t	3.57
o_s	i	3.561
#>	ˈa_#>	3.502
p_ˈa	p_ˈa	3.469
l_#>	e	3.453
<#	<#_a	3.439
a	s_a	3.404
a	d_a	3.404
ˈa	j_ˈa	3.384
s_a	s	3.37
o	<#_o	3.353
t_ˈa	t_ˈa	3.34
ˈe	p_ˈɛ	3.337
<#	<#_r	3.332
<#_ˈo	<#_ˈɔ	3.33
l_a	lː_a	3.329
ð_a	d	3.325
ˈo_β	ˈɔ_v	3.32
<#	<#_ˈa	3.311
<#	<#_m	3.304
β	p	3.273
<#	<#_l	3.266
<#	<#_n	3.246
<#_ɡ	<#_ɡ	3.233
n_j	n_ˈɛ	3.231
ˈe	rː	3.168
t_a	t_a	3.159
<#_ˈo	<#_ˈo	3.159
<#	<#_t	3.15
ˈa_l	ˈa_l	3.145
w	v_e	3.142
ˈe_#>	ˈɛ_#>	3.125
l	j	3.098
l	j_ˈa	3.093
j_ˈe	ˈe	3.08
ˈe_n	ˈɔ_n	3.072
<#_d	<#_d	3.071
ˈa	r_ˈa	3.062
o	l_u	3.04
ð	ˈi_t	3.035
ð_ˈe	t_ˈɛ	3.008
p_ˈe	ˈɛ	2.995
ˈu	ˈɔ_c	2.987
l_o	l	2.986
ʃ	ʃ	2.973
d	<#_d	2.95
ˈi	ˈi_t	2.932
j	ˈɛ	2.931
ˈo	ˈɔ_s	2.929
ˈu	ˈɔ	2.902
ɡ	<#_ɡ	2.9
ɾ	k_r	2.892
s	z	2.876
p_ˈe	p	2.875
p_o	p	2.875
p_l	p	2.875
β	v_ˈa	2.869
ˈi	i	2.86
β	p_e	2.852
k_l	c	2.812
ɣ	i_k	2.796
β	r_b	2.786
l	p_j	2.759
ˈa	w	2.756
t	l_t	2.746
ˈe	ˈɔ	2.731
<#	<#	2.729
#>	#>	2.729
ɾ	r_ˈa	2.709
o	p_u	2.63
ˈo	s_ˈo	2.622
l	lː	2.618
k_ɾ	k	2.591
s	ˈɔ_s	2.587
ˈe_w	v_e	2.578
b_w	b	2.57
k	r_k	2.558
s	ˈa_z	2.546
ʎ	ˈɔ_c	2.475
<#	<#_ˈo	2.419
ˈu_ʎ	c	2.418
ɲ	nː	2.369
<#_a	<#_ˈa	2.336
w_ˈe	ˈɔ	2.311
s	s_ˈo	2.237
#>	l_e_#>	2.222
ʝ	ʣ	2.201
ˈo	<#_ˈɔ	2.199
b	v_i	2.198
e	v_i	2.191
<#_ɡ	ɡ	2.189
#>	e_#>	2.187
s_ˈo	ˈo	2.178
ɾ_β	b	2.144
ˈe_ʎ	c	2.138
<#_d	d	2.101
ˈa	ˈa_z	2.089
e	i_k	2.064
b_e	i	2.063
ɾ_ˈa	r	2.055
k_ɾ	r	2.055
ˈa_ɾ_#>	ˈa	2.053
ɾ_ˈa	ˈa	2.053
w_ˈa	ˈa	2.053
l_ˈa	ˈa	2.053
ˈe_ɾ	e	2.043
k	c	2.032
e_ɣ	i	2.028
ˈi_ɾ	e	2.027
<#_ˈo	ˈo	2.014
ɣ	kː	1.97
β_ˈa	v	1.946
<#	<#_ʧ	1.946
ˈo	<#_ˈo	1.944
ˈi_ð	ˈi	1.936
n	r_n	1.931
j_ˈe	ˈɛ	1.924
ˈe	<#_ˈɛ	1.913
j_ʃ	ʃ	1.901
j	tː_e	1.893
s_ˈo	s	1.888
ˈa	v_ˈa	1.885
n_#>	e	1.885
<#	<#_ˈu	1.885
e	e	1.878
ˈo_s	s	1.864
ð_a	a	1.843
s_a	a	1.843
m_b	m	1.839
θ	ʦː	1.831
e	ˈɛ	1.83
ɾ	r_k	1.803
ɾ	r_b	1.803
<#_ˈe	ˈɛ	1.785
ˈe_#>	ˈɛ	1.756
ɾ_#>	ˈa_#>	1.745
ˈa	j	1.737
ˈu	ˈo	1.726
<#_ˈo	ˈɔ	1.719
#>	n_e_#>	1.696
s	ʦ	1.694
l	u_l	1.677
ɾ	r_n	1.655
e_n	ˈɛ	1.616
w_ɣ	kː	1.604
a	r_a	1.604
e_#>	e_#>	1.591
s	ʃ	1.554
p_o	u	1.55
l_o	u	1.55
ɾ_ˈe	ˈɛ	1.548
b_e	v	1.543
k	kː	1.541
o_l	l	1.536
ɾ	e	1.492
<#	<#_o	1.458
ˈo_s	ˈɔ	1.455
ˈu_ʎ	ˈɔ	1.444
ˈe	ˈo	1.425
ɾ_#>	r	1.405
b	m	1.376
ɾ	r_ˈɛ	1.359
ˈe	ˈɛ_#>	1.339
ɾ_#>	r_e_#>	1.333
k_a	kː	1.331
