Phone1	Phone2	Surprisal	OOV_Smoothed
#>	ɪ_#>	1.1	5.058
#>	t_ɪ_#>	1.907	5.058
#>	ŋ_#>	2.907	5.058
#>	ʊ_#>	2.907	5.058
<#_a	<#_a	0.29	5.058
<#_a	<#	2.459	5.058
<#_e	<#_e	0.0	5.058
<#_l	<#_l	0.0	5.058
<#_n	<#_n	0.0	5.058
<#_o	<#_o	0.0	5.058
<#_t	<#_t	0.0	5.058
<#_ɡ	<#	0.0	5.058
<#_ʧ	<#	0.0	5.058
<#_ˈa	<#_ˈa	0.0	5.058
<#_θ	<#_θ	0.0	5.058
a	ɐ	0.493	5.058
a	a	2.0	5.058
b	b	0.0	5.058
d	d	0.0	5.058
e	e	0.585	5.058
e	-	2.0	5.058
e	ɪ	3.585	5.058
e_#>	ɪ_#>	0.0	5.058
e_ʝ	ˈe	0.0	5.058
f	f	0.0	5.058
f_l	ʧ	0.0	5.058
i	i	0.585	5.058
i	e	1.585	5.058
j	j	0.9	5.058
j	-	1.107	5.058
j_ˈe	ˈɛ	0.0	5.058
k	k	0.069	5.058
k	-	4.426	5.058
l	l	1.064	5.058
l	-	1.202	5.058
l	ʧ	3.524	5.058
l_#>	l_#>	0.0	5.058
l_a	ɐ	0.0	5.058
m	m	0.0	5.058
m_b	m	0.0	5.058
n	n	0.544	5.058
n	-	1.959	5.058
n	ɲ	4.129	5.058
n_#>	ŋ_#>	0.29	5.058
n_#>	#>	2.459	5.058
n_a_#>	#>	0.0	5.058
n_o	ŋ	0.0	5.058
o	ʊ	0.295	5.058
o	o	3.202	5.058
o	-	4.524	5.058
o_#>	#>	0.0	5.058
o_l	o	0.0	5.058
p	p	0.17	5.058
p	β	3.17	5.058
p_l	ʧ	0.0	5.058
r	r	0.0	5.058
s	s	0.0	5.058
s_#>	s_#>	0.0	5.058
s_a	s_ɐ	0.0	5.058
s_ˈe	s_ˈe	0.0	5.058
t	t	0.222	5.058
t	ð	2.807	5.058
t_a	t_ɐ	0.0	5.058
u	o	1.0	5.058
u	u	1.0	5.058
w	-	1.322	5.058
w	β_ɪ	1.322	5.058
w	ˈɔ	2.322	5.058
w_#>	ʊ_#>	0.0	5.058
w_ˈa	w_ˈa	0.0	5.058
w_ˈe	ˈo	1.0	5.058
w_ˈe	ˈɔ	1.0	5.058
z	ɟ	0.0	5.058
ð	ð	0.363	5.058
ð	-	3.17	5.058
ð	ʃ	3.17	5.058
ŋ	ŋ	0.0	5.058
ŋ_ɡ	ɲ	0.0	5.058
ɡ	ɡ	0.0	5.058
ɣ	ɣ	0.0	5.058
ɲ	ɲ	0.363	5.058
ɲ	n	2.17	5.058
ɾ	ɾ	0.1	5.058
ɾ	r	3.907	5.058
ɾ_#>	ɾ_#>	0.0	5.058
ɾ_a	ɾ_ɐ	0.0	5.058
ɾ_e	ɪ	0.0	5.058
ɾ_k	ɾ_k	0.0	5.058
ɾ_ˈe	ɾ_ˈe	0.0	5.058
ɾ_β	ɾ_β	0.0	5.058
ʃ	ʃ	0.585	5.058
ʃ	θ	1.585	5.058
ʎ	ɟ	0.363	5.058
ʎ	l	2.17	5.058
ʎ_o	l_ʊ	0.0	5.058
ʝ	-	1.0	5.058
ʝ	ð	1.0	5.058
ʧ	ʃ	0.0	5.058
ˈa	ˈa	0.394	5.058
ˈa	ˈɑ	2.607	5.058
ˈa	ˈo_w	4.481	5.058
ˈe	ˈe	0.57	5.058
ˈe	-	3.615	5.058
ˈe	ˈɛ	3.615	5.058
ˈe	j	4.03	5.058
ˈe	ˈe_j	4.03	5.058
ˈe	ˈo	4.615	5.058
ˈe_n	ˈe	0.0	5.058
ˈe_ɾ	ɾ	0.0	5.058
ˈi	ˈi	0.152	5.058
ˈi	-	3.322	5.058
ˈi_n	ˈi_ɲ	0.0	5.058
ˈo	ˈo	1.0	5.058
ˈo	ˈɔ	1.83	5.058
ˈo	ˈo_w	2.678	5.058
ˈo	w	4.0	5.058
ˈu	ˈu	0.497	5.058
ˈu	ˈo	1.778	5.058
ˈu_ɾ	ˈu_ɾ	0.0	5.058
β	β	0.212	5.058
β	-	2.874	5.058
β_ˈa	β_ˈa	0.0	5.058
θ	θ	0.0	5.058
θ_#>	θ_#>	0.0	5.058
