Phone1	Phone2	PMI
<#_ˈu	<#_ˈu	10.587
<#_t	<#_t	9.725
ˈu_n	ˈɔ_n	9.681
<#_ˈo	<#_ˈo	9.618
k_u	k_u	9.265
k_e̯ˈa	p_ˈɛ	9.174
<#_ˈa	<#_ˈa	8.928
<#_a	<#_a	8.595
<#_n	<#_n	8.316
<#_m	<#_m	8.086
a	<#_a	7.733
ˈo	<#_ˈo	7.593
<#_ʦ	ʧ	7.529
ɡ	ɡ	7.411
ˈu	<#_ˈu	7.317
i_m	i_m	7.068
k_ˈo	k_ˈo	7.056
<#_u	<#_o	7.038
ʃ	ʃ	7.024
ʤ	ʤ	6.933
<#_ɡ	<#_ɡ	6.873
<#_ʦ	<#_ʧ	6.803
t	<#_t	6.774
m	<#_m	6.696
ɲ_ˈi	m_ˈi	6.679
f	f	6.608
ˈa	<#_ˈa	6.568
r_#>	l_u_#>	6.521
ˈo_w	ˈɔ_i	6.501
f_l	f_ɾ	6.496
ə_t	a_ð	6.485
ʎ	ɭː	6.412
ɡ	<#_ɡ	6.294
n	<#_n	6.232
k_ə	k_a	6.174
d	d	6.062
k_r	k_ɾ	6.042
n_#>	n_u_#>	5.992
l_#>	ɖː_u_#>	5.94
l_#>	ɖː	5.836
k_#>	ɣ	5.822
ʦ	ʧ	5.748
ˈe	ˈe	5.708
i_r	i_ɾ	5.708
<#_ˈo	ˈo	5.682
ç	f	5.669
<#_t	t	5.603
s	s	5.595
<#_ˈu	ˈu	5.581
ʦ	ʒ	5.575
b	b	5.528
<#_m	m	5.469
r_#>	l	5.433
<#_l	<#_l	5.382
m	m	5.373
k_#>	ɣ_u_#>	5.309
<#_u	o	5.215
ˈo	ˈo	5.199
p	p	5.18
e̯ˈa_r	ˈi_ɾ	5.128
t	t	5.114
v	b	5.098
ʦ	<#_ʧ	5.06
ŋ	ŋ	5.045
ɲ	m	4.991
o̯ˈa	ˈɔ	4.985
<#_k	<#_k	4.973
ʣ	d	4.962
ʎ_#>	ɭː	4.949
l	l	4.948
ˈu	ˈu	4.935
l	<#_l	4.868
<#_ˈa	ˈa	4.779
<#_ɡ	ɡ	4.744
ˈɨ	ˈa	4.705
u	<#_o	4.652
ˈa	ˈa	4.614
ʎ_#>	ɭː_u_#>	4.599
n_#>	n	4.565
<#_n	n	4.565
<#_d	d	4.527
ˈi	ˈi	4.508
k	k	4.505
u	o	4.44
n	n	4.418
<#_a	a	4.369
t	ʃ	4.333
a	a	4.11
ʃ_t	ʃ	4.091
