Aromanian	Corsican	probability
ˈə	ˈi	1.0
ˈa_r	ˈa	1.0
ʧ	ʧ	1.0
ʃ_ˈa	s_ˈe	1.0
ʃ_t	ʃː	1.0
ɨ	-	1.0
ŋ	ŋ	1.0
ç	f	1.0
z	v	1.0
w_ə	v_e	1.0
w	v	1.0
v_r	r	1.0
v	v	1.0
r_ˈa	r_a	1.0
r_t	r_t	1.0
p_t	tː	1.0
m_t	n_t	1.0
k_ʎ	c	1.0
k_ə	kː_a	1.0
k_r	k_r	1.0
i_d	i_d	1.0
e̯ˈa_r	ˈɛ	1.0
e̯a	-	1.0
e	e	1.0
d	d	1.0
f	f	0.876
ˈa	ˈa	0.851
ˈɨ	ˈa	0.838
b	b	0.825
k	k	0.824
p	p	0.815
s	s	0.801
ə	a	0.78
n	n	0.749
u	u	0.744
t	t	0.744
e̯ˈa	ˈɛ	0.702
m	m	0.696
ˈo	ˈɔ	0.692
ˈe	ˈɛ	0.648
ʤ	ɟ	0.648
j	v	0.648
ɡ	ɡ	0.645
o̯ˈa	ˈɔ	0.624
ɲ	m	0.587
ʦ	ʧ	0.585
l	j	0.552
a	-	0.552
r	r	0.539
ʎ	ʎ	0.525
ʃ	-	0.508
ʣ	ɟ	0.489
i	e	0.487
ʎ	-	0.475
l	l	0.448
a	a	0.448
ʣ	d	0.439
ˈi	ˈi	0.415
ɲ	ɲ	0.413
ˈu	ˈu	0.401
ˈu	ˈɔ	0.396
ˈi	ˈɛ	0.383
ɡ	-	0.355
r	-	0.353
ˈe	ˈe	0.352
ʤ	-	0.352
ʃ	s	0.327
ʦ	-	0.272
m	-	0.262
ˈi	-	0.202
j	-	0.199
ˈo	-	0.189
o̯ˈa	-	0.189
o̯ˈa	ˈo	0.187
p	-	0.185
k	p	0.176
b	-	0.175
e̯ˈa	ˈe	0.173
ˈu	ˈo	0.166
ʃ	ʒ	0.165
ˈɨ	-	0.162
t	-	0.159
i	i	0.157
s	-	0.156
j	j	0.152
ˈa	-	0.149
n	-	0.148
i	a	0.13
e̯ˈa	ˈa	0.125
f	-	0.124
i	-	0.12
ˈo	ˈo	0.119
ʦ	t	0.117
u	ˈɔ	0.107
i	u	0.107
t	tː	0.096
r	l	0.089
u	o	0.082
ə	e	0.075
ʣ	ʣ	0.072
ə	-	0.07
u	-	0.067
ə	u	0.056
n	nː	0.055
