Asturian	Gascon	probability
<#_a	<#_a	1.0
<#_b	<#_b	1.0
<#_d	<#_d	1.0
<#_e	<#_e	1.0
<#_f	<#_h	1.0
<#_k	<#_k	1.0
<#_m	<#_m	1.0
<#_n	<#_n	1.0
<#_p	<#_p	1.0
<#_r	a_r	1.0
<#_s	<#_s	1.0
<#_t	<#_t	1.0
<#_ɡ	<#_ɡ	1.0
<#_ɡ_w	<#_w	1.0
<#_ʃ	<#_ʒ	1.0
<#_ʎ	<#_l	1.0
<#_ˈa	<#_ˈa	1.0
<#_ˈe	<#_ˈe	1.0
<#_θ	<#_s	1.0
a_#>	ɔ_#>	1.0
a_ð	a_ð	1.0
d	-	1.0
e_l	e_l	1.0
e_ɾ	e_r	1.0
j	-	1.0
j_#>	j_#>	1.0
j_ˈe_n	ˈe	1.0
k	k	1.0
l_u_#>	w_#>	1.0
n_#>	ŋ_#>	1.0
n_u_#>	ŋ_#>	1.0
p	s	1.0
r_a	r_a	1.0
s_#>	s_#>	1.0
s_k	s_k	1.0
s_p	s_p	1.0
s_t	s_t	1.0
t_u	n_#>	1.0
t_ɾ	t_e	1.0
w_ˈe	ˈɔ	1.0
w_ˈe_β	w	1.0
ð_a	ð_ɔ	1.0
ð_ɾ	j_r	1.0
ŋ_#>	ŋ_#>	1.0
ŋ_k	ŋ_k	1.0
ŋ_ɡ	ŋ	1.0
ɣ	ɣ	1.0
ɣ_u	k	1.0
ɣ_w	ɣ	1.0
ɾ_n	r	1.0
ɾ_t	r_t	1.0
ʃ	j_ʃ	1.0
ʎ_u_#>	t_#>	1.0
ʝ	-	1.0
ʝ_u_#>	ʎ_#>	1.0
ʧ	t	1.0
ˈa	ˈa	1.0
ˈa_l	ˈa_w	1.0
ˈa_n	ˈa	1.0
ˈa_ð	ˈa_ð	1.0
ˈa_ɲ	ˈa_ɲ	1.0
ˈa_ɾ_#>	ˈa_#>	1.0
ˈe_k	ˈe_k	1.0
ˈe_ʝ	ˈe_ʎ	1.0
ˈi_ɣ	ˈi_k	1.0
ˈi_β	ˈi_w	1.0
ˈo_n	ˈu_n	1.0
ˈo_ɾ_#>	ˈu_#>	1.0
ˈu_n	ˈy	1.0
θ_#>	ʦ_#>	1.0
θ_ˈe	j_ʃ	1.0
<#	<#_k	0.111
<#	<#_e	0.111
e	j_ˈe	0.111
o	w	0.111
ˈe	ˈe	0.571
β	w	0.231
a	a	0.722
e	-	0.222
j_ˈe	ˈɛ	0.682
t	-	0.182
ʎ	ɾ	0.2
ˈi	-	0.12
β	β	0.692
e_#>	i_#>	0.103
i	-	0.333
i	i	0.333
i	ˈi	0.333
l	-	0.273
o	-	0.333
θ	s	0.333
<#	<#_a	0.444
u_#>	t_#>	0.14
w	w_ˈe	0.4
ð	e	0.4
ɾ_#>	#>	0.304
ˈe	ˈɛ	0.214
e	e	0.5
l_#>	w_#>	0.5
l_#>	#>	0.5
m	m	0.765
n	ŋ	0.105
s	z	0.385
s	s	0.615
u	k_#>	0.375
u	u	0.625
ɲ	-	0.5
ɲ	ɲ	0.5
ˈu	ˈu	0.235
ˈu	ˈy	0.765
o	u	0.556
u_#>	#>	0.86
w	w	0.6
ð	t	0.6
ɾ	r	0.196
ˈo	ˈa_w	0.206
<#	<#_ˈa	0.167
<#	<#_p	0.167
e	ˈe	0.167
e_#>	e_#>	0.207
l	l	0.727
ɾ	-	0.217
ɾ	ɾ	0.587
ɾ_#>	ˈa_#>	0.087
ˈe	ˈi	0.167
ˈo	w	0.147
β	p	0.077
θ	z	0.667
a	-	0.278
j_ˈe	ˈe	0.318
m	-	0.118
m	nː	0.118
n	-	0.158
n	n_d	0.158
t	t	0.818
ʎ	l	0.8
ˈi	ˈe	0.08
ˈi	ˈi	0.8
ˈo	ˈy	0.088
e_#>	#>	0.69
n	n	0.579
ɾ_#>	e_#>	0.609
ˈo	ˈu	0.559
