Phone1	Phone2	PMI
<#_ʤ	<#_ʒ	11.832
b_ɔ	b_a	11.505
t_ˈa	t_ˈɑː	11.291
ˈa_n	ˈɑː_n	11.254
t_ɔ	t_a	11.16
l_ɔ	l_a	10.94
<#_ʀ	<#_r	10.862
w_#>	f_#>	10.796
ˈe_ʀ	ˈɛ_r	10.613
<#_ˈa	<#_ˈa	10.573
ʀ_ɔ	r_a	10.533
ʧ_ɔ	k_a	10.499
<#_ɡ	<#_ɡ	10.486
ʀ_#>	n_#>	10.411
<#_d	<#_d	10.322
ˈỹ_ŋ	ˈỹ	10.148
ˈi_#>	ˈi_#>	10.102
ˈe_l	ˈɛ_l	10.055
<#_n	<#_n	10.009
k_#>	k_#>	9.873
ʀ_ə	e_r	9.869
<#_b	<#_b	9.799
<#_l	<#_l	9.689
ɡ	ɡ_w	9.665
ˈa_#>	ˈa_#>	9.489
ˈĩ_ŋ	ˈĩ	9.267
<#_v	<#_v	9.187
l_#>	l_#>	9.161
ˈũ_ŋ	ˈũ	9.148
<#_m	<#_m	9.138
<#_k	<#_k	9.09
w_ˈɔ̃_ŋ	ˈũ	9.039
<#_ʧ	<#_k	8.965
<#_f	<#_f	8.903
<#_p	<#_p	8.845
s_#>	s_#>	8.517
ʎ_ˈy	ˈyː	8.416
<#_s	<#_s	8.193
ˈã_ŋ	ˈã	8.16
ɒ_ʀ	a_r	8.147
s_ɔ	s_a	8.028
ˈu_#>	ˈuː_r_#>	7.992
<#_s	<#_ʧ	7.901
d_ɔ	d_a	7.741
ˈɪ_n	ˈeː_n	7.676
ˈe_j	ˈɑː_d	7.57
ɔ_#>	a_#>	7.564
w_ˈɔ	ˈøː	7.551
ˈi_n	ˈiː_n	7.481
ə_#>	ˈɛ_#>	7.413
ʀ_#>	r_t_#>	7.382
<#_ʤ	<#_ʤ	7.378
<#_œ	<#_u	7.286
#>	t_#>	7.096
m_ɔ	m_a	7.06
<#_t	<#_t	6.778
ʎ_#>	ʧ_#>	6.707
ˈa_w	ˈɔ_l	6.687
ˈã_ŋ	ˈã_t	6.519
n_ɔ	n_a	6.479
ˈẽ_ŋ	ˈẽ	6.465
w_ˈɔ	ˈɔ	6.397
s_#>	i_#>	6.222
u	u	6.177
ˈa_w	ˈoː	6.112
l	j	6.11
ˈɪ	ˈe	6.097
ə_#>	r_#>	5.836
<#	<#_l	5.823
<#	<#_v	5.653
<#	<#_ĩ	5.524
j_ˈɔ	ˈøː	5.382
b_ʀ	v	5.322
ˈu	ˈuː	5.205
mʲ	m	5.143
d	d	5.098
s	z	4.901
ˈa	ˈɑː	4.811
ɪ_p	p	4.768
ˈe	ˈɛ_s	4.767
u	y	4.741
ˈœ	ˈøː	4.689
ɪ	s	4.594
t	t	4.527
ˈu	ˈy	4.496
ˈe	ˈɛ	4.419
w_ˈɔ	ˈu	4.381
ˈi	ˈi	4.375
ˈœ_j_#>	ˈɔ_t_#>	4.323
ʎ	ʒ	4.315
ˈẽ_ŋ	ˈẽ_t	4.163
ˈa	ˈa	4.161
ˈy_ʀ_ə	ˈyː_r	4.129
ˈu_s	ˈu_s	4.075
ʀ	r	4.048
vʲ	v	4.026
<#_ɒ	<#_a	3.881
t_ə	t_e	3.88
ʀ_ˈɪ	r_ˈeː	3.83
l_ˈa	l_ˈa	3.79
ˈe_j_s	ˈa_s	3.739
m	m	3.738
ʎ_ɔ	ʤ_a	3.708
fʲ	f	3.693
b_l	b_j	3.635
ˈa_s	ˈɑː_s	3.634
n	n	3.624
ˈu	ˈu	3.624
ˈɪ	ˈeː	3.598
<#_ˈa	<#_ˈoː	3.584
ˈa_#>	ˈɑː_r_#>	3.584
ˈɪ	ˈiː	3.533
ʎ_ɔ	j_a	3.513
ɒ	a	3.411
<#_ʧ	<#_t	3.293
ə	e	3.261
e_#>	#>	3.253
ˈa_w	ˈa_l	3.211
ə	i	3.194
ˈe	ˈeː	3.194
<#_dʲ	<#_d	3.056
<#	<#_s	3.039
<#_z	<#_l	3.009
ˈɪ̃_ŋ	ˈẽ	2.991
vʲ_ˈĩ	ˈĩ	2.951
<#_vʲ	<#_v	2.917
t	t_e	2.891
w_ˈɔ	ˈɔ_s	2.882
ɒ	e	2.842
s	s	2.736
<#	<#_ʤ	2.633
ˈy_ʀ	ˈyː	2.602
ˈu	ˈuː_r	2.555
ʀ_#>	r_#>	2.536
ˈe_j	ˈeː	2.452
k_l	ʧ	2.445
d	t	2.378
#>	ˈi_#>	2.31
ˈe	ˈɛ_r	2.297
ʎ	ʤ	2.286
ˈɔ_m	m	2.177
ˈi	ˈiː	2.155
<#	<#_t	2.105
ˈɪ	ˈɛ	2.07
ʀ_ə	ˈɛ	1.953
#>	ʧ_#>	1.927
<#	<#_ʧ	1.92
ʎ	j	1.89
ˈe_j	ˈɛ	1.889
v	v	1.888
ʀ_ˈe	r	1.881
<#	<#_n	1.87
ʀ	r_a	1.829
ʧ	k	1.823
ɡ	ɡ	1.796
ˈy	ˈyː	1.781
z	d	1.766
ˈe_j	ˈa	1.712
l_ɔ	l	1.702
k	k	1.689
#>	s_#>	1.658
j	s	1.632
dʲ	d	1.605
ˈɛ	ˈɛ	1.581
<#_w	<#	1.332
