Bellunese	Asturian	probability
ʧ	ʝ	1.0
ɲ	-	1.0
s_e	θ_ˈe	1.0
s_#>	θ_#>	1.0
r_o	ɾ_u	1.0
r_#>	ɾ_#>	1.0
p_j	ʎ	1.0
p	p	1.0
m	m	1.0
l_#>	l_#>	1.0
k_#>	k_u_#>	1.0
e_#>	#>	1.0
<#_θ	<#_θ	1.0
<#_ˈe	<#_ˈe	1.0
<#_ʧ	<#_ʎ	1.0
<#_ɡ	<#_ɡ	1.0
<#_t	<#_t	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
<#	<#_ɡ	1.0
k	k	0.944
s	s	0.92
a	a	0.919
ˈi	ˈi	0.857
f	f	0.833
ˈa	ˈa	0.782
r	ɾ	0.775
ˈe	ˈe	0.757
b	b	0.733
n	n	0.731
#>	u_#>	0.714
ˈo	ˈo	0.686
t	t	0.679
θ	θ	0.667
ˈu	ˈu	0.667
z	θ	0.667
w	w	0.667
ˈɛ	j_ˈe	0.647
ˈɔ	w_ˈe	0.647
ð	ʃ	0.625
l	ʎ	0.621
i	-	0.571
j	-	0.545
o	u	0.5
e	e	0.5
d	d	0.478
v	β	0.464
v	b	0.464
ɡ	ɣ	0.462
j	j	0.455
i	i	0.429
ŋ	n	0.424
ŋ	ŋ	0.394
ð	-	0.375
ˈɔ	ˈo	0.353
θ	t	0.333
ˈu	-	0.333
z	s	0.333
w	-	0.333
l	l	0.31
e	-	0.308
o	o	0.306
#>	e_#>	0.286
d	ð	0.261
d	-	0.261
ˈɛ	ˈe	0.235
ɡ	ɡ	0.231
f	-	0.167
ɡ	ˈe	0.154
ɡ	-	0.154
n	ɲ	0.154
ˈo	w_ˈe	0.143
ˈi	-	0.143
o	e	0.139
b	β	0.133
b	f_e	0.133
ˈɛ	ɾ_m	0.118
n	-	0.115
e	ˈe	0.115
ˈo	ˈu	0.114
ˈe	j_ˈe	0.108
t	ð	0.107
ˈa	a	0.091
ŋ	m	0.091
ŋ	-	0.091
ˈe	e	0.081
s	ʃ_u	0.08
e	l	0.077
r	r	0.075
v	-	0.071
t	ʧ_e	0.071
t	ʧ	0.071
t	d	0.071
l	ˈo	0.069
ˈo	w	0.057
o	-	0.056
k	-	0.056
ˈa	ˈe	0.055
ˈe	-	0.054
