Phone1	Phone2	Surprisal	OOV_Smoothed
#>	ə_#>	0.0	4.763
<#	<#_a	0.737	4.763
<#	<#_w	1.322	4.763
<#_l	<#_l	0.0	4.763
<#_n	<#_n	0.0	4.763
<#_r	<#_r	0.0	4.763
<#_t	<#_t	0.0	4.763
<#_ɡ	<#_ɡ	0.0	4.763
<#_ˈa	<#_ˈa	0.0	4.763
<#_ˈɔ	<#_ˈɔ	0.0	4.763
a	ə	0.328	4.763
a	a	2.298	4.763
b	v	1.0	4.763
b	b	1.263	4.763
b	bː	3.585	4.763
d	d	1.263	4.763
d	t	1.778	4.763
d	ɾ	2.585	4.763
d	-	3.0	4.763
e	ə	0.61	4.763
e	i	2.273	4.763
e	e	3.858	4.763
e	ɾ	3.858	4.763
e_n	ə_n	0.0	4.763
f	f	0.181	4.763
f	-	3.087	4.763
f_j	ʃ	0.0	4.763
i	i	0.807	4.763
i	-	1.222	4.763
j	j	0.848	4.763
j	ʎː	1.17	4.763
j_ˈe	ˈɛ	0.0	4.763
k	k	0.303	4.763
k	kː	3.209	4.763
k	k_w	3.624	4.763
l	l	1.115	4.763
l	lː	1.241	4.763
l	-	3.115	4.763
m	m	0.16	4.763
m	mː	3.248	4.763
m_a	m_ə	0.0	4.763
n	n	0.497	4.763
n	nː	2.585	4.763
n	-	3.0	4.763
o	ə	0.791	4.763
o	u	2.492	4.763
o	j_ə	3.492	4.763
o	o	3.907	4.763
o	a_w	4.492	4.763
o	i	4.492	4.763
p	p	0.0	4.763
p_j	k_j	0.0	4.763
r	ɾ	0.405	4.763
r	r	2.615	4.763
r	-	4.615	4.763
r	rː	4.615	4.763
r_#>	#>	0.0	4.763
r_e	t_ɾ	0.0	4.763
r_t	ɾ_t	0.0	4.763
s	s	0.497	4.763
s	ʃ	2.585	4.763
s	ʃː	3.0	4.763
s_#>	sː_ə_#>	0.0	4.763
t	t	0.771	4.763
t	tː	1.399	4.763
u	u	0.0	4.763
v	v	0.453	4.763
v	p	2.7	4.763
v	-	3.115	4.763
v_ˈe	v	0.0	4.763
w	w	0.678	4.763
w	-	1.415	4.763
z	ʃ	0.737	4.763
z	-	1.737	4.763
z	z	3.322	4.763
z_a	s_ə	0.0	4.763
ð	ʤ	1.0	4.763
ð	-	2.0	4.763
ð	j	2.0	4.763
ŋ	n	0.784	4.763
ŋ	ŋ	2.147	4.763
ŋ	-	3.954	4.763
ŋ	mː	3.954	4.763
ŋ	ɲː	3.954	4.763
ɡ	k	0.652	4.763
ɡ	ɡ	1.459	4.763
ɲ	ɲː	0.585	4.763
ɲ	ɲ	1.585	4.763
ʤ	ɲː	0.0	4.763
ʧ	kː	0.485	4.763
ʧ	k_j	1.807	4.763
ˈa	ˈa	0.0	4.763
ˈe	ˈi	1.054	4.763
ˈe	ˈe	1.295	4.763
ˈe	ˈɛ	3.17	4.763
ˈe_r_#>	ˈɛ_#>	0.0	4.763
ˈe_ŋ	ˈɛ_n	0.0	4.763
ˈi	ˈi	0.144	4.763
ˈi	i	3.392	4.763
ˈo	ˈu	1.459	4.763
ˈo	w_ˈɔ	1.722	4.763
ˈo	ˈo	2.044	4.763
ˈo	ˈɔ	3.459	4.763
ˈu	ˈu	0.0	4.763
ˈɔ	ˈɔ	0.322	4.763
ˈɔ	ˈu	2.322	4.763
ˈɛ	j_ˈɛ	0.885	4.763
ˈɛ	ˈɛ	1.415	4.763
ˈɛ	ˈe	3.585	4.763
θ	ʃ	0.547	4.763
θ	ʃː	2.663	4.763
θ	ʦ	3.248	4.763
θ	ʧː	4.248	4.763
