Bellunese	Neapolitan	probability
θ_a	ʦ_ə	1.0
ˈɛ_r	ˈɛ_ɾ	1.0
ˈɔ_ʧ	ˈu_kː	1.0
ˈɔ_r	ˈɔ_ɾ	1.0
ˈu	ˈu	1.0
ˈi	ˈi	1.0
ˈe_ŋ	ˈɛ_n	1.0
ˈe_r_a	ˈi_ɾ	1.0
ˈe_r_#>	ˈɛ_#>	1.0
ʧ_o	kː_j	1.0
ʧ	j	1.0
ɲ	ɲː	1.0
ɡ_o	k	1.0
ɡ	k	1.0
ŋ_ɡ	ŋ_ɡ	1.0
ŋ_t	n_t	1.0
ŋ_k_w	ŋ_k	1.0
z_e_#>	ʃ_ə_#>	1.0
w	w	1.0
v_o	v	1.0
u	u	1.0
t_#>	tː_ə_#>	1.0
s_t	s_t	1.0
s_e	ʃː_ə	1.0
s	ʃ	1.0
r_ˈa	ɾ_ˈa	1.0
r_o	ɾ	1.0
r_e	ɾ	1.0
p_j	j	1.0
p	p	1.0
o_l	u_l	1.0
l	sː	1.0
f_<#	<#	1.0
e_r	ə_ɾ	1.0
e_n	ə_n	1.0
d_e	ɾ	1.0
b	v	1.0
a_#>	ə_#>	1.0
<#_θ	<#_ʃ	1.0
<#_ˈa	<#_ˈa	1.0
<#_ɡ	<#_ɡ	1.0
<#_v	<#_v	1.0
<#_t	<#_t	1.0
<#_s	<#_s	1.0
<#_r	<#_r	1.0
<#_p	<#_p	1.0
<#_n	<#_n	1.0
<#_m	<#_m	1.0
<#_l	<#_l	1.0
<#_k	<#_k	1.0
<#_f	<#_f	1.0
<#_d	<#_d	1.0
#>	ə_#>	1.0
ˈa	ˈa	0.93
ŋ_#>	n_ə_#>	0.857
t	t	0.786
m	m	0.778
d	t	0.778
n	n	0.739
k	k	0.727
z	ʃ	0.667
s_#>	sː_ə_#>	0.667
a	a	0.667
<#_ˈɔ	<#_ˈɔ	0.667
o_#>	ə_#>	0.625
θ	ʃː	0.6
ŋ	-	0.6
r	ɾ	0.6
<#_ð	<#_ʤ	0.6
ˈɛ	j_ˈɛ	0.591
ˈɔ	w_ˈɔ	0.571
i	i	0.571
r_#>	#>	0.567
<#_b	<#_b	0.556
l_#>	lː_ə_#>	0.526
ˈe	ˈe	0.5
o	u	0.5
j_ˈe	ˈɛ	0.5
j_ˈe	j_ˈɛ	0.5
e	-	0.5
l_#>	l_ə_#>	0.474
v	p	0.444
<#_b	<#_v	0.444
r_#>	ɾ_ə_#>	0.433
ˈɔ	ˈɔ	0.429
j	ʎː	0.429
i	-	0.429
ˈe	ˈi	0.417
θ	ʃ	0.4
ŋ	ŋ	0.4
<#_ð	<#_j	0.4
ˈo	ˈu	0.389
<#	<#_a	0.389
e	i	0.375
z	s	0.333
v	v	0.333
s_#>	ʃ_ə_#>	0.333
<#_ˈɔ	<#_w	0.333
r	r	0.32
ˈɛ	ˈɛ	0.318
j	ʃ	0.286
j	-	0.286
ˈo	w_ˈɔ	0.278
<#	<#_k	0.278
k	kː	0.273
ˈo	ˈo	0.25
o_#>	#>	0.25
v	-	0.222
m	mː	0.222
d	ɾ	0.222
<#	<#_j	0.222
t	tː_ə	0.214
a	-	0.2
o	ə	0.167
o	w	0.167
o	o	0.167
ŋ_#>	mː_ə_#>	0.143
a	ə	0.133
o_#>	j_ə_#>	0.125
e	e	0.125
<#	<#_v	0.111
ˈɛ	ˈe	0.091
n	nː_ə	0.087
n	nː	0.087
n	-	0.087
ˈo	ˈɔ	0.083
ˈe	ə	0.083
r	rː	0.08
ˈa	ˈa_t	0.07
