Phone1	Phone2	Surprisal
a	ə	0.01
a	a	7.129
b	b	0.0
d	d	0.273
d	-	2.536
e	-	0.993
e	ə	1.321
e	r	3.36
e_r	r	0.923
e_r	ə_r	1.081
f	f	0.0
i	-	0.424
i	s	1.973
j	-	1.489
j	l	1.98
j	ʎ	2.278
j	j	2.443
j_ˈe	ˈiə̯	0.0
k	ʨ	0.573
k	k	1.61
k_o	k_o	0.0
l	l	0.0
m	m	0.0
n	n	0.0
o	u	0.822
o	ə	2.667
o	o	2.798
o	r	2.91
p	p	0.0
r	r	0.159
r	ə	3.258
r_a	r_ə	0.0
r_n	r_n	0.0
r_o	r	0.931
r_o	w_r	1.072
s	s	0.555
s	ʃ	1.648
s_e	ʃ_ə	0.0
s_ˈa	s_ˈa	0.0
t	t	0.301
t	ʨ	3.044
t	-	3.903
u	i	0.0
v	v	0.126
v	f	3.577
w	-	0.807
w	w	1.222
z	ʃ	0.553
z	-	1.651
ð	ʥ	0.852
ð	ʃ	1.165
ŋ	n	0.494
ŋ	w_n	2.432
ŋ	ŋ	3.256
ŋ_ɡ	ŋ	0.0
ɡ	ɡ	0.965
ɡ	-	1.958
ɡ	ʥ	2.12
ɲ	ɲ	0.0
ʤ	ɡ_l	0.0
ʧ	ʎ	0.521
ʧ	k_l	1.722
ˈa	ˈa	1.138
ˈa	ˈaː	1.156
ˈa	ˈɔ	3.372
ˈe	ˈa_j	0.93
ˈe	ˈɛ	2.067
ˈe	ˈe	2.79
ˈe	ˈeː	3.443
ˈi	ˈiː	1.113
ˈi	ˈi	1.312
ˈi	-	2.887
ˈo	ˈu	1.007
ˈo	ˈuː	1.6
ˈo	-	2.537
ˈo_s	ˈuɔ̯	0.0
ˈo_ɡ	j_ˈɛ	0.0
ˈu	ˈiː	1.562
ˈu	ˈu	1.565
ˈu	ˈi	1.629
ˈɔ	ˈa	1.602
ˈɔ	ˈɔ	1.843
ˈɔ	ˈɔː	1.85
ˈɔ	ˈu	3.126
ˈɔ_t	ˈo_ʨ	0.0
ˈɛ	ˈɛ	1.224
ˈɛ	ˈɛː	1.761
ˈɛ	-	2.683
ˈɛ	ˈiə̯	3.044
ˈɛ_l	ˈɛː	0.0
θ	ʧ	0.58
θ	-	1.595
