Phone1	Phone2	PMI
ˈa_k	ˈa_k	10.804
ˈi_#>	ˈi_#>	10.804
ˈa_#>	ˈa_#>	10.609
a_v	a_v	10.414
r_ˈe	r_ˈe	10.219
r_e	r_e	10.219
o_r	o_r	10.081
v_o	v_o	9.835
θ_a	s_a	9.369
<#_ˈa	<#_ˈa	9.169
<#_r	<#_r	9.145
ɲ	ɲ	8.312
ˈɛ_l	ˈɛ_o	7.783
ʧ	ʧ	7.622
i	i	7.571
w	w	7.483
ˈi	ˈi_#>	7.42
r_n	r_n	7.212
ˈɛ_s	ˈɛ_s	7.212
ˈi_a	ˈi_a	7.205
s_ˈo	s_ˈo	7.205
n_ˈa	n_ˈa	7.205
<#_o	<#_o	7.205
r_ˈo	r_ˈo	7.192
r_t	r_t	7.017
e_n	e_n	7.01
ˈo_l	ˈo_l	6.997
r_ˈa	r_ˈa	6.997
ˈu	ˈu	6.974
r_θ	r_s	6.914
ˈe_r	ˈe_r	6.859
<#_a	<#_a	6.822
z_a	z_a	6.684
t_a	t_a	6.677
b	b	6.625
s_ˈa	s_ˈa	6.545
f	f	6.316
a_r	a_r	6.223
j	j	6.157
ˈa	ˈa_#>	6.099
p	p	6.091
ɡ	ɡ	6.071
e_r	a_r	6.023
ˈɔ	ˈɔ	6.008
d	d	5.876
r_a	r_a	5.771
ˈa	<#_ˈa	5.766
z	z	5.737
s_#>	s_o_#>	5.735
ˈi	ˈi	5.688
ˈi_#>	ˈi	5.688
m	m	5.678
ð	z	5.61
ˈɛ	ˈɛ	5.582
r_o	r_o	5.556
ŋ	ŋ	5.477
n	n	5.43
v	v	5.359
ˈe	ˈe	5.352
r	<#_r	5.333
ˈo	ˈo	5.324
k	k	5.273
t	t	5.213
ˈe_l	ˈe_o	5.061
k_#>	k_o_#>	4.92
e	e	4.688
s	s	4.629
θ	s	4.617
l	l	4.563
<#_ˈa	ˈa	4.529
ˈa	ˈa	4.529
ˈa_#>	ˈa	4.529
o	<#_o	4.426
#>	ˈa_#>	4.261
#>	ˈi_#>	4.261
s_#>	s	4.254
ˈe	<#_ˈe	4.147
a	a	4.114
l	ɰ	4.073
<#_r	r	4.067
r	r	4.067
<#	<#_ˈa	3.997
<#	<#_r	3.994
o	o	3.98
ˈɛ	ˈɛ_o	3.792
n_ˈo	n_ˈo	3.613
ˈa_t	ˈa_t	3.599
o_n	o_n	3.593
ˈe_v	ˈe_v	3.593
s	s_o_#>	3.55
a	<#_a	3.498
k_#>	k	3.468
k_r	k_r	3.418
ˈo_r	ˈo_r	3.418
ˈi_r	ˈi_r	3.404
ˈi_o	ˈi_o	3.404
ˈɛ_r	ˈɛ_r	3.404
<#_ˈe	<#_ˈe	3.404
ˈa_v	ˈa_v	3.404
ˈa_l	ˈa_l	3.398
e	r_e	3.357
s_#>	z_e_#>	3.324
k_o	k_o	3.266
j_ˈe	j_ˈɛ	3.246
k	ˈa_k	3.243
v	a_v	3.186
θ	s_a	3.091
v	v_o	2.997
z	z_a	2.948
s_#>	z	2.911
ˈe	r_ˈe	2.869
l_ˈa	ɰ_ˈa	2.771
<#_a	a	2.725
#>	#>	2.701
<#	<#	2.701
<#_o	o	2.676
o_l	o_ɰ	2.633
o	v_o	2.6
<#	<#_o	2.5
ˈa	ˈa_k	2.499
o	o_r	2.456
k	k_o_#>	2.227
θ	r_s	2.209
ˈi	ˈi_a	2.195
ˈɛ	ˈɛ_s	2.174
<#	<#_a	2.084
r	r_e	2.07
a	a_v	2.05
s	z	2.006
ˈe	ˈɛ	2.003
ˈo_l	l	1.991
ˈɛ_l	ˈɛ	1.982
<#	<#_ˈe	1.959
n	n_ˈa	1.95
s	z_e_#>	1.885
r_ˈe	ˈe	1.884
ˈe_l	ˈe	1.884
n_#>	n	1.877
ˈe	ˈe_r	1.875
<#_ˈe	ˈe	1.875
n	r_n	1.858
ˈo	s_ˈo	1.835
ˈo	r_ˈo	1.805
v_o	v	1.759
a_v	v	1.759
n	e_n	1.755
t_#>	t	1.752
l	ˈɛ_o	1.71
s	ˈɛ_s	1.704
ˈa_k	k	1.673
s	s_ˈo	1.667
t	r_t	1.663
t	d_o	1.652
n_#>	n_o_#>	1.639
t	t_a	1.625
l	ˈɛ	1.617
ˈo	ˈo_l	1.61
e	e_n	1.596
t	d	1.579
r	o_r	1.542
ˈɛ	o	1.538
l	ˈo_l	1.502
r	r_ˈe	1.485
s	s_ˈa	1.427
ˈo	ˈɔ	1.386
ˈe	ˈe_o	1.347
j	ʤ_o	1.326
ˈa	n_ˈa	1.319
ˈa	r_ˈa	1.234
r_e	e	1.203
j_o	ʤ_o	1.202
t_#>	t_e_#>	1.201
o	ʤ_o	1.158
a	ˈi_a	1.081
#>	s_o_#>	1.063
z_a	z	1.04
ˈi_a	ˈi	1.032
l	<#_ˈe	1.029
θ_a	s	1.017
r	ˈe_r	1.001
r	r_ˈo	1.001
r	r_ˈa	1.001
r	r_n	0.987
r	r_t	0.987
ˈa	s_ˈa	0.968
ˈɛ_s	ˈɛ	0.942
a	s_a	0.942
ˈa_k	ˈa	0.929
ˈo	l	0.915
a	t_a	0.886
e_n	n	0.843
n_ˈa	n	0.843
r	a_r	0.832
ˈe_r	ˈe	0.818
t_a	t	0.81
r_ˈo	ˈo	0.81
ˈo_l	ˈo	0.81
r	r_s	0.793
s_ˈo	ˈo	0.771
a	z_a	0.754
