Phone1	Phone2	Surprisal
a	a	0.758
a	ˈa	2.146
a	-	2.451
b	v	0.867
b	b	1.147
d	d	0.527
d	t	2.467
d	-	2.998
e	e	1.11
e	-	1.898
e	i	1.898
e_s	s	0.0
e_ʃ	s	0.0
ẽ	e	0.0
f	f	0.0
h	r	0.083
h	e_r	4.164
i	e	1.11
i	o	1.746
i	i	3.063
i	-	3.073
ĩ	i_ŋ	0.0
j	-	0.874
j	z_e	2.075
j	e	2.203
j_ɐ	n_a	0.0
j̃	ŋ	1.17
j̃	n	1.239
j̃	ɲ	2.923
k	k	0.0
l	l	0.0
m	m	0.102
m	-	3.872
n	n	0.0
o	o	0.0
õ	o	0.0
p	p	0.0
s	s	0.912
s	θ	1.094
t	t	0.0
u	o	0.474
u	ŋ	2.773
u	o_l	2.902
ũ	-	0.0
v	v	0.0
w	l	1.044
w	-	1.633
w	w	2.376
w_ɐ	w_a	0.0
w̃	ŋ	0.0
z	z	1.115
z	-	1.531
z	d	2.378
ɐ	a	0.121
ɐ	n_a	3.635
ɐ̃	a_ŋ	0.0
ɡ	ɡ	0.115
ɡ	k	3.709
ɦ	r	0.0
ɦ_v	r_b	0.0
ɾ	r	0.327
ɾ	-	3.078
ɾ	r_ˈe	3.568
ɾ_u	r_o	0.0
ɾ_ɐ	r_a	0.0
ʃ	s	0.239
ʃ	ʧ	3.823
ʃ	p_j	4.273
ʃ	f_j	5.053
ʎ	ʧ	0.897
ʎ	-	1.945
ʎ	j	2.297
ʒ	ð	0.331
ʒ	z	2.285
ʤ	-	0.977
ʤ	d	1.023
ʧ	t	0.0
ˈa	ˈa	0.0
ˈe	ˈe	0.447
ˈe	e	2.651
ˈe	ˈɛ	4.054
ˈe	ˈi	4.414
ˈe_j	ˈɛ	0.564
ˈe_j	ˈa	1.628
ˈe_w	ˈi_o	0.0
ˈẽ	ˈe	0.639
ˈẽ	ˈe_ŋ	2.22
ˈẽ	ˈɛ_n	2.805
ˈi	ˈi	0.494
ˈi	-	1.786
ˈĩ	ˈi	0.226
ˈĩ	ˈi_ŋ	2.784
ˈo	ˈo	0.307
ˈo	ˈɔ	2.385
ˈo_j	ˈɔ	0.0
ˈõ	ˈo_ŋ	0.0
ˈu	ˈu	0.402
ˈu	ˈo	2.041
ˈũ	ˈu	0.0
ˈũ_j̃	ʤ	0.0
ˈɐ̃	ˈa	0.506
ˈɐ̃	ˈa_ŋ	2.732
ˈɐ̃	ˈo	3.756
ˈɐ̃	ˈa_n	3.809
ˈɔ	ˈo	0.483
ˈɔ	ˈɔ	1.814
ˈɛ	ˈɛ	0.743
ˈɛ	j_ˈe	1.668
ˈɛ	ˈe	3.512
