Brazilian Portuguese	Brazilian Portuguese	probability
ˈɛ	ˈɛ	1.0
ˈɔ	ˈɔ	1.0
ˈɐ̃	ˈɐ̃	1.0
ˈũ	ˈũ	1.0
ˈu	ˈu	1.0
ˈõ	ˈõ	1.0
ˈo	ˈo	1.0
ˈĩ	ˈĩ	1.0
ˈi	ˈi	1.0
ˈẽ	ˈẽ	1.0
ˈe	ˈe	1.0
ˈa	ˈa	1.0
ʧ	ʧ	1.0
ʤ	ʤ	1.0
ʒ	ʒ	1.0
ʎ	ʎ	1.0
ʃ_u	ʃ_u	1.0
ʃ	ʃ	1.0
ɾ	ɾ	1.0
ɦ	ɦ	1.0
ɡ	ɡ	1.0
ɐ̃	ɐ̃	1.0
ɐ_ʃ	ɐ_ʃ	1.0
ɐ	ɐ	1.0
z	z	1.0
w̃	w̃	1.0
w	w	1.0
v	v	1.0
ũ	ũ	1.0
u	u	1.0
t	t	1.0
s	s	1.0
p	p	1.0
õ	-	1.0
o	o	1.0
n	n	1.0
m	m	1.0
l	l	1.0
k	k	1.0
j̃	j̃	1.0
j	j	1.0
ĩ	-	1.0
i	i	1.0
h_k	h_k	1.0
h	h	1.0
f	f	1.0
ẽ	ẽ	1.0
e	e	1.0
d	d	1.0
b	b	1.0
a	a	1.0
