Phone1	Phone2	Surprisal	OOV_Smoothed
<#	<#_p	1.222	4.954
<#	<#_f	1.807	4.954
<#	<#_s	1.807	4.954
<#_a	<#_a	-0.0	4.954
<#_b	<#_b	-0.0	4.954
<#_d	<#_d	-0.0	4.954
<#_e	<#_s	-0.0	4.954
<#_f	<#_f	-0.0	4.954
<#_h	<#_r	-0.0	4.954
<#_k	<#_k	-0.0	4.954
<#_l	<#_l	-0.0	4.954
<#_m	<#_m	-0.0	4.954
<#_n	<#_n	-0.0	4.954
<#_p	<#_p	-0.0	4.954
<#_s	<#_s	0.644	4.954
<#_s	<#_θ	1.474	4.954
<#_t	<#_t	-0.0	4.954
<#_v	<#_v	-0.0	4.954
<#_ɡ	<#_ɡ	-0.0	4.954
<#_ʃ	<#_ʧ	-0.0	4.954
<#_ʒ	<#_ð	-0.0	4.954
<#_ʤ	<#_d	-0.0	4.954
<#_ˈa	<#_ˈaː	-0.0	4.954
<#_ˈo	<#_ˈɔ	-0.0	4.954
<#_ˈũ	<#_ˈo	-0.0	4.954
a	a	0.459	4.954
a	-	1.874	4.954
a_b	a_v	-0.0	4.954
a_d	a_d	-0.0	4.954
a_ɾ	r	-0.0	4.954
b	v	-0.0	4.954
d	d	1.0	4.954
d	t	1.585	4.954
d	ɡ	2.585	4.954
d_u_#>	d_#>	-0.0	4.954
e	-	2.0	4.954
e	a_r	2.0	4.954
e	e	2.0	4.954
e	t	2.0	4.954
ẽ	e_n	-0.0	4.954
h	r	0.363	4.954
h	-	2.17	4.954
h_#>	r_#>	-0.0	4.954
i	-	0.322	4.954
i	i	2.322	4.954
i_#>	v_#>	0.585	4.954
i_#>	d_#>	1.585	4.954
ĩ	i	-0.0	4.954
j	-	1.0	4.954
j	ð	1.0	4.954
j_ʃ	s	-0.0	4.954
j_ʃ_#>	z_#>	0.737	4.954
j_ʃ_#>	#>	1.322	4.954
j̃	ɲ	1.0	4.954
j̃	-	2.0	4.954
j̃	ŋ	2.0	4.954
k	k	-0.0	4.954
k_u_#>	k_#>	-0.0	4.954
l	-	-0.0	4.954
l_ɐ	l_a	-0.0	4.954
m	m	-0.0	4.954
m_i_#>	m_#>	-0.0	4.954
n	n	-0.0	4.954
o	u	0.322	4.954
o	-	2.322	4.954
p	p	-0.0	4.954
s	θ	1.115	4.954
s	s	1.379	4.954
s	-	2.7	4.954
s_e	z	-0.0	4.954
s_ˈe	s_e	-0.0	4.954
t	t	-0.0	4.954
u	u	-0.0	4.954
u_#>	#>	0.132	4.954
u_#>	l_#>	3.511	4.954
v	v	1.1	4.954
v	b	1.907	4.954
v	-	2.907	4.954
v	j	2.907	4.954
w	w	-0.0	4.954
w_#>	l_#>	-0.0	4.954
w̃_#>	ŋ_#>	-0.0	4.954
z	-	1.0	4.954
z	z	1.0	4.954
ɐ_#>	a_#>	0.142	4.954
ɐ_#>	#>	3.415	4.954
ɐ̃	a_ŋ	-0.0	4.954
ɡ	ɡ	-0.0	4.954
ɡ_u_#>	ɡ_#>	-0.0	4.954
ɦ	r_e	0.807	4.954
ɦ	r	1.222	4.954
ɾ	r	0.396	4.954
ɾ	e_r	2.644	4.954
ɾ	-	3.644	4.954
ɾ_i	e_r	-0.0	4.954
ɾ_ˈe	r_ˈiː	-0.0	4.954
ɾ_ˈɐ̃	r_ˈa	-0.0	4.954
ʃ	j	-0.0	4.954
ʃ_#>	#>	-0.0	4.954
ʃ_p	p	-0.0	4.954
ʃ_t	s_t	1.0	4.954
ʃ_t	t	1.0	4.954
ʎ	j	0.807	4.954
ʎ	ʧ	1.222	4.954
ʎ_u_#>	ʧ_#>	-0.0	4.954
ʤ	-	-0.0	4.954
ʧ_i_#>	t_#>	-0.0	4.954
ˈa	ˈɛ	0.495	4.954
ˈa	ˈaː	2.954	4.954
ˈa	-	3.369	4.954
ˈa	j_ˈɛ	3.954	4.954
ˈa_t	ˈaː_t	-0.0	4.954
ˈa_w	ˈɛ_l	-0.0	4.954
ˈa_ɡ	ˈɛ_ɡ	-0.0	4.954
ˈe	ˈa	2.0	4.954
ˈe	ˈa_j	2.0	4.954
ˈe	ˈɛ	2.0	4.954
ˈe	ˈiː	2.485	4.954
ˈe	e	3.807	4.954
ˈe_j	ˈaː	1.0	4.954
ˈe_j	ˈɛ	1.0	4.954
ˈẽ	ˈæ_ŋ	0.848	4.954
ˈẽ	ˈa	1.17	4.954
ˈi	ˈe	0.585	4.954
ˈi	ˈiː	1.585	4.954
ˈi_ʎ	j_ˈɔː	-0.0	4.954
ˈĩ	ˈe_ŋ	0.585	4.954
ˈĩ	ˈiː	1.585	4.954
ˈĩ_j̃	ˈe_ŋ	-0.0	4.954
ˈo	ˈɔː	2.0	4.954
ˈo	ˈuː	2.263	4.954
ˈo	ˈo	3.0	4.954
ˈo	ˈɔ	3.0	4.954
ˈo	ˈʌu̯	3.0	4.954
ˈo	-	3.585	4.954
ˈo	ˈʌ	3.585	4.954
ˈo_b	ˈʌu̯_v	-0.0	4.954
ˈo_w	ˈɔː	-0.0	4.954
ˈo_ʃ	ˈʌ_s	-0.0	4.954
ˈõ	ŋ	2.0	4.954
ˈõ	ˈo_ŋ	2.0	4.954
ˈõ	ˈɔ	2.0	4.954
ˈõ	ˈʌ	2.0	4.954
ˈu	ˈuː	0.737	4.954
ˈu	-	2.322	4.954
ˈu	ˈo	2.322	4.954
ˈũ	ˈo	-0.0	4.954
ˈɐ̃	ˈa	1.515	4.954
ˈɐ̃	ˈa_ŋ	2.0	4.954
ˈɐ̃	ˈaː	2.737	4.954
ˈɐ̃	ˈɛ	2.737	4.954
ˈɐ̃	ˈʌ	3.322	4.954
ˈɐ̃_j̃	ˈaː_ɲ	-0.0	4.954
ˈɔ	ˈʌu̯	1.222	4.954
ˈɔ	ˈɔː	1.485	4.954
ˈɔ	ˈɔ	2.222	4.954
ˈɔ_h	ˈɔː_r	-0.0	4.954
ˈɛ	ˈɛː	1.263	4.954
ˈɛ	ˈa	2.0	4.954
ˈɛ	ˈiː	2.585	4.954
ˈɛ	ˈɛ	2.585	4.954
ˈɛ_h	ˈɛ_r	-0.0	4.954
ˈɛ_l	ˈɛ_l	-0.0	4.954
