Phone1	Phone2	PMI
ˈi_ɐ	ˈi_ɔ	10.869
ˈi_ɡ	ˈi_k	10.824
<#_o	<#_u	10.503
ˈe_l	ˈe_l	10.054
<#_ɡ	<#_ɡ	9.344
ɾ_ˈɐ̃	ɾ_ˈa	9.274
<#_t	<#_t	9.061
<#_ˈa	<#_ˈa	8.98
<#_e	<#_e	8.598
<#_n	<#_n	8.334
ˈĩ_j̃	ˈi_n	8.285
o	<#_u	8.265
<#_d	<#_d	8.077
z	z	7.859
ɡ	<#_ɡ	7.802
<#_ˈo	<#_ˈa	7.728
n	<#_n	7.727
ʃ_#>	s_#>	7.617
<#_ɡ	ɡ	7.6
e	<#_e	7.295
j_#>	j_#>	7.284
v_ˈa	β_ˈa	7.235
t	<#_t	7.096
m	m_#>	7.04
v_ɐ	β_ɔ	7.004
d	<#_d	6.932
ʎ	ʎ	6.862
j̃	ɲ_#>	6.862
s_ˈĩ	s_ˈi	6.81
ˈo_d	ˈu_t	6.797
s_k	s_k	6.755
<#_v	<#_b	6.675
u_#>	i_#>	6.548
ʃ_t	s_t	6.531
ʒ	ʤ	6.514
ʃ_k	s_k	6.5
ˈa_b	ˈa_β	6.448
<#_d	d	6.437
m_i_#>	m_#>	6.434
<#_o	u	6.413
f	f	6.349
o	u	6.297
w_#>	l_#>	6.151
a	a	6.113
ɡ	ɡ	6.058
ˈũ	ˈy	5.962
ʧ	n_#>	5.952
w_s	l_s	5.911
ˈa	ˈa_#>	5.845
ʃ	s_#>	5.833
<#_ˈo	<#_ɥ	5.793
ˈõ_#>	ˈu_#>	5.737
j̃_u_#>	ɲ_#>	5.709
ˈu	ˈy	5.701
ˈɔ	ˈɔ	5.664
m	m	5.644
v	<#_b	5.634
p	p	5.592
ɡ	ɣ	5.551
u	i_#>	5.504
j_t	ˈɛ_ʧ	5.49
ˈi	ˈi	5.481
ɾ_i	ɾ_e	5.451
ˈa	<#_ˈa	5.434
<#_t	t	5.43
d	t_#>	5.362
j̃	ɲ	5.357
d	d	5.291
d	ð	5.283
ˈɛ	ˈɛ	5.251
<#_l	<#_l	5.225
