Phone1	Phone2	PMI
ˈo_b	ˈu_p	10.935
<#_ˈo	<#_w	10.212
ˈa_d	ˈa_t	10.104
<#_ɡ	<#_ɡ	9.72
m_ɐ	m_ə	9.72
j_ʃ	ʃ_ə	9.59
<#_t	<#_t	9.451
<#_ˈa	<#_ˈa	9.438
<#_h	<#_r	9.364
ˈẽ	ˈɛ_n	9.118
ˈĩ	ˈi_n	9.104
b	ˈu_p	8.943
s_u	ʦː	8.828
<#_d	<#_d	8.771
b	b_w	8.609
<#_n	<#_n	8.567
k_u	k_ə	8.441
ʎ	kː_j	8.061
ɡ	<#_ɡ	8.035
n	<#_n	7.956
j	ʃ_ə	7.828
ɡ	ˈɔ_k	7.45
ˈo	ˈu_p	7.412
t	<#_t	7.401
d	<#_d	7.399
ʒ	ʤ	7.395
w̃	n_ə	7.372
ɾ_u	ɾ_ə	7.315
ɦ_v	ɾ_v	7.296
s_e	ʃ_e	7.296
ˈɛ_h	ˈɛ_rː	7.296
ˈe_k	ˈi_kː	7.292
b	b	7.289
ˈo	<#_w	7.274
ʎ	ʎː	7.256
<#_ɡ	ɡ	7.256
ˈa_ɡ	ˈa_k	7.101
ɦ_n	ɾ_n	7.087
ʃ	k_j	7.084
s	ˈɔ_sː	7.066
j_t	tː	7.054
j_ʧ	tː	7.054
<#_d	d	6.993
ʃ	ʃ_ə	6.977
m	m_ə	6.965
d	ˈa_t	6.959
s_ˈɐ̃	s_ˈa	6.949
s_ɐ	ʦ_ə	6.902
h_ʧ	ɾ_t	6.902
ˈa_t	ˈa_tː	6.892
j̃	ɲː	6.77
ˈo_ɐ	ˈɔ_n	6.764
ɾ_ˈɐ̃	ɾ_ˈa	6.754
h	<#_r	6.731
f	f	6.587
o	u	6.511
ˈa	ˈa_t	6.498
ɦ	ɾ_n	6.485
<#_h	r	6.456
<#	<#_ɡ	6.426
ˈa	<#_ˈa	6.41
a	a	6.389
ˈɐ̃	ˈa_n	6.376
<#	<#_t	6.352
ɡ	ɡ	6.335
<#	<#_n	6.319
<#	<#_w	6.288
ˈɛ_h	rː	6.242
<#	<#_d	6.231
ʎ	kː	6.202
ɦ	ɾ_v	6.165
m_ɐ	m	6.16
<#	<#_r	6.157
ʃ	j_ə	6.061
e_ʃ	ʃ	6.012
ˈũ	ˈo	6.011
ʎ	ˈɔ_kː	5.906
m	m	5.901
s_ɐ	ʦ	5.849
v	v	5.835
ɐ	m_ə	5.827
<#_ˈo	w	5.752
j_ʃ	ʃ	5.743
<#	<#_ˈa	5.703
ˈɛ	ˈɛ	5.69
j	tː	5.689
ʧ	ɾ_t	5.633
d	d	5.621
e	ʃ_e	5.621
ˈɛ	ˈɛ_rː	5.603
l	lː	5.596
m	mː	5.576
p	p	5.502
ˈo_b	p	5.502
ˈu	ˈu	5.466
ˈo_b	ˈu	5.466
ˈõ	ˈo	5.463
h	rː	5.421
n	ɾ_n	5.347
ˈĩ	ˈi	5.342
s_e	e	5.273
ʧ	tː	5.256
ɡ	ˈa_k	5.2
ɡ	ŋ_ɡ	5.187
d_ɐ	t_ə	5.184
